analysis,region,climatezone,predictor,profile,individual_sum,total_sum,pooled_allocation,n_models,climatezone_label,climate,human,importance_balance
h2_spd,Asia,Temperate - Dry Summer,NA,balance,NA,NA,NA,1,TDS,0.6880575156437225,0.3119424843562774,-0.3761150312874451
h2_spd,Asia,Temperate - Dry Winter,NA,balance,NA,NA,NA,1,TDW,0.8287722821993473,0.17122771780065277,-0.6575445643986946
h2_spd,Asia,Temperate,NA,balance,NA,NA,NA,1,TMP,0.9939894815927873,0.006010518407212622,-0.9879789631855747
h2_spd,Europe,Arid,NA,balance,NA,NA,NA,1,ARD,0.9529914529914529,0.047008547008547,-0.905982905982906
h2_spd,Europe,Cold - Cold Summer,NA,balance,NA,NA,NA,1,CCS,0.7297892418999685,0.2702107581000315,-0.45957848379993704
h2_spd,Europe,Cold - Warm Summer,NA,balance,NA,NA,NA,1,CWS,0.8618915710328453,0.13810842896715472,-0.7237831420656906
h2_spd,Europe,Polar,NA,balance,NA,NA,NA,1,POL,1,0,-1
h2_spd,Europe,Temperate - Dry Summer,NA,balance,NA,NA,NA,1,TDS,0.7336921069797783,0.2663078930202218,-0.4673842139595565
h2_spd,Europe,Temperate,NA,balance,NA,NA,NA,1,TMP,0.8160602719588387,0.18393972804116132,-0.6321205439176774
h2_spd,Latin America,Arid,NA,balance,NA,NA,NA,1,ARD,0.8697503386878266,0.1302496613121734,-0.7395006773756532
h2_spd,Latin America,Polar,NA,balance,NA,NA,NA,1,POL,0.9086662371134021,0.09133376288659793,-0.8173324742268042
h2_spd,Latin America,Temperate - Dry Summer,NA,balance,NA,NA,NA,1,TDS,1,0,-1
h2_spd,Latin America,Temperate - Dry Winter,NA,balance,NA,NA,NA,1,TDW,1,0,-1
h2_spd,Latin America,Temperate,NA,balance,NA,NA,NA,1,TMP,0.6162397973543484,0.3837602026456515,-0.2324795947086969
h2_spd,Latin America,Tropical,NA,balance,NA,NA,NA,1,TRO,0.8476920513247792,0.15230794867522077,-0.6953841026495584
h2_spd,North America,Arid,NA,balance,NA,NA,NA,1,ARD,0.9790066564260113,0.020993343573988736,-0.9580133128520225
h2_spd,North America,Cold - Dry Summer,NA,balance,NA,NA,NA,1,CDS,0.9493311714633158,0.05066882853668423,-0.8986623429266316
h2_spd,North America,Cold - Cold Summer,NA,balance,NA,NA,NA,1,CCS,0.6597068438257936,0.34029315617420647,-0.3194136876515871
h2_spd,North America,Cold - Hot Summer,NA,balance,NA,NA,NA,1,CHS,0.7532534246575342,0.24674657534246572,-0.5065068493150685
h2_spd,North America,Cold - Warm Summer,NA,balance,NA,NA,NA,1,CWS,0.7883101150817685,0.2116898849182314,-0.5766202301635371
