region,climatezone,stratum,age,age_ka,age_ka_scaled,n_datasets_marginalised,estimate,estimate_error,conf_low,conf_high,analysis,model_id,variable,model_profile,source_model_file,prediction_draws_used,prediction_range,prediction_estimand,value
Asia,Cold_Dry_Winter,Asia__Cold_Dry_Winter,1000,1,-1.48642338,29,0.3613029,0.0214797,0.32078056,0.40807435,pap_temporal,pap_temporal__dcca_axis_1__Asia__Cold_Dry_Winter,dcca_axis_1,within_stratum_dataset_fs,pap_temporal__dcca_axis_1__Asia__Cold_Dry_Winter_2026-07-06__cc105595cca1f7daa4a8d0e3ff5af1a8__.qs,1000,group_observed,equal_weighted_dataset_mean,0.3613029
Asia,Cold_Dry_Winter,Asia__Cold_Dry_Winter,1500,1.5,-1.27679002,34,0.38373606,0.01833859,0.34959821,0.42060192,pap_temporal,pap_temporal__dcca_axis_1__Asia__Cold_Dry_Winter,dcca_axis_1,within_stratum_dataset_fs,pap_temporal__dcca_axis_1__Asia__Cold_Dry_Winter_2026-07-06__cc105595cca1f7daa4a8d0e3ff5af1a8__.qs,1000,group_observed,equal_weighted_dataset_mean,0.38373606
Asia,Cold_Dry_Winter,Asia__Cold_Dry_Winter,2000,2,-1.06715666,34,0.40496609,0.01717111,0.37191494,0.44119086,pap_temporal,pap_temporal__dcca_axis_1__Asia__Cold_Dry_Winter,dcca_axis_1,within_stratum_dataset_fs,pap_temporal__dcca_axis_1__Asia__Cold_Dry_Winter_2026-07-06__cc105595cca1f7daa4a8d0e3ff5af1a8__.qs,1000,group_observed,equal_weighted_dataset_mean,0.40496609
Asia,Cold_Dry_Winter,Asia__Cold_Dry_Winter,2500,2.5,-0.85752331,34,0.43312128,0.01815827,0.40045668,0.47147133,pap_temporal,pap_temporal__dcca_axis_1__Asia__Cold_Dry_Winter,dcca_axis_1,within_stratum_dataset_fs,pap_temporal__dcca_axis_1__Asia__Cold_Dry_Winter_2026-07-06__cc105595cca1f7daa4a8d0e3ff5af1a8__.qs,1000,group_observed,equal_weighted_dataset_mean,0.43312128
Asia,Cold_Dry_Winter,Asia__Cold_Dry_Winter,3000,3,-0.64788995,35,0.45923298,0.0189334,0.42536132,0.49832958,pap_temporal,pap_temporal__dcca_axis_1__Asia__Cold_Dry_Winter,dcca_axis_1,within_stratum_dataset_fs,pap_temporal__dcca_axis_1__Asia__Cold_Dry_Winter_2026-07-06__cc105595cca1f7daa4a8d0e3ff5af1a8__.qs,1000,group_observed,equal_weighted_dataset_mean,0.45923298
Asia,Cold_Dry_Winter,Asia__Cold_Dry_Winter,3500,3.5,-0.43825659,35,0.49633432,0.0200176,0.46029127,0.53923812,pap_temporal,pap_temporal__dcca_axis_1__Asia__Cold_Dry_Winter,dcca_axis_1,within_stratum_dataset_fs,pap_temporal__dcca_axis_1__Asia__Cold_Dry_Winter_2026-07-06__cc105595cca1f7daa4a8d0e3ff5af1a8__.qs,1000,group_observed,equal_weighted_dataset_mean,0.49633432
Asia,Cold_Dry_Winter,Asia__Cold_Dry_Winter,4000,4,-0.22862324,35,0.53576298,0.02255457,0.49430323,0.58247149,pap_temporal,pap_temporal__dcca_axis_1__Asia__Cold_Dry_Winter,dcca_axis_1,within_stratum_dataset_fs,pap_temporal__dcca_axis_1__Asia__Cold_Dry_Winter_2026-07-06__cc105595cca1f7daa4a8d0e3ff5af1a8__.qs,1000,group_observed,equal_weighted_dataset_mean,0.53576298
Asia,Cold_Dry_Winter,Asia__Cold_Dry_Winter,4500,4.5,-0.01898988,35,0.57626307,0.02382104,0.5307209,0.62436799,pap_temporal,pap_temporal__dcca_axis_1__Asia__Cold_Dry_Winter,dcca_axis_1,within_stratum_dataset_fs,pap_temporal__dcca_axis_1__Asia__Cold_Dry_Winter_2026-07-06__cc105595cca1f7daa4a8d0e3ff5af1a8__.qs,1000,group_observed,equal_weighted_dataset_mean,0.57626307
Asia,Cold_Dry_Winter,Asia__Cold_Dry_Winter,5000,5,0.19064348,35,0.61733961,0.02605661,0.56556285,0.66817052,pap_temporal,pap_temporal__dcca_axis_1__Asia__Cold_Dry_Winter,dcca_axis_1,within_stratum_dataset_fs,pap_temporal__dcca_axis_1__Asia__Cold_Dry_Winter_2026-07-06__cc105595cca1f7daa4a8d0e3ff5af1a8__.qs,1000,group_observed,equal_weighted_dataset_mean,0.61733961
Asia,Cold_Dry_Winter,Asia__Cold_Dry_Winter,5500,5.5,0.40027684,35,0.66039004,0.02777858,0.60801901,0.71330531,pap_temporal,pap_temporal__dcca_axis_1__Asia__Cold_Dry_Winter,dcca_axis_1,within_stratum_dataset_fs,pap_temporal__dcca_axis_1__Asia__Cold_Dry_Winter_2026-07-06__cc105595cca1f7daa4a8d0e3ff5af1a8__.qs,1000,group_observed,equal_weighted_dataset_mean,0.66039004
Asia,Cold_Dry_Winter,Asia__Cold_Dry_Winter,6000,6,0.60991019,35,0.71064133,0.03053545,0.65073228,0.7665429,pap_temporal,pap_temporal__dcca_axis_1__Asia__Cold_Dry_Winter,dcca_axis_1,within_stratum_dataset_fs,pap_temporal__dcca_axis_1__Asia__Cold_Dry_Winter_2026-07-06__cc105595cca1f7daa4a8d0e3ff5af1a8__.qs,1000,group_observed,equal_weighted_dataset_mean,0.71064133
Asia,Cold_Dry_Winter,Asia__Cold_Dry_Winter,6500,6.5,0.81954355,33,0.76637105,0.0317739,0.70803,0.82602569,pap_temporal,pap_temporal__dcca_axis_1__Asia__Cold_Dry_Winter,dcca_axis_1,within_stratum_dataset_fs,pap_temporal__dcca_axis_1__Asia__Cold_Dry_Winter_2026-07-06__cc105595cca1f7daa4a8d0e3ff5af1a8__.qs,1000,group_observed,equal_weighted_dataset_mean,0.76637105
Asia,Cold_Dry_Winter,Asia__Cold_Dry_Winter,7000,7,1.02917691,32,0.81764651,0.03390427,0.75527547,0.8868187,pap_temporal,pap_temporal__dcca_axis_1__Asia__Cold_Dry_Winter,dcca_axis_1,within_stratum_dataset_fs,pap_temporal__dcca_axis_1__Asia__Cold_Dry_Winter_2026-07-06__cc105595cca1f7daa4a8d0e3ff5af1a8__.qs,1000,group_observed,equal_weighted_dataset_mean,0.81764651
Asia,Cold_Dry_Winter,Asia__Cold_Dry_Winter,7500,7.5,1.23881027,31,0.89631663,0.04224222,0.81734619,0.98734997,pap_temporal,pap_temporal__dcca_axis_1__Asia__Cold_Dry_Winter,dcca_axis_1,within_stratum_dataset_fs,pap_temporal__dcca_axis_1__Asia__Cold_Dry_Winter_2026-07-06__cc105595cca1f7daa4a8d0e3ff5af1a8__.qs,1000,group_observed,equal_weighted_dataset_mean,0.89631663
Asia,Cold_Dry_Winter,Asia__Cold_Dry_Winter,8000,8,1.44844362,29,0.94884485,0.05040855,0.85249346,1.04881465,pap_temporal,pap_temporal__dcca_axis_1__Asia__Cold_Dry_Winter,dcca_axis_1,within_stratum_dataset_fs,pap_temporal__dcca_axis_1__Asia__Cold_Dry_Winter_2026-07-06__cc105595cca1f7daa4a8d0e3ff5af1a8__.qs,1000,group_observed,equal_weighted_dataset_mean,0.94884485
Asia,Cold_Dry_Winter,Asia__Cold_Dry_Winter,8500,8.5,1.65807698,28,1.04768752,0.07718083,0.90951126,1.21000936,pap_temporal,pap_temporal__dcca_axis_1__Asia__Cold_Dry_Winter,dcca_axis_1,within_stratum_dataset_fs,pap_temporal__dcca_axis_1__Asia__Cold_Dry_Winter_2026-07-06__cc105595cca1f7daa4a8d0e3ff5af1a8__.qs,1000,group_observed,equal_weighted_dataset_mean,1.04768752
