analysis,aggregation_level,predictor,profile,individual_sum,total_sum,pooled_allocation,n_models,signed_allocation,delta_from_signed,model_id,region,climatezone,age
h2_spd,model,climate,signed,0.2174,0.658,0.3303951367781155,1,0.3303951367781155,0,analysis=h2_spd|region=Latin America|climatezone=Temperate_Without_dry_season,NA,NA,NA
h2_spd,model,human,signed,0.4406,0.658,0.6696048632218845,1,0.6696048632218845,0,analysis=h2_spd|region=Latin America|climatezone=Temperate_Without_dry_season,NA,NA,NA
h2_spd,model,climate,signed,0.6561,0.833,0.7876350540216087,1,0.7876350540216087,0,analysis=h2_spd|region=Latin America|climatezone=Tropical,NA,NA,NA
h2_spd,model,human,signed,0.1772,0.833,0.21272509003601442,1,0.21272509003601442,0,analysis=h2_spd|region=Latin America|climatezone=Tropical,NA,NA,NA
h2_spd,model,climate,signed,0.7208,0.75,0.9610666666666666,1,0.9610666666666666,0,analysis=h2_spd|region=North America|climatezone=Arid,NA,NA,NA
h2_spd,model,human,signed,0.0291,0.75,0.0388,1,0.0388,0,analysis=h2_spd|region=North America|climatezone=Arid,NA,NA,NA
h2_spd,model,climate,signed,0.6726,0.768,0.87578125,1,0.87578125,0,analysis=h2_spd|region=North America|climatezone=Cold_Dry_Summer,NA,NA,NA
h2_spd,model,human,signed,0.0952,0.768,0.12395833333333334,1,0.12395833333333334,0,analysis=h2_spd|region=North America|climatezone=Cold_Dry_Summer,NA,NA,NA
h2_spd,model,climate,signed,0.8751,1.32,0.6629545454545455,1,0.6629545454545455,0,analysis=h2_spd|region=North America|climatezone=Cold_Without_dry_season_Cold_Summer,NA,NA,NA
h2_spd,model,human,signed,0.4449,1.32,0.33704545454545454,1,0.33704545454545454,0,analysis=h2_spd|region=North America|climatezone=Cold_Without_dry_season_Cold_Summer,NA,NA,NA
h2_spd,model,climate,signed,0.764,0.943,0.8101802757158006,1,0.8101802757158006,0,analysis=h2_spd|region=North America|climatezone=Cold_Without_dry_season_Hot_Summer,NA,NA,NA
h2_spd,model,human,signed,0.1789,0.943,0.1897136797454931,1,0.1897136797454931,0,analysis=h2_spd|region=North America|climatezone=Cold_Without_dry_season_Hot_Summer,NA,NA,NA
h2_spd,model,climate,signed,0.9947,1.133,0.8779346866725508,1,0.8779346866725508,0,analysis=h2_spd|region=North America|climatezone=Cold_Without_dry_season_Warm_Summer,NA,NA,NA
h2_spd,model,human,signed,0.1384,1.133,0.12215357458075904,1,0.12215357458075904,0,analysis=h2_spd|region=North America|climatezone=Cold_Without_dry_season_Warm_Summer,NA,NA,NA
h2_spd,model,climate,signed,0.6302,0.703,0.896443812233286,1,0.896443812233286,0,analysis=h2_spd|region=North America|climatezone=Polar,NA,NA,NA
h2_spd,model,human,signed,0.0727,0.703,0.10341394025604553,1,0.10341394025604553,0,analysis=h2_spd|region=North America|climatezone=Polar,NA,NA,NA
h2_spd,model,climate,signed,0.5903,0.732,0.8064207650273225,1,0.8064207650273225,0,analysis=h2_spd|region=North America|climatezone=Temperate_Dry_Summer,NA,NA,NA
h2_spd,model,human,signed,0.1418,0.732,0.19371584699453553,1,0.19371584699453553,0,analysis=h2_spd|region=North America|climatezone=Temperate_Dry_Summer,NA,NA,NA
h2_spd,model,climate,signed,0.5098,0.85,0.599764705882353,1,0.599764705882353,0,analysis=h2_spd|region=North America|climatezone=Temperate_Without_dry_season,NA,NA,NA
h2_spd,model,human,signed,0.3399,0.85,0.39988235294117647,1,0.39988235294117647,0,analysis=h2_spd|region=North America|climatezone=Temperate_Without_dry_season,NA,NA,NA
h2_spd,model,climate,signed,0.8384,1.06,0.7909433962264151,1,0.7909433962264151,0,analysis=h2_spd|region=Oceania|climatezone=Temperate_Without_dry_season,NA,NA,NA
h2_spd,model,human,signed,0.222,1.06,0.20943396226415092,1,0.20943396226415092,0,analysis=h2_spd|region=Oceania|climatezone=Temperate_Without_dry_season,NA,NA,NA
h2_spd,model,climate,signed,0.8612,1.021,0.8434867776689521,1,0.8434867776689521,0,analysis=h2_spd|region=Oceania|climatezone=Tropical,NA,NA,NA
h2_spd,model,human,signed,0.1595,1.021,0.15621939275220373,1,0.15621939275220373,0,analysis=h2_spd|region=Oceania|climatezone=Tropical,NA,NA,NA
spatial_events,model,climate,signed,0.2048,0.107,1.9140186915887851,1,1.9140186915887851,0,analysis=spatial_events|dataset_id=14264|region=Latin America|climatezone=Tropical,NA,NA,NA
spatial_events,model,human,signed,-0.0981,0.107,-0.9168224299065422,1,-0.9168224299065422,0,analysis=spatial_events|dataset_id=14264|region=Latin America|climatezone=Tropical,NA,NA,NA
spatial_events,model,climate,signed,0.3229,0.465,0.6944086021505377,1,0.6944086021505377,0,analysis=spatial_events|dataset_id=1440|region=Europe|climatezone=Arid,NA,NA,NA
spatial_events,model,human,signed,0.142,0.465,0.3053763440860215,1,0.3053763440860215,0,analysis=spatial_events|dataset_id=1440|region=Europe|climatezone=Arid,NA,NA,NA
spatial_events,model,climate,signed,0.3748,0.4,0.937,1,0.937,0,analysis=spatial_events|dataset_id=14941|region=Oceania|climatezone=Polar,NA,NA,NA
spatial_events,model,human,signed,0.0254,0.4,0.06349999999999999,1,0.06349999999999999,0,analysis=spatial_events|dataset_id=14941|region=Oceania|climatezone=Polar,NA,NA,NA
spatial_events,model,climate,signed,0.3573,0.317,1.1271293375394322,1,1.1271293375394322,0,analysis=spatial_events|dataset_id=15061|region=Latin America|climatezone=Temperate_Dry_Summer,NA,NA,NA
spatial_events,model,human,signed,-0.0401,0.317,-0.12649842271293374,1,-0.12649842271293374,0,analysis=spatial_events|dataset_id=15061|region=Latin America|climatezone=Temperate_Dry_Summer,NA,NA,NA
spatial_events,model,climate,signed,0.3994,0.499,0.8004008016032064,1,0.8004008016032064,0,analysis=spatial_events|dataset_id=15103|region=Latin America|climatezone=Temperate_Dry_Summer,NA,NA,NA
spatial_events,model,human,signed,0.0999,0.499,0.2002004008016032,1,0.2002004008016032,0,analysis=spatial_events|dataset_id=15103|region=Latin America|climatezone=Temperate_Dry_Summer,NA,NA,NA
