analysis,region,climatezone,n_models,n_available,n_accounting_valid,total_adjusted_r_squared_sum,total_adjusted_r_squared_mean,unique_human_sum,unique_human_mean,unique_climate_sum,unique_climate_mean,shared_sum,shared_mean,unexplained_sum,unexplained_mean,bounded_total_adjusted_r_squared_sum,bounded_total_adjusted_r_squared_mean,bounded_unique_human_sum,bounded_unique_human_mean,bounded_unique_climate_sum,bounded_unique_climate_mean,bounded_shared_sum,bounded_shared_mean,bounded_unexplained_sum,bounded_unexplained_mean
spatial_events,Latin America,Temperate_Without_dry_season,18,8,8,2.477,0.309625,0.2212,0.02765,1.7991,0.2248875,0.45589999999999997,0.056987499999999996,5.523,0.690375,2.477,0.309625,0.3960213239507305,0.04950266549384131,1.7049499533525951,0.2131187441690744,0.3760287226966744,0.0470035903370843,5.523,0.690375
spatial_events,Latin America,Tropical,20,9,9,3.499,0.3887777777777778,0.9307,0.1034111111111111,2.2811,0.25345555555555555,0.2875,0.03194444444444444,5.501,0.6112222222222222,3.499,0.3887777777777778,1.0361741694823738,0.11513046327581933,2.054881275451347,0.22832014171681633,0.4079445550662794,0.04532717278514216,5.501,0.6112222222222222
spatial_events,North America,Arid,17,2,2,0.46499999999999997,0.23249999999999998,0.2753,0.13765,0.2236,0.1118,-0.0344,-0.0172,1.5350000000000001,0.7675000000000001,0.46499999999999997,0.23249999999999998,0.27762085620197585,0.13881042810098793,0.15659557543505664,0.07829778771752832,0.030783568362967504,0.015391784181483752,1.5350000000000001,0.7675000000000001
spatial_events,North America,Cold_Dry_Summer,50,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
spatial_events,North America,Cold_Without_dry_season_Cold_Summer,142,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
spatial_events,North America,Cold_Without_dry_season_Hot_Summer,53,5,5,2.936,0.5872,0.5053,0.10106,2.3811,0.47622,0.048799999999999996,0.009759999999999998,2.064,0.4128,2.936,0.5872,0.4836740515290223,0.09673481030580446,2.264497015725273,0.4528994031450546,0.18782893274570447,0.037565786549140896,2.064,0.4128
spatial_events,North America,Cold_Without_dry_season_Warm_Summer,195,18,18,7.26,0.4033333333333333,1.3316000000000001,0.07397777777777778,4.7415,0.2634166666666667,1.1869,0.0659388888888889,10.74,0.5966666666666667,7.305,0.4058333333333333,1.1660505149088274,0.06478058416160151,4.618409249799565,0.25657829165553137,1.5205402352916082,0.08447445751620046,10.695,0.5941666666666666
spatial_events,North America,Polar,38,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
spatial_events,North America,Temperate_Dry_Summer,17,1,1,0.11,0.11,-0.0084,-0.0084,0.0656,0.0656,0.0524,0.0524,0.89,0.89,0.11,0.11,0,0,0.061152542372881355,0.061152542372881355,0.048847457627118646,0.048847457627118646,0.89,0.89
spatial_events,North America,Temperate_Without_dry_season,41,4,4,0.976,0.244,0.2773,0.069325,0.33609999999999995,0.08402499999999999,0.3623,0.090575,3.024,0.756,1.185,0.29625,0.3443318714757056,0.0860829678689264,0.5825269702085374,0.14563174255213435,0.258141158315757,0.06453528957893925,2.815,0.70375
spatial_events,North America,Tropical,1,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
