analysis,region,age,status,n_selected,human_climate_human,human_climate_climate,human_climate_space_human,human_climate_space_climate,human_climate_only_balance,controlled_human,controlled_climate,controlled_balance,human_climate_only_ranking,controlled_ranking,ranking_changed
temporal_events,North America,3500,spatial_model_estimated,4,0.0083,0.0965,0.0075,0.0585,-0.0882,0.0075,0.0585,-0.051000000000000004,climate,climate,FALSE
temporal_events,North America,4000,spatial_model_estimated,4,0.0101,0.0863,0.009,0.051,-0.0762,0.009,0.051,-0.041999999999999996,climate,climate,FALSE
temporal_events,North America,4500,spatial_model_estimated,5,0.0079,0.0944,0.0068,0.0548,-0.0865,0.0068,0.0548,-0.048,climate,climate,FALSE
temporal_events,North America,5000,spatial_model_estimated,5,0.0087,0.0969,0.0067,0.0562,-0.0882,0.0067,0.0562,-0.0495,climate,climate,FALSE
temporal_events,North America,5500,spatial_model_estimated,8,0.0089,0.0829,0.0069,0.0479,-0.074,0.0069,0.0479,-0.040999999999999995,climate,climate,FALSE
temporal_events,North America,6000,spatial_model_estimated,8,0.0064,0.0882,0.0052,0.0541,-0.0818,0.0052,0.0541,-0.0489,climate,climate,FALSE
temporal_events,North America,6500,spatial_model_estimated,8,0.0031,0.097,0.0022,0.0584,-0.0939,0.0022,0.0584,-0.0562,climate,climate,FALSE
temporal_events,North America,7000,spatial_model_estimated,10,0.0011,0.0955,5e-4,0.0622,-0.0944,5e-4,0.0622,-0.0617,climate,climate,FALSE
temporal_events,North America,7500,spatial_model_estimated,6,0.0018,0.0861,9e-4,0.0583,-0.0843,9e-4,0.0583,-0.0574,climate,climate,FALSE
temporal_events,North America,8000,spatial_model_estimated,9,0.0034,0.1008,0.002,0.0697,-0.0974,0.002,0.0697,-0.0677,climate,climate,FALSE
temporal_events,North America,8500,spatial_model_estimated,7,0.003,0.0985,0.0028,0.0637,-0.0955,0.0028,0.0637,-0.06090000000000001,climate,climate,FALSE
temporal_events,Latin America,500,no_spatial_terms_selected,0,0.0097,0.0687,NA,NA,-0.059,0.0097,0.0687,-0.059,climate,climate,FALSE
temporal_events,Latin America,1000,no_spatial_terms_selected,0,0.004,0.1081,NA,NA,-0.1041,0.004,0.1081,-0.1041,climate,climate,FALSE
temporal_events,Latin America,1500,spatial_model_estimated,1,8e-4,0.1286,0.0049,0.1212,-0.1278,0.0049,0.1212,-0.1163,climate,climate,FALSE
temporal_events,Latin America,2000,spatial_model_estimated,1,0.0058,0.151,0.0076,0.1414,-0.1452,0.0076,0.1414,-0.1338,climate,climate,FALSE
temporal_events,Latin America,2500,spatial_model_estimated,1,0.0164,0.1416,0.018,0.1342,-0.1252,0.018,0.1342,-0.11620000000000001,climate,climate,FALSE
temporal_events,Latin America,3000,spatial_model_estimated,1,-5e-4,0.1595,-7e-4,0.1307,-0.16,-7e-4,0.1307,-0.13140000000000002,climate,climate,FALSE
temporal_events,Latin America,4000,spatial_model_estimated,1,0.013,0.1758,0.0191,0.1749,-0.1628,0.0191,0.1749,-0.1558,climate,climate,FALSE
temporal_events,Latin America,4500,spatial_model_estimated,1,0.0115,0.1668,0.0101,0.1313,-0.1553,0.0101,0.1313,-0.1212,climate,climate,FALSE
temporal_events,Latin America,5000,spatial_model_estimated,1,-0.0042,0.1627,-0.003,0.1305,-0.16690000000000002,-0.003,0.1305,-0.1335,climate,climate,FALSE
temporal_events,Latin America,5500,spatial_model_estimated,1,-0.0035,0.1524,-0.0028,0.1152,-0.1559,-0.0028,0.1152,-0.118,climate,climate,FALSE
temporal_events,Latin America,6000,no_spatial_terms_selected,0,-0.0011,0.1598,NA,NA,-0.1609,-0.0011,0.1598,-0.1609,climate,climate,FALSE
temporal_events,Latin America,6500,no_spatial_terms_selected,0,0.0032,0.161,NA,NA,-0.1578,0.0032,0.161,-0.1578,climate,climate,FALSE
temporal_events,Latin America,7000,no_spatial_terms_selected,0,0.0077,0.124,NA,NA,-0.1163,0.0077,0.124,-0.1163,climate,climate,FALSE
temporal_events,Latin America,7500,spatial_model_estimated,1,0.0026,0.1405,0.006,0.1394,-0.13790000000000002,0.006,0.1394,-0.1334,climate,climate,FALSE
temporal_events,Latin America,8000,no_spatial_terms_selected,0,-0.0057,0.1152,NA,NA,-0.1209,-0.0057,0.1152,-0.1209,climate,climate,FALSE
temporal_events,Latin America,8500,spatial_model_estimated,1,-0.0052,0.1219,-0.0057,0.0911,-0.1271,-0.0057,0.0911,-0.0968,climate,climate,FALSE
temporal_events,Latin America,3500,spatial_model_estimated,1,0.0213,0.1617,0.0197,0.1397,-0.14040000000000002,0.0197,0.1397,-0.12,climate,climate,FALSE
temporal_events,Oceania,500,no_spatial_terms_selected,0,-0.018,0.0856,NA,NA,-0.1036,-0.018,0.0856,-0.1036,climate,climate,FALSE
temporal_events,Oceania,1000,spatial_model_estimated,1,0.0322,0.0864,0.06,0.0606,-0.054200000000000005,0.06,0.0606,-6.000000000000033e-4,climate,climate,FALSE
temporal_events,Oceania,1500,spatial_model_estimated,1,-0.0055,0.0727,-0.0078,0.0884,-0.0782,-0.0078,0.0884,-0.09620000000000001,climate,climate,FALSE
temporal_events,Oceania,2000,no_spatial_terms_selected,0,0.0096,0.0211,NA,NA,-0.011500000000000002,0.0096,0.0211,-0.011500000000000002,climate,climate,FALSE
temporal_events,Oceania,2500,no_spatial_terms_selected,0,0.0133,0.0725,NA,NA,-0.059199999999999996,0.0133,0.0725,-0.059199999999999996,climate,climate,FALSE
temporal_events,Oceania,3000,no_spatial_terms_selected,0,0.0134,0.1128,NA,NA,-0.0994,0.0134,0.1128,-0.0994,climate,climate,FALSE
temporal_events,Oceania,3500,spatial_model_estimated,1,-0.0151,0.117,-0.015,0.1283,-0.1321,-0.015,0.1283,-0.14329999999999998,climate,climate,FALSE
temporal_events,Oceania,4000,no_spatial_terms_selected,0,-0.0124,0.0762,NA,NA,-0.0886,-0.0124,0.0762,-0.0886,climate,climate,FALSE
temporal_events,Oceania,4500,missing_predictor_group,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
temporal_events,Oceania,5000,missing_predictor_group,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
temporal_events,Oceania,5500,missing_predictor_group,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
temporal_events,Oceania,6000,missing_predictor_group,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
temporal_events,Oceania,7000,missing_predictor_group,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
temporal_events,Oceania,7500,missing_predictor_group,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
temporal_events,Asia,1500,no_spatial_terms_selected,0,0.0569,0.0464,NA,NA,0.010500000000000002,0.0569,0.0464,0.010500000000000002,human,human,FALSE
temporal_events,Asia,2000,no_spatial_terms_selected,0,0.0575,0.0543,NA,NA,0.0032000000000000015,0.0575,0.0543,0.0032000000000000015,human,human,FALSE
temporal_events,Asia,2500,spatial_model_estimated,1,0.0416,0.0655,0.0421,0.0684,-0.023900000000000005,0.0421,0.0684,-0.026300000000000004,climate,climate,FALSE
temporal_events,Asia,3000,no_spatial_terms_selected,0,0.0451,0.0691,NA,NA,-0.023999999999999994,0.0451,0.0691,-0.023999999999999994,climate,climate,FALSE
