analysis,region,age,value,distance_km,n_records,n_connected,n_edges,moran_i,expected_i,p_greater,positive_autocorrelation,permutations,status,spatial_scope
temporal_spd,Europe,5000,residual_axis_1,500,382,382,11342,0.001874633442758232,-0.0026246719160104987,0.258,FALSE,999,estimated,fixed_500km
temporal_spd,Europe,5000,residual_axis_2,500,382,382,11342,0.001179194409880087,-0.0026246719160104987,0.269,FALSE,999,estimated,fixed_500km
temporal_spd,Europe,5000,residual_axis_3,500,382,382,11342,-0.017884894120941217,-0.0026246719160104987,0.999,FALSE,999,estimated,fixed_500km
temporal_spd,Europe,5000,residual_axis_1,411.41119655714897,382,382,8905,-0.0017562237730654497,-0.0026246719160104987,0.392,FALSE,999,estimated,dbmem_connectivity
temporal_spd,Europe,5000,residual_axis_2,411.41119655714897,382,382,8905,0.01001510358761894,-0.0026246719160104987,0.078,FALSE,999,estimated,dbmem_connectivity
temporal_spd,Europe,5000,residual_axis_3,411.41119655714897,382,382,8905,-0.015622124982180767,-0.0026246719160104987,0.958,FALSE,999,estimated,dbmem_connectivity
temporal_spd,Europe,5500,residual_axis_1,250,385,379,4742,0.003894214793058126,-0.0026041666666666665,0.281,FALSE,999,estimated,fixed_250km
temporal_spd,Europe,5500,residual_axis_2,250,385,379,4742,0.03818413835041266,-0.0026041666666666665,0.007,TRUE,999,estimated,fixed_250km
temporal_spd,Europe,5500,residual_axis_3,250,385,379,4742,0.0013001183846424525,-0.0026041666666666665,0.345,FALSE,999,estimated,fixed_250km
temporal_spd,Europe,5500,residual_axis_1,500,385,385,11283,0.00313811698903758,-0.0026041666666666665,0.197,FALSE,999,estimated,fixed_500km
temporal_spd,Europe,5500,residual_axis_2,500,385,385,11283,0.019016585554136725,-0.0026041666666666665,0.012,TRUE,999,estimated,fixed_500km
temporal_spd,Europe,5500,residual_axis_3,500,385,385,11283,-0.012393766592497064,-0.0026041666666666665,0.93,FALSE,999,estimated,fixed_500km
temporal_spd,Europe,5500,residual_axis_1,411.41119655714897,385,385,8874,0.0014325677009091767,-0.0026041666666666665,0.287,FALSE,999,estimated,dbmem_connectivity
temporal_spd,Europe,5500,residual_axis_2,411.41119655714897,385,385,8874,0.021766511727636294,-0.0026041666666666665,0.014,TRUE,999,estimated,dbmem_connectivity
temporal_spd,Europe,5500,residual_axis_3,411.41119655714897,385,385,8874,-0.014233727336933174,-0.0026041666666666665,0.935,FALSE,999,estimated,dbmem_connectivity
temporal_spd,Europe,6000,residual_axis_1,250,387,383,4761,0.008157153736514863,-0.0025906735751295338,0.19,FALSE,999,estimated,fixed_250km
temporal_spd,Europe,6000,residual_axis_2,250,387,383,4761,0.024714550954870237,-0.0025906735751295338,0.028,TRUE,999,estimated,fixed_250km
temporal_spd,Europe,6000,residual_axis_3,250,387,383,4761,0.017243615828552748,-0.0025906735751295338,0.067,FALSE,999,estimated,fixed_250km
temporal_spd,Europe,6000,residual_axis_1,500,387,387,11494,0.008290523699780271,-0.0025906735751295338,0.08,FALSE,999,estimated,fixed_500km
temporal_spd,Europe,6000,residual_axis_2,500,387,387,11494,0.016611565042717383,-0.0025906735751295338,0.02,TRUE,999,estimated,fixed_500km
temporal_spd,Europe,6000,residual_axis_3,500,387,387,11494,8.728907401315697e-4,-0.0025906735751295338,0.301,FALSE,999,estimated,fixed_500km
temporal_spd,Europe,6000,residual_axis_1,411.41119655714897,387,387,9043,0.0028194824203030956,-0.0025906735751295338,0.228,FALSE,999,estimated,dbmem_connectivity
temporal_spd,Europe,6000,residual_axis_2,411.41119655714897,387,387,9043,0.0273035006463387,-0.0025906735751295338,0.005,TRUE,999,estimated,dbmem_connectivity
temporal_spd,Europe,6000,residual_axis_3,411.41119655714897,387,387,9043,0.0010195492183816368,-0.0025906735751295338,0.286,FALSE,999,estimated,dbmem_connectivity
temporal_spd,Europe,6500,residual_axis_1,250,380,375,4471,0.02780712443309529,-0.002638522427440633,0.026,TRUE,999,estimated,fixed_250km
temporal_spd,Europe,6500,residual_axis_2,250,380,375,4471,0.07701091506792242,-0.002638522427440633,0.001,TRUE,999,estimated,fixed_250km
temporal_spd,Europe,6500,residual_axis_3,250,380,375,4471,0.013272937925434393,-0.002638522427440633,0.119,FALSE,999,estimated,fixed_250km
temporal_spd,Europe,6500,residual_axis_1,500,380,380,10834,0.021009020645610856,-0.002638522427440633,0.008,TRUE,999,estimated,fixed_500km
temporal_spd,Europe,6500,residual_axis_2,500,380,380,10834,0.04425089502988281,-0.002638522427440633,0.001,TRUE,999,estimated,fixed_500km
temporal_spd,Europe,6500,residual_axis_3,500,380,380,10834,0.005128015773467247,-0.002638522427440633,0.148,FALSE,999,estimated,fixed_500km
temporal_spd,Europe,6500,residual_axis_1,411.41119655714897,380,380,8519,0.0221531224589543,-0.002638522427440633,0.009,TRUE,999,estimated,dbmem_connectivity
