region,age,fraction,adjusted_r_squared
North America,8000,unexplained,0.7836758186615562
North America,8500,pure_human,0.002796627968074339
North America,8500,pure_climate,0.028369297617741207
North America,8500,pure_space,0.11048301973839825
North America,8500,shared,0.08864461598096851
North America,8500,total_explained,0.2302935613051823
North America,8500,unexplained,0.7697064386948177
Latin America,2000,pure_human,7.592679839880656e-4
Latin America,2000,pure_climate,0.12574990488365723
Latin America,2000,pure_space,0.015581677582610198
Latin America,2000,shared,0.026104264702504043
Latin America,2000,total_explained,0.16819511515275953
Latin America,2000,unexplained,0.8318048848472405
Latin America,2500,pure_human,-4.7506571460353975e-4
Latin America,2500,pure_climate,0.1380679733180803
Latin America,2500,pure_space,0
Latin America,2500,shared,0.014503634958588973
Latin America,2500,total_explained,0.15209654256206573
Latin America,2500,unexplained,0.8479034574379343
Latin America,3000,pure_human,0.025586019055035103
Latin America,3000,pure_climate,0.18672610181057092
Latin America,3000,pure_space,0.020744322933997417
Latin America,3000,shared,-0.01958678102878486
Latin America,3000,total_explained,0.21346966277081858
Latin America,3000,unexplained,0.7865303372291814
Latin America,4000,pure_human,0.0407383317595319
Latin America,4000,pure_climate,0.20923251444295843
Latin America,4000,pure_space,0.004395335172175829
Latin America,4000,shared,-0.03162747059873028
Latin America,4000,total_explained,0.22273871077593588
Latin America,4000,unexplained,0.7772612892240641
Latin America,4500,pure_human,0.02117226795077798
Latin America,4500,pure_climate,0.18704610896322627
Latin America,4500,pure_space,0
Latin America,4500,shared,-0.01088276656057241
Latin America,4500,total_explained,0.19733561035343183
Latin America,4500,unexplained,0.8026643896465682
Latin America,5000,pure_human,0.021358125901588254
Latin America,5000,pure_climate,0.11470468580388504
Latin America,5000,pure_space,0.030912408911739186
Latin America,5000,shared,0.07121636802491571
Latin America,5000,total_explained,0.2381915886421282
Latin America,5000,unexplained,0.7618084113578718
Latin America,5500,pure_human,0.013456738802506085
Latin America,5500,pure_climate,0.1724964531691563
Latin America,5500,pure_space,0
Latin America,5500,shared,-0.008148301923192602
Latin America,5500,total_explained,0.17780489004846978
Latin America,5500,unexplained,0.8221951099515302
Latin America,6000,pure_human,0.01602521333893403
Latin America,6000,pure_climate,0.16203259649922885
Latin America,6000,pure_space,0
Latin America,6000,shared,-0.012758550981399774
Latin America,6000,total_explained,0.1652992588567631
Latin America,6000,unexplained,0.8347007411432369
Latin America,6500,pure_human,-0.004489876908555401
Latin America,6500,pure_climate,0.16292425551857104
Latin America,6500,pure_space,0
Latin America,6500,shared,2.201087284522396e-4
Latin America,6500,total_explained,0.15865448733846788
Latin America,6500,unexplained,0.8413455126615321
Latin America,7000,pure_human,0.002452787395990641
Latin America,7000,pure_climate,0.11811025291463917
Latin America,7000,pure_space,0
Latin America,7000,shared,0.00783416669031023
Latin America,7000,total_explained,0.12839720700094004
Latin America,7000,unexplained,0.87160279299906
Latin America,7500,pure_human,0.012846544178781394
Latin America,7500,pure_climate,0.11233365439641352
Latin America,7500,pure_space,0.024881075833685706
Latin America,7500,shared,0.030828369290223256
Latin America,7500,total_explained,0.18088964369910387
Latin America,7500,unexplained,0.8191103563008961
Latin America,8000,pure_human,0.057197047594539585
Latin America,8000,pure_climate,0.12463019232361072
Latin America,8000,pure_space,0
Latin America,8000,shared,-0.009615986005412802
Latin America,8000,total_explained,0.1722112539127375
Latin America,8000,unexplained,0.8277887460872625
Latin America,8500,pure_human,0.015052413002135334
Latin America,8500,pure_climate,0.06827936279109603
Latin America,8500,pure_space,0.03619964545198695
Latin America,8500,shared,0.05378352545787035
Latin America,8500,total_explained,0.17331494670308867
Latin America,8500,unexplained,0.8266850532969113
Latin America,3500,pure_human,0.026130973201567764
Latin America,3500,pure_climate,0.2042810949968803
Latin America,3500,pure_space,0
Latin America,3500,shared,-0.023106815073133724
Latin America,3500,total_explained,0.20730525312531434
Latin America,3500,unexplained,0.7926947468746857
Oceania,2000,pure_human,0.008820202112440945
Oceania,2000,pure_climate,-0.005990722835036433
Oceania,2000,pure_space,0
Oceania,2000,shared,0.028665354589129333
Oceania,2000,total_explained,0.031494833866533845
Oceania,2000,unexplained,0.9685051661334662
Oceania,2500,pure_human,0.004395735781840715
Oceania,2500,pure_climate,0.07937978312631322
Oceania,2500,pure_space,0.028387473299724353
Oceania,2500,shared,0.018016769992349357
Oceania,2500,total_explained,0.13017976220022764
Oceania,2500,unexplained,0.8698202377997724
Oceania,3000,pure_human,0.02348171978279734
Oceania,3000,pure_climate,0.11617600735023348
Oceania,3000,pure_space,0
Oceania,3000,shared,0.013746259970232488
Oceania,3000,total_explained,0.1534039871032633
Oceania,3000,unexplained,0.8465960128967367
Oceania,3500,pure_human,0.026980508702966866
Oceania,3500,pure_climate,0.15236259650982265
Oceania,3500,pure_space,0.021339146492376226
Oceania,3500,shared,-0.019601141239255382
Oceania,3500,total_explained,0.18108111046591036
Oceania,3500,unexplained,0.8189188895340896
Oceania,4000,pure_human,0.00683667807426569
Oceania,4000,pure_climate,0.10413565236346634
Oceania,4000,pure_space,0.02810318901729225
Oceania,4000,shared,-0.005230076166439335
Oceania,4000,total_explained,0.13384544328858494
Oceania,4000,unexplained,0.8661545567114151
Oceania,4500,pure_human,4.3129298816468875e-4
Oceania,4500,pure_climate,0.12831858820765596
Oceania,4500,pure_space,0.014398319450245056
Oceania,4500,shared,-0.005377361206951314
Oceania,4500,total_explained,0.1377708394391144
Oceania,4500,unexplained,0.8622291605608856
Oceania,5000,pure_human,6.690789421753829e-4
Oceania,5000,pure_climate,0.06619623504097938
Oceania,5000,pure_space,0.015725324708551924
Oceania,5000,shared,0.008993146869888835
Oceania,5000,total_explained,0.09158378556159552
Oceania,5000,unexplained,0.9084162144384045
Oceania,5500,pure_human,-0.0018744936684002012
Oceania,5500,pure_climate,0.055577347339297756
Oceania,5500,pure_space,0
