dataset_id,n_input_rows,n_unique_ages,n_collapsed_rows,had_repeated_ages
4372,14,14,0,FALSE
4382,14,14,0,FALSE
16193,14,14,0,FALSE
42720,14,14,0,FALSE
811,14,14,0,FALSE
22828,14,14,0,FALSE
1657,14,14,0,FALSE
48697,12,9,3,TRUE
1520,13,13,0,FALSE
1663,13,13,0,FALSE
14512,14,14,0,FALSE
356,13,13,0,FALSE
519,14,14,0,FALSE
15715,13,13,0,FALSE
3047,14,14,0,FALSE
20018,14,14,0,FALSE
281,14,14,0,FALSE
21603,14,14,0,FALSE
48917,14,14,0,FALSE
304,14,14,0,FALSE
15035,17,14,3,TRUE
1849,14,14,0,FALSE
16212,14,14,0,FALSE
1705,13,13,0,FALSE
492,14,14,0,FALSE
4203,14,14,0,FALSE
42722,12,12,0,FALSE
550,14,14,0,FALSE
3830,14,14,0,FALSE
17359,14,14,0,FALSE
40579,29,14,15,TRUE
41183,14,14,0,FALSE
15189,14,14,0,FALSE
534,14,14,0,FALSE
4362,13,13,0,FALSE
41580,14,14,0,FALSE
41770,17,14,3,TRUE
45101,14,14,0,FALSE
4288,14,14,0,FALSE
22814,14,14,0,FALSE
2951,14,14,0,FALSE
4403,20,14,6,TRUE
1006,14,14,0,FALSE
871,14,14,0,FALSE
17371,13,13,0,FALSE
21768,6,6,0,FALSE
1448,14,14,0,FALSE
24155,12,12,0,FALSE
40454,14,14,0,FALSE
22817,14,14,0,FALSE
25232,14,14,0,FALSE
43525,14,14,0,FALSE
20046,14,14,0,FALSE
4209,13,13,0,FALSE
1622,14,14,0,FALSE
4467,14,14,0,FALSE
15793,14,14,0,FALSE
15680,14,14,0,FALSE
3928,14,14,0,FALSE
4531,14,14,0,FALSE
2314,14,14,0,FALSE
339,14,14,0,FALSE
1807,14,14,0,FALSE
514,13,13,0,FALSE
3125,13,13,0,FALSE
20922,14,14,0,FALSE
41606,12,12,0,FALSE
352,14,14,0,FALSE
17304,14,14,0,FALSE
22732,14,14,0,FALSE
2609,14,14,0,FALSE
48798,13,13,0,FALSE
21978,14,14,0,FALSE
22793,14,14,0,FALSE
15766,14,14,0,FALSE
46481,14,14,0,FALSE
17713,14,14,0,FALSE
20651,14,14,0,FALSE
47520,14,14,0,FALSE
4359,12,12,0,FALSE
1788,20,14,6,TRUE
45648,11,11,0,FALSE
4183,14,14,0,FALSE
13055,14,14,0,FALSE
816,14,14,0,FALSE
3056,14,14,0,FALSE
40803,14,14,0,FALSE
22652,13,13,0,FALSE
24956,11,11,0,FALSE
16278,13,13,0,FALSE
1632,13,13,0,FALSE
1904,13,13,0,FALSE
48948,17,14,3,TRUE
3977,14,14,0,FALSE
25837,14,14,0,FALSE
2961,14,14,0,FALSE
4145,14,14,0,FALSE
1152,13,13,0,FALSE
3468,17,14,3,TRUE
15586,14,14,0,FALSE
22908,14,14,0,FALSE
1104,13,13,0,FALSE
2623,13,13,0,FALSE
1626,17,14,3,TRUE
24091,13,13,0,FALSE
