analysis,dataset_id,region,climatezone,model_id,predictor,varpart_unique,unique,average_share,individual,individual_percent,predictor_present,shared,varpart_total,total_adjusted_r_squared,model_result_available,varpart_available,has_required_predictors,has_finite_total,has_positive_total,has_finite_individual,has_finite_varpart,has_negative_unique,has_negative_individual,is_importance_eligible,exclusion_reason,zero_truncated_individual,zero_truncated_total,zero_truncated_allocation,signed_allocation,climatezone_label
spatial_spd,1149,North America,Cold - Warm Summer,analysis=spatial_spd|dataset_id=1149|region=North America|climatezone=Cold_Without_dry_season_Warm_Summer,human,0.0696,0.0696,0.1539,0.2235,37.75,TRUE,0.3077,0.5923,0.592,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,0.2235,0.5923,0.3773425628904271,0.3775337837837838,CWS
spatial_spd,46998,Latin America,Temperate,analysis=spatial_spd|dataset_id=46998|region=Latin America|climatezone=Temperate_Without_dry_season,human,-0.0159,-0.0159,0.0288,0.0129,16.54,TRUE,0.0577,0.078,0.078,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,0.0129,0.078,0.16538461538461538,0.16538461538461538,TMP
spatial_spd,46490,Europe,Cold - Warm Summer,analysis=spatial_spd|dataset_id=46490|region=Europe|climatezone=Cold_Without_dry_season_Warm_Summer,human,0.1041,0.1041,-0.048999999999999995,0.0551,13.21,TRUE,-0.098,0.4167,0.417,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,0.0551,0.41669999999999996,0.13222942164626833,0.13213429256594725,CWS
spatial_spd,210,North America,Arid,analysis=spatial_spd|dataset_id=210|region=North America|climatezone=Arid,human,0.0397,0.0397,0.1092,0.1489,27.37,TRUE,0.2185,0.5436,0.544,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,0.1489,0.5436,0.2739146431199412,0.2737132352941176,ARD
spatial_spd,4136,Europe,Cold - Cold Summer,analysis=spatial_spd|dataset_id=4136|region=Europe|climatezone=Cold_Without_dry_season_Cold_Summer,human,0.0167,0.0167,-0.0058,0.0109,4.52,TRUE,-0.0116,0.241,0.241,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,0.0109,0.241,0.045228215767634854,0.045228215767634854,CCS
spatial_spd,45192,Europe,Temperate - Dry Summer,analysis=spatial_spd|dataset_id=45192|region=Europe|climatezone=Temperate_Dry_Summer,human,0.0152,0.0152,-0.0158,-6e-4,-0.1,TRUE,-0.0317,0.5908,0.591,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,NA,0,0.5915,0,-0.0010152284263959391,TDS
spatial_spd,15232,North America,Cold - Cold Summer,analysis=spatial_spd|dataset_id=15232|region=North America|climatezone=Cold_Without_dry_season_Cold_Summer,human,0.0116,0.0116,0.0178,0.0294,22.11,TRUE,0.0355,0.1325,0.133,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,0.0294,0.1326,0.22171945701357465,0.22105263157894736,CCS
spatial_spd,41467,Europe,Temperate,analysis=spatial_spd|dataset_id=41467|region=Europe|climatezone=Temperate_Without_dry_season,human,0.2012,0.2012,-0.033899999999999986,0.1673,34.71,TRUE,-0.0678,0.4816,0.482,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,0.1673,0.48160000000000003,0.34738372093023256,0.34709543568464735,TMP
spatial_spd,3938,Europe,Cold - Warm Summer,analysis=spatial_spd|dataset_id=3938|region=Europe|climatezone=Cold_Without_dry_season_Warm_Summer,human,-0.0347,-0.0347,0.0125,-0.0222,-12.07,TRUE,0.0249,0.1844,0.184,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,0,0.2067,0,-0.12065217391304349,CWS
spatial_spd,2619,North America,Temperate - Dry Summer,analysis=spatial_spd|dataset_id=2619|region=North America|climatezone=Temperate_Dry_Summer,human,0.0517,0.0517,0.07119999999999999,0.1229,62.07,TRUE,0.1424,0.1976,0.198,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,0.1229,0.1976,0.6219635627530364,0.6207070707070707,TDS
