analysis,aggregation_level,predictor,profile,individual_sum,total_sum,pooled_allocation,n_models,signed_allocation,delta_from_signed,region,climatezone,age
temporal_events,region_age,human,zero_truncated,0.0416,0.1071,0.38842203548085896,1,0.38878504672897196,-3.630112481129988e-4,Asia,NA,2500
temporal_events,region_age,climate,zero_truncated,0.0691,0.11349999999999999,0.6088105726872247,1,0.611504424778761,-0.002693852091536275,Asia,NA,3000
temporal_events,region_age,human,zero_truncated,0.0444,0.11349999999999999,0.3911894273127754,1,0.3929203539823009,-0.001730926669525512,Asia,NA,3000
temporal_events,region_age,climate,zero_truncated,0.0893,0.09960000000000001,0.896586345381526,1,0.893,0.0035863453815260238,Asia,NA,3500
temporal_events,region_age,human,zero_truncated,0.0103,0.09960000000000001,0.10341365461847389,1,0.103,4.136546184738965e-4,Asia,NA,3500
temporal_events,region_age,climate,zero_truncated,0.0679,0.0955,0.7109947643979058,1,0.7072916666666667,0.0037030977312391133,Asia,NA,4000
temporal_events,region_age,human,zero_truncated,0.0276,0.0955,0.28900523560209423,1,0.2875,0.001505235602094257,Asia,NA,4000
temporal_events,region_age,climate,zero_truncated,0.0763,0.09330000000000001,0.8177920685959271,1,0.8204301075268818,-0.0026380389309547114,Asia,NA,4500
temporal_events,region_age,human,zero_truncated,0.017,0.09330000000000001,0.18220793140407288,1,0.1827956989247312,-5.877675206583111e-4,Asia,NA,4500
temporal_events,region_age,climate,zero_truncated,0.0758,0.09770000000000001,0.7758444216990789,1,0.7734693877551021,0.0023750339439767565,Asia,NA,5000
temporal_events,region_age,human,zero_truncated,0.0219,0.09770000000000001,0.22415557830092117,1,0.22346938775510203,6.861905458191431e-4,Asia,NA,5000
temporal_events,region_age,climate,zero_truncated,0.0915,0.1041,0.8789625360230547,1,0.8798076923076923,-8.451562846375493e-4,Asia,NA,5500
temporal_events,region_age,human,zero_truncated,0.0126,0.1041,0.12103746397694524,1,0.12115384615384615,-1.163821769009088e-4,Asia,NA,5500
temporal_events,region_age,climate,zero_truncated,0.0935,0.099,0.9444444444444444,1,0.9444444444444444,0,Asia,NA,6000
temporal_events,region_age,human,zero_truncated,0.0055,0.099,0.05555555555555555,1,0.05555555555555555,0,Asia,NA,6000
temporal_events,region_age,climate,zero_truncated,0.1074,0.1099,0.9772520473157416,1,0.9763636363636363,8.884109521052341e-4,Asia,NA,6500
temporal_events,region_age,human,zero_truncated,0.0025,0.1099,0.02274795268425842,1,0.022727272727272728,2.0679956985691222e-5,Asia,NA,6500
temporal_events,region_age,climate,zero_truncated,0.1207,0.13040000000000002,0.9256134969325153,1,0.9284615384615384,-0.002848041529023182,Asia,NA,7000
temporal_events,region_age,human,zero_truncated,0.0097,0.13040000000000002,0.07438650306748465,1,0.07461538461538461,-2.2888154789996173e-4,Asia,NA,7000
temporal_events,region_age,climate,zero_truncated,0.1277,0.13490000000000002,0.9466271312083023,1,0.945925925925926,7.012052823763826e-4,Asia,NA,7500
temporal_events,region_age,human,zero_truncated,0.0072,0.13490000000000002,0.053372868791697545,1,0.05333333333333333,3.9535458364214904e-5,Asia,NA,7500
temporal_events,region_age,climate,zero_truncated,0.1574,0.1663,0.9464822609741431,1,0.9481927710843374,-0.0017105101101942966,Asia,NA,8000
temporal_events,region_age,human,zero_truncated,0.0089,0.1663,0.05351773902585688,1,0.0536144578313253,-9.671880546841677e-5,Asia,NA,8000
temporal_events,region_age,climate,zero_truncated,0.1602,0.1724,0.9292343387470998,1,0.9313953488372094,-0.002161010090109605,Asia,NA,8500
temporal_events,region_age,human,zero_truncated,0.0122,0.1724,0.07076566125290024,1,0.07093023255813954,-1.645713052393083e-4,Asia,NA,8500
temporal_events,region_age,climate,zero_truncated,0.067,0.0815,0.8220858895705522,1,0.8170731707317074,0.0050127188388447985,Europe,NA,500
temporal_events,region_age,human,zero_truncated,0.0145,0.0815,0.17791411042944785,1,0.17682926829268292,0.0010848421367649352,Europe,NA,500
temporal_events,region_age,climate,zero_truncated,0.1067,0.1264,0.8441455696202531,1,0.8468253968253968,-0.0026798272051437033,Europe,NA,1000
temporal_events,region_age,human,zero_truncated,0.0197,0.1264,0.1558544303797468,1,0.15634920634920635,-4.947759694595433e-4,Europe,NA,1000
temporal_events,region_age,climate,zero_truncated,0.0939,0.1149,0.8172323759791122,1,0.8165217391304347,7.106368486775594e-4,Europe,NA,1500
temporal_events,region_age,human,zero_truncated,0.021,0.1149,0.18276762402088773,1,0.1826086956521739,1.589283687138121e-4,Europe,NA,1500
temporal_events,region_age,climate,zero_truncated,0.0854,0.108,0.7907407407407407,1,0.7907407407407407,0,Europe,NA,2000
temporal_events,region_age,human,zero_truncated,0.0226,0.108,0.20925925925925926,1,0.20925925925925926,0,Europe,NA,2000
temporal_events,region_age,climate,zero_truncated,0.0711,0.0839,0.8474374255065553,1,0.8464285714285713,0.0010088540779840116,Europe,NA,2500
temporal_events,region_age,human,zero_truncated,0.0128,0.0839,0.15256257449344457,1,0.15238095238095237,1.816221124922024e-4,Europe,NA,2500
temporal_events,region_age,climate,zero_truncated,0.0612,0.0715,0.855944055944056,1,0.85,0.005944055944056004,Europe,NA,3000
temporal_events,region_age,human,zero_truncated,0.0103,0.0715,0.14405594405594407,1,0.14305555555555557,0.0010003885003884994,Europe,NA,3000
temporal_events,region_age,climate,zero_truncated,0.0559,0.0886,0.6309255079006771,1,0.6280898876404495,0.002835620260227656,Europe,NA,3500
temporal_events,region_age,human,zero_truncated,0.0327,0.0886,0.3690744920993228,1,0.3674157303370787,0.0016587617622441098,Europe,NA,3500
temporal_events,region_age,climate,zero_truncated,0.085,0.09140000000000001,0.9299781181619255,1,0.9340659340659342,-0.00408781590400864,Europe,NA,4000
temporal_events,region_age,human,zero_truncated,0.0064,0.09140000000000001,0.0700218818380744,1,0.07032967032967033,-3.077884915959339e-4,Europe,NA,4000
temporal_events,region_age,climate,zero_truncated,0.0849,0.0893,0.9507278835386338,1,0.953932584269663,-0.0032047007310291864,Europe,NA,4500
temporal_events,region_age,human,zero_truncated,0.0044,0.0893,0.04927211646136618,1,0.04943820224719102,-1.6608578582483907e-4,Europe,NA,4500
temporal_events,region_age,climate,zero_truncated,0.0702,0.07919999999999999,0.8863636363636365,1,0.8886075949367088,-0.0022439585730723577,Europe,NA,5000
temporal_events,region_age,human,zero_truncated,0.009,0.07919999999999999,0.11363636363636363,1,0.11392405063291139,-2.876869965477563e-4,Europe,NA,5000
temporal_events,region_age,climate,zero_truncated,0.086,0.08869999999999999,0.9695603156708005,1,0.9662921348314606,0.003268180839339885,Europe,NA,5500
temporal_events,region_age,human,zero_truncated,0.0027,0.08869999999999999,0.030439684329199555,1,0.030337078651685397,1.0260567751415803e-4,Europe,NA,5500
temporal_events,region_age,climate,zero_truncated,0.0773,0.1045,0.7397129186602871,1,0.7432692307692308,-0.0035563121089436933,Europe,NA,6000
temporal_events,region_age,human,zero_truncated,0.0272,0.1045,0.2602870813397129,1,0.26153846153846155,-0.0012513801987486528,Europe,NA,6000
temporal_events,region_age,climate,zero_truncated,0.0717,0.0742,0.9663072776280324,1,0.968918918918919,-0.002611641290886646,Europe,NA,6500
temporal_events,region_age,human,zero_truncated,0.0025,0.0742,0.03369272237196765,1,0.033783783783783786,-9.10614118161332e-5,Europe,NA,6500
temporal_events,region_age,climate,zero_truncated,0.0799,0.1002,0.7974051896207585,1,0.7989999999999999,-0.0015948103792414736,Europe,NA,7000
temporal_events,region_age,human,zero_truncated,0.0203,0.1002,0.2025948103792415,1,0.20299999999999999,-4.0518962075847265e-4,Europe,NA,7000
temporal_events,region_age,climate,zero_truncated,0.0786,0.10550000000000001,0.7450236966824644,1,0.7415094339622642,0.0035142627202001675,Europe,NA,7500
temporal_events,region_age,human,zero_truncated,0.0269,0.10550000000000001,0.2549763033175355,1,0.2537735849056604,0.0012027184118751366,Europe,NA,7500
temporal_events,region_age,climate,zero_truncated,0.0778,0.0867,0.8973471741637831,1,0.8942528735632184,0.0030943006005647034,Europe,NA,8000
temporal_events,region_age,human,zero_truncated,0.0089,0.0867,0.10265282583621683,1,0.10229885057471265,3.539752615041858e-4,Europe,NA,8000
temporal_events,region_age,climate,zero_truncated,0.074,0.0781,0.9475032010243277,1,0.9487179487179487,-0.0012147476936209545,Europe,NA,8500
temporal_events,region_age,human,zero_truncated,0.0041,0.0781,0.05249679897567222,1,0.05256410256410257,-6.730358843035078e-5,Europe,NA,8500
temporal_events,region_age,climate,zero_truncated,0.0687,0.0784,0.8762755102040817,1,0.8807692307692307,-0.004493720565149073,Latin America,NA,500
temporal_events,region_age,human,zero_truncated,0.0097,0.0784,0.12372448979591838,1,0.12435897435897436,-6.344845630559814e-4,Latin America,NA,500
temporal_events,region_age,climate,zero_truncated,0.095,0.095,1,1,1.021505376344086,-0.021505376344086002,Latin America,NA,1000
temporal_events,region_age,human,zero_truncated,0,0.095,0,1,-0.02258064516129032,0.02258064516129032,Latin America,NA,1000
temporal_events,region_age,climate,zero_truncated,0.1286,0.1294,0.9938176197836167,1,0.9968992248062014,-0.003081605022584699,Latin America,NA,1500
temporal_events,region_age,human,zero_truncated,8e-4,0.1294,0.006182380216383308,1,0.006201550387596899,-1.9170171213590825e-5,Latin America,NA,1500
temporal_events,region_age,climate,zero_truncated,0.151,0.1568,0.9630102040816326,1,0.9617834394904459,0.0012267645911867575,Latin America,NA,2000
temporal_events,region_age,human,zero_truncated,0.0058,0.1568,0.036989795918367346,1,0.03694267515923567,4.7120759131678847e-5,Latin America,NA,2000
temporal_events,region_age,climate,zero_truncated,0.1404,0.159,0.8830188679245282,1,0.8830188679245282,0,Latin America,NA,2500
temporal_events,region_age,human,zero_truncated,0.0186,0.159,0.11698113207547169,1,0.11698113207547169,0,Latin America,NA,2500
temporal_events,region_age,climate,zero_truncated,0.1672,0.17179999999999998,0.9732246798603027,1,0.9720930232558139,0.0011316566044887733,Latin America,NA,3000
temporal_events,region_age,human,zero_truncated,0.0046,0.17179999999999998,0.026775320139697325,1,0.02674418604651163,3.1134093185693906e-5,Latin America,NA,3000
temporal_events,region_age,climate,zero_truncated,0.1634,0.1828,0.8938730853391684,1,0.8928961748633879,9.769104757805236e-4,Latin America,NA,3500
temporal_events,region_age,human,zero_truncated,0.0194,0.1828,0.10612691466083152,1,0.10601092896174864,1.1598569908287393e-4,Latin America,NA,3500
temporal_events,region_age,climate,zero_truncated,0.1758,0.18880000000000002,0.9311440677966101,1,0.9301587301587302,9.853376378798906e-4,Latin America,NA,4000
temporal_events,region_age,human,zero_truncated,0.013,0.18880000000000002,0.06885593220338981,1,0.06878306878306878,7.286342032103432e-5,Latin America,NA,4000
temporal_events,region_age,climate,zero_truncated,0.1668,0.17830000000000001,0.9355019629837352,1,0.9370786516853933,-0.0015766887016580577,Latin America,NA,4500
temporal_events,region_age,human,zero_truncated,0.0115,0.17830000000000001,0.06449803701626472,1,0.06460674157303371,-1.0870455676899315e-4,Latin America,NA,4500
temporal_events,region_age,climate,zero_truncated,0.1677,0.1677,1,1,1.0163636363636361,-0.016363636363636136,Latin America,NA,5000
temporal_events,region_age,human,zero_truncated,0,0.1677,0,1,-0.018787878787878787,0.018787878787878787,Latin America,NA,5000
temporal_events,region_age,climate,zero_truncated,0.1625,0.1625,1,1,1.015625,-0.015625,Latin America,NA,5500
temporal_events,region_age,human,zero_truncated,0,0.1625,0,1,-0.01625,0.01625,Latin America,NA,5500
temporal_events,region_age,climate,zero_truncated,0.1538,0.1538,1,1,1.0118421052631579,-0.011842105263157876,Latin America,NA,6000
temporal_events,region_age,human,zero_truncated,0,0.1538,0,1,-0.011842105263157895,0.011842105263157895,Latin America,NA,6000
temporal_events,region_age,climate,zero_truncated,0.161,0.1642,0.9805115712545676,1,0.9817073170731707,-0.0011957458186031555,Latin America,NA,6500
temporal_events,region_age,human,zero_truncated,0.0032,0.1642,0.0194884287454324,1,0.01951219512195122,-2.3766376518821047e-5,Latin America,NA,6500
temporal_events,region_age,climate,zero_truncated,0.124,0.1317,0.9415337889141988,1,0.9393939393939393,0.0021398495202594736,Latin America,NA,7000
temporal_events,region_age,human,zero_truncated,0.0077,0.1317,0.05846621108580106,1,0.058333333333333334,1.3287775246772354e-4,Latin America,NA,7000
temporal_events,region_age,climate,zero_truncated,0.1417,0.14509999999999998,0.976567884217781,1,0.9772413793103448,-6.734950925638694e-4,Latin America,NA,7500
temporal_events,region_age,human,zero_truncated,0.0034,0.14509999999999998,0.02343211578221916,1,0.023448275862068966,-1.6160079849805026e-5,Latin America,NA,7500
temporal_events,region_age,climate,zero_truncated,0.1162,0.1162,1,1,1.0468468468468468,-0.04684684684684681,Latin America,NA,8000
temporal_events,region_age,human,zero_truncated,0,0.1162,0,1,-0.047747747747747746,0.047747747747747746,Latin America,NA,8000
temporal_events,region_age,climate,zero_truncated,0.1219,0.1219,1,1,1.0418803418803417,-0.04188034188034173,Latin America,NA,8500
temporal_events,region_age,human,zero_truncated,0,0.1219,0,1,-0.04444444444444444,0.04444444444444444,Latin America,NA,8500
temporal_events,region_age,climate,zero_truncated,0.1032,0.1583,0.6519267214150347,1,0.6531645569620254,-0.00123783554699064,North America,NA,500
temporal_events,region_age,human,zero_truncated,0.0551,0.1583,0.3480732785849653,1,0.3487341772151899,-6.608986302246156e-4,North America,NA,500
temporal_events,region_age,climate,zero_truncated,0.0947,0.1092,0.8672161172161172,1,0.8688073394495414,-0.0015912222334241166,North America,NA,1000
temporal_events,region_age,human,zero_truncated,0.0145,0.1092,0.13278388278388278,1,0.13302752293577982,-2.4364015189703991e-4,North America,NA,1000
temporal_events,region_age,climate,zero_truncated,0.0953,0.1018,0.9361493123772101,1,0.9343137254901961,0.001835586887014018,North America,NA,1500
temporal_events,region_age,human,zero_truncated,0.0065,0.1018,0.06385068762278978,1,0.06372549019607843,1.2519742671135425e-4,North America,NA,1500
temporal_events,region_age,climate,zero_truncated,0.0974,0.1007,0.9672293942403178,1,0.9643564356435643,0.0028729585967535165,North America,NA,2000
temporal_events,region_age,human,zero_truncated,0.0033,0.1007,0.03277060575968223,1,0.03267326732673267,9.733843294956052e-5,North America,NA,2000
temporal_events,region_age,climate,zero_truncated,0.0964,0.1025,0.9404878048780488,1,0.9450980392156864,-0.00461023433763752,North America,NA,2500
temporal_events,region_age,human,zero_truncated,0.0061,0.1025,0.059512195121951224,1,0.05980392156862746,-2.9172644667623676e-4,North America,NA,2500
temporal_events,region_age,climate,zero_truncated,0.1001,0.10769999999999999,0.9294336118848654,1,0.9268518518518518,0.0025817600330135804,North America,NA,3000
temporal_events,region_age,human,zero_truncated,0.0076,0.10769999999999999,0.07056638811513465,1,0.07037037037037037,1.960177447642708e-4,North America,NA,3000
temporal_events,region_age,climate,zero_truncated,0.097,0.10540000000000001,0.920303605313093,1,0.9238095238095239,-0.003505918496430893,North America,NA,3500
temporal_events,region_age,human,zero_truncated,0.0084,0.10540000000000001,0.07969639468690701,1,0.08,-3.0360531309299443e-4,North America,NA,3500
temporal_events,region_age,climate,zero_truncated,0.0872,0.0943,0.9247083775185578,1,0.9276595744680851,-0.0029511969495272794,North America,NA,4000
temporal_events,region_age,human,zero_truncated,0.0071,0.0943,0.07529162248144221,1,0.07553191489361702,-2.4029241217481123e-4,North America,NA,4000
temporal_events,region_age,climate,zero_truncated,0.0957,0.10329999999999999,0.9264278799612778,1,0.929126213592233,-0.002698333630955174,North America,NA,4500
temporal_events,region_age,human,zero_truncated,0.0076,0.10329999999999999,0.07357212003872218,1,0.07378640776699029,-2.1428772826810605e-4,North America,NA,4500
temporal_events,region_age,climate,zero_truncated,0.0978,0.1086,0.9005524861878452,1,0.8972477064220183,0.003304779765826882,North America,NA,5000
temporal_events,region_age,human,zero_truncated,0.0108,0.1086,0.0994475138121547,1,0.09908256880733946,3.6494500481525083e-4,North America,NA,5000
temporal_events,region_age,climate,zero_truncated,0.0839,0.09280000000000001,0.9040948275862069,1,0.9021505376344087,0.0019442899517981838,North America,NA,5500
temporal_events,region_age,human,zero_truncated,0.0089,0.09280000000000001,0.0959051724137931,1,0.0956989247311828,2.0624768261029436e-4,North America,NA,5500
temporal_events,region_age,climate,zero_truncated,0.0898,0.09920000000000001,0.9052419354838709,1,0.907070707070707,-0.001828771586836142,North America,NA,6000
temporal_events,region_age,human,zero_truncated,0.0094,0.09920000000000001,0.09475806451612903,1,0.09494949494949495,-1.9143043336591892e-4,North America,NA,6000
temporal_events,region_age,climate,zero_truncated,0.0905,0.0993,0.9113796576032225,1,0.914141414141414,-0.002761756538191551,North America,NA,6500
temporal_events,region_age,human,zero_truncated,0.0088,0.0993,0.08862034239677745,1,0.08888888888888889,-2.685464921114433e-4,North America,NA,6500
temporal_events,region_age,climate,zero_truncated,0.0937,0.09480000000000001,0.9883966244725738,1,0.9863157894736843,0.002080834998889558,North America,NA,7000
temporal_events,region_age,human,zero_truncated,0.0011,0.09480000000000001,0.01160337552742616,1,0.011578947368421053,2.4428159005105907e-5,North America,NA,7000
temporal_events,region_age,climate,zero_truncated,0.0882,0.10300000000000001,0.8563106796116504,1,0.8563106796116505,-1.1102230246251565e-16,North America,NA,7500
temporal_events,region_age,human,zero_truncated,0.0148,0.10300000000000001,0.1436893203883495,1,0.14368932038834953,-2.7755575615628914e-17,North America,NA,7500
temporal_events,region_age,climate,zero_truncated,0.1074,0.13219999999999998,0.8124054462934948,1,0.8136363636363636,-0.0012309173428688425,North America,NA,8000
temporal_events,region_age,human,zero_truncated,0.0248,0.13219999999999998,0.18759455370650532,1,0.18787878787878787,-2.8423417228254366e-4,North America,NA,8000
temporal_events,region_age,climate,zero_truncated,0.1051,0.1473,0.7135098438560761,1,0.7149659863945579,-0.0014561425384818083,North America,NA,8500
temporal_events,region_age,human,zero_truncated,0.0422,0.1473,0.286490156143924,1,0.2870748299319728,-5.846737880488284e-4,North America,NA,8500
temporal_events,region_age,climate,zero_truncated,0.0856,0.0856,1,1,1.2588235294117645,-0.25882352941176445,Oceania,NA,500
temporal_events,region_age,human,zero_truncated,0,0.0856,0,1,-0.2647058823529411,0.2647058823529411,Oceania,NA,500
temporal_events,region_age,climate,zero_truncated,0.0864,0.11860000000000001,0.7284991568296796,1,0.7260504201680673,0.002448736661612272,Oceania,NA,1000
temporal_events,region_age,human,zero_truncated,0.0322,0.11860000000000001,0.27150084317032036,1,0.27058823529411763,9.126078762027312e-4,Oceania,NA,1000
temporal_events,region_age,climate,zero_truncated,0.0727,0.0727,1,1,1.0850746268656717,-0.08507462686567169,Oceania,NA,1500
temporal_events,region_age,human,zero_truncated,0,0.0727,0,1,-0.08208955223880596,0.08208955223880596,Oceania,NA,1500
temporal_events,region_age,climate,zero_truncated,0.0211,0.030699999999999998,0.6872964169381108,1,0.6806451612903226,0.0066512556477882345,Oceania,NA,2000
temporal_events,region_age,human,zero_truncated,0.0096,0.030699999999999998,0.3127035830618892,1,0.30967741935483867,0.0030261637070505554,Oceania,NA,2000
temporal_events,region_age,climate,zero_truncated,0.1016,0.1214,0.8369028006589786,1,0.8396694214876033,-0.0027666208286246663,Oceania,NA,2500
temporal_events,region_age,human,zero_truncated,0.0198,0.1214,0.16309719934102143,1,0.16363636363636366,-5.391642953422315e-4,Oceania,NA,2500
temporal_events,region_age,climate,zero_truncated,0.1241,0.1414,0.8776520509193777,1,0.8801418439716313,-0.0024897930522536083,Oceania,NA,3000
temporal_events,region_age,human,zero_truncated,0.0173,0.1414,0.12234794908062234,1,0.12269503546099292,-3.470863803705787e-4,Oceania,NA,3000
temporal_events,region_age,climate,zero_truncated,0.1352,0.1352,1,1,1.1266666666666667,-0.1266666666666667,Oceania,NA,3500
temporal_events,region_age,human,zero_truncated,0,0.1352,0,1,-0.1225,0.1225,Oceania,NA,3500
temporal_events,region_age,climate,zero_truncated,0.0995,0.0995,1,1,1.1436781609195403,-0.14367816091954033,Oceania,NA,4000
temporal_events,region_age,human,zero_truncated,0,0.0995,0,1,-0.14367816091954025,0.14367816091954025,Oceania,NA,4000
temporal_spd,region_age,climate,zero_truncated,0.0949,0.0949,1,1,1.0315217391304348,-0.03152173913043477,Asia,NA,500
temporal_spd,region_age,human,zero_truncated,0,0.0949,0,1,-0.034782608695652174,0.034782608695652174,Asia,NA,500
temporal_spd,region_age,climate,zero_truncated,0.0574,0.0658,0.8723404255319149,1,0.8696969696969696,0.0026434558349452963,Asia,NA,1000
temporal_spd,region_age,human,zero_truncated,0.0084,0.0658,0.1276595744680851,1,0.12727272727272726,3.8684719535783674e-4,Asia,NA,1000
temporal_spd,region_age,climate,zero_truncated,0.0779,0.0831,0.937424789410349,1,0.9385542168674698,-0.0011294274571207463,Asia,NA,1500
temporal_spd,region_age,human,zero_truncated,0.0052,0.0831,0.06257521058965103,1,0.06265060240963854,-7.539181998751643e-5,Asia,NA,1500
temporal_spd,region_age,climate,zero_truncated,0.0769,0.0972,0.7911522633744856,1,0.7927835051546391,-0.0016312417801535029,Asia,NA,2000
temporal_spd,region_age,human,zero_truncated,0.0203,0.0972,0.2088477366255144,1,0.2092783505154639,-4.3061388994949934e-4,Asia,NA,2000
temporal_spd,region_age,climate,zero_truncated,0.089,0.0945,0.9417989417989417,1,0.9468085106382979,-0.005009568839356104,Asia,NA,2500
temporal_spd,region_age,human,zero_truncated,0.0055,0.0945,0.0582010582010582,1,0.058510638297872335,-3.0958009681413684e-4,Asia,NA,2500
temporal_spd,region_age,climate,zero_truncated,0.0861,0.091,0.9461538461538461,1,0.9461538461538461,0,Asia,NA,3000
temporal_spd,region_age,human,zero_truncated,0.0049,0.091,0.05384615384615385,1,0.05384615384615385,0,Asia,NA,3000
temporal_spd,region_age,climate,zero_truncated,0.0882,0.0938,0.9402985074626866,1,0.9382978723404255,0.0020006351222611185,Asia,NA,3500
temporal_spd,region_age,human,zero_truncated,0.0056,0.0938,0.05970149253731344,1,0.059574468085106386,1.2702445220705294e-4,Asia,NA,3500
temporal_spd,region_age,climate,zero_truncated,0.0717,0.0764,0.9384816753926702,1,0.9434210526315789,-0.004939377238908693,Asia,NA,4000
temporal_spd,region_age,human,zero_truncated,0.0047,0.0764,0.061518324607329845,1,0.0618421052631579,-3.2378065582805426e-4,Asia,NA,4000
temporal_spd,region_age,climate,zero_truncated,0.0704,0.0844,0.8341232227488152,1,0.8380952380952381,-0.003972015346422886,Asia,NA,4500
temporal_spd,region_age,human,zero_truncated,0.014,0.0844,0.16587677725118483,1,0.16666666666666666,-7.898894154818314e-4,Asia,NA,4500
temporal_spd,region_age,climate,zero_truncated,0.0665,0.08650000000000001,0.7687861271676301,1,0.7643678160919541,0.004418311075675918,Asia,NA,5000
temporal_spd,region_age,human,zero_truncated,0.02,0.08650000000000001,0.23121387283236994,1,0.2298850574712644,0.0013288153611055453,Asia,NA,5000
temporal_spd,region_age,climate,zero_truncated,0.0865,0.093,0.9301075268817204,1,0.9301075268817204,0,Asia,NA,5500
temporal_spd,region_age,human,zero_truncated,0.0065,0.093,0.06989247311827956,1,0.06989247311827956,0,Asia,NA,5500
temporal_spd,region_age,climate,zero_truncated,0.0794,0.106,0.749056603773585,1,0.749056603773585,0,Asia,NA,6000
temporal_spd,region_age,human,zero_truncated,0.0266,0.106,0.2509433962264151,1,0.2509433962264151,0,Asia,NA,6000
temporal_spd,region_age,climate,zero_truncated,0.1015,0.10640000000000001,0.9539473684210527,1,0.9575471698113208,-0.0035998013902681647,Asia,NA,6500
temporal_spd,region_age,human,zero_truncated,0.0049,0.10640000000000001,0.046052631578947366,1,0.04622641509433962,-1.7378351539225345e-4,Asia,NA,6500
temporal_spd,region_age,climate,zero_truncated,0.1105,0.1328,0.8320783132530121,1,0.8308270676691729,0.0012512455838391556,Asia,NA,7000
temporal_spd,region_age,human,zero_truncated,0.0223,0.1328,0.16792168674698796,1,0.16766917293233083,2.525138146571293e-4,Asia,NA,7000
temporal_spd,region_age,climate,zero_truncated,0.1148,0.1328,0.8644578313253012,1,0.863157894736842,0.0012999365884591718,Asia,NA,7500
temporal_spd,region_age,human,zero_truncated,0.018,0.1328,0.1355421686746988,1,0.13533834586466165,2.0382281003714087e-4,Asia,NA,7500
temporal_spd,region_age,climate,zero_truncated,0.1502,0.1599,0.9393370856785491,1,0.93875,5.870856785491485e-4,Asia,NA,8000
temporal_spd,region_age,human,zero_truncated,0.0097,0.1599,0.06066291432145091,1,0.060625,3.79143214509145e-5,Asia,NA,8000
temporal_spd,region_age,climate,zero_truncated,0.1613,0.1668,0.9670263788968825,1,0.9658682634730539,0.0011581154238285984,Asia,NA,8500
temporal_spd,region_age,human,zero_truncated,0.0055,0.1668,0.0329736211031175,1,0.03293413173652694,3.948936659056018e-5,Asia,NA,8500
temporal_spd,region_age,climate,zero_truncated,0.0764,0.08829999999999999,0.8652321630804077,1,0.8681818181818182,-0.002949655101410431,Europe,NA,500
temporal_spd,region_age,human,zero_truncated,0.0119,0.08829999999999999,0.13476783691959232,1,0.13522727272727275,-4.594358076804306e-4,Europe,NA,500
temporal_spd,region_age,climate,zero_truncated,0.1194,0.12510000000000002,0.9544364508393285,1,0.9552,-7.635491606715616e-4,Europe,NA,1000
temporal_spd,region_age,human,zero_truncated,0.0057,0.12510000000000002,0.04556354916067146,1,0.0456,-3.645083932854454e-5,Europe,NA,1000
temporal_spd,region_age,climate,zero_truncated,0.1003,0.1023,0.9804496578690127,1,0.9833333333333334,-0.0028836754643206675,Europe,NA,1500
temporal_spd,region_age,human,zero_truncated,0.002,0.1023,0.019550342130987292,1,0.019607843137254905,-5.75010062676129e-5,Europe,NA,1500
temporal_spd,region_age,climate,zero_truncated,0.0924,0.0959,0.9635036496350364,1,0.9624999999999999,0.0010036496350365187,Europe,NA,2000
temporal_spd,region_age,human,zero_truncated,0.0035,0.0959,0.03649635036496351,1,0.036458333333333336,3.8017031630172005e-5,Europe,NA,2000
temporal_spd,region_age,climate,zero_truncated,0.0791,0.08320000000000001,0.9507211538461537,1,0.9530120481927711,-0.0022908943466173337,Europe,NA,2500
temporal_spd,region_age,human,zero_truncated,0.0041,0.08320000000000001,0.04927884615384615,1,0.04939759036144579,-1.1874420759963589e-4,Europe,NA,2500
temporal_spd,region_age,climate,zero_truncated,0.0582,0.0639,0.9107981220657277,1,0.909375,0.0014231220657277,Europe,NA,3000
temporal_spd,region_age,human,zero_truncated,0.0057,0.0639,0.08920187793427231,1,0.0890625,1.3937793427230838e-4,Europe,NA,3000
temporal_spd,region_age,climate,zero_truncated,0.0511,0.0711,0.7187060478199719,1,0.719718309859155,-0.0010122620391830317,Europe,NA,3500
temporal_spd,region_age,human,zero_truncated,0.02,0.0711,0.2812939521800282,1,0.28169014084507044,-3.96188665042263e-4,Europe,NA,3500
temporal_spd,region_age,climate,zero_truncated,0.0787,0.0844,0.9324644549763034,1,0.9369047619047619,-0.004440306928458537,Europe,NA,4000
temporal_spd,region_age,human,zero_truncated,0.0057,0.0844,0.06753554502369669,1,0.06785714285714285,-3.215978334461661e-4,Europe,NA,4000
temporal_spd,region_age,climate,zero_truncated,0.081,0.0838,0.9665871121718378,1,0.9642857142857143,0.0023013978861234907,Europe,NA,4500
temporal_spd,region_age,human,zero_truncated,0.0028,0.0838,0.03341288782816229,1,0.03333333333333333,7.95544948289581e-5,Europe,NA,4500
temporal_spd,region_age,climate,zero_truncated,0.0645,0.069,0.9347826086956521,1,0.9347826086956521,0,Europe,NA,5000
temporal_spd,region_age,human,zero_truncated,0.0045,0.069,0.06521739130434781,1,0.06521739130434781,0,Europe,NA,5000
temporal_spd,region_age,climate,zero_truncated,0.0868,0.0874,0.9931350114416475,1,0.9977011494252874,-0.004566137983639917,Europe,NA,5500
temporal_spd,region_age,human,zero_truncated,6e-4,0.0874,0.0068649885583524015,1,0.006896551724137931,-3.156316578552948e-5,Europe,NA,5500
