analysis,aggregation_level,predictor,profile,individual_sum,total_sum,pooled_allocation,n_models,signed_allocation,delta_from_signed,region,climatezone,age
spatial_spd,region_climatezone,human,signed,0.9512,8.091,0.11756272401433693,21,0.11756272401433693,0,Asia,Cold_Dry_Winter,NA
spatial_spd,region_climatezone,climate,signed,3.476,3.8040000000000003,0.9137749737118822,9,0.9137749737118822,0,Asia,Cold_Without_dry_season_Cold_Summer,NA
spatial_spd,region_climatezone,human,signed,0.3273,3.8040000000000003,0.08604100946372238,9,0.08604100946372238,0,Asia,Cold_Without_dry_season_Cold_Summer,NA
spatial_spd,region_climatezone,climate,signed,0.1068,0.216,0.49444444444444446,1,0.49444444444444446,0,Asia,Cold_Without_dry_season_Hot_Summer,NA
spatial_spd,region_climatezone,human,signed,0.1088,0.216,0.5037037037037037,1,0.5037037037037037,0,Asia,Cold_Without_dry_season_Hot_Summer,NA
spatial_spd,region_climatezone,climate,signed,5.2855,5.911,0.8941803417357469,16,0.8941803417357469,0,Asia,Cold_Without_dry_season_Warm_Summer,NA
spatial_spd,region_climatezone,human,signed,0.6289,5.911,0.10639485704618509,16,0.10639485704618509,0,Asia,Cold_Without_dry_season_Warm_Summer,NA
spatial_spd,region_climatezone,climate,signed,2.832,3.412,0.8300117233294255,10,0.8300117233294255,0,Asia,Polar,NA
spatial_spd,region_climatezone,human,signed,0.5813,3.412,0.17036928487690506,10,0.17036928487690506,0,Asia,Polar,NA
spatial_spd,region_climatezone,climate,signed,1.8645,1.853,1.006206152185645,5,1.006206152185645,0,Asia,Temperate_Dry_Summer,NA
spatial_spd,region_climatezone,human,signed,-0.011699999999999999,1.853,-0.006314085267134376,5,-0.006314085267134376,0,Asia,Temperate_Dry_Summer,NA
spatial_spd,region_climatezone,climate,signed,1.0981,2.213,0.4962042476276548,6,0.4962042476276548,0,Asia,Temperate_Dry_Winter,NA
spatial_spd,region_climatezone,human,signed,1.1149,2.213,0.5037957523723452,6,0.5037957523723452,0,Asia,Temperate_Dry_Winter,NA
spatial_spd,region_climatezone,climate,signed,2.9654,3.2600000000000002,0.9096319018404907,7,0.9096319018404907,0,Asia,Temperate_Without_dry_season,NA
spatial_spd,region_climatezone,human,signed,0.2944,3.2600000000000002,0.09030674846625766,7,0.09030674846625766,0,Asia,Temperate_Without_dry_season,NA
spatial_spd,region_climatezone,climate,signed,2.4524,2.367,1.0360794254330377,7,1.0360794254330377,0,Europe,Arid,NA
spatial_spd,region_climatezone,human,signed,-0.0857,2.367,-0.03620616814533164,7,-0.03620616814533164,0,Europe,Arid,NA
spatial_spd,region_climatezone,climate,signed,1.2902,1.552,0.8313144329896907,3,0.8313144329896907,0,Europe,Cold_Dry_Summer,NA
spatial_spd,region_climatezone,human,signed,0.262,1.552,0.16881443298969073,3,0.16881443298969073,0,Europe,Cold_Dry_Summer,NA
spatial_spd,region_climatezone,climate,signed,26.5665,32.201,0.825020962081923,92,0.825020962081923,0,Europe,Cold_Without_dry_season_Cold_Summer,NA
spatial_spd,region_climatezone,human,signed,5.633,32.201,0.1749324555138039,92,0.1749324555138039,0,Europe,Cold_Without_dry_season_Cold_Summer,NA
spatial_spd,region_climatezone,climate,signed,38.544,46.689,0.8255477735655079,144,0.8255477735655079,0,Europe,Cold_Without_dry_season_Warm_Summer,NA
spatial_spd,region_climatezone,human,signed,8.1494,46.689,0.1745464670479128,144,0.1745464670479128,0,Europe,Cold_Without_dry_season_Warm_Summer,NA
spatial_spd,region_climatezone,climate,signed,8.5223,10.23,0.833069403714565,30,0.833069403714565,0,Europe,Polar,NA
spatial_spd,region_climatezone,human,signed,1.7062,10.23,0.16678396871945259,30,0.16678396871945259,0,Europe,Polar,NA
spatial_spd,region_climatezone,climate,signed,3.6875,4.423,0.8337101514808953,14,0.8337101514808953,0,Europe,Temperate_Dry_Summer,NA
spatial_spd,region_climatezone,human,signed,0.7343999999999999,4.423,0.16604114854171376,14,0.16604114854171376,0,Europe,Temperate_Dry_Summer,NA
spatial_spd,region_climatezone,climate,signed,23.3271,34.824,0.6698569951757409,91,0.6698569951757409,0,Europe,Temperate_Without_dry_season,NA
spatial_spd,region_climatezone,human,signed,11.493,34.824,0.3300310130944177,91,0.3300310130944177,0,Europe,Temperate_Without_dry_season,NA
spatial_spd,region_climatezone,climate,signed,1.0602,1.441,0.7357390700902151,5,0.7357390700902151,0,Latin America,Arid,NA
spatial_spd,region_climatezone,human,signed,0.3811,1.441,0.26446911866759193,5,0.26446911866759193,0,Latin America,Arid,NA
spatial_spd,region_climatezone,climate,signed,0.6403,0.675,0.9485925925925925,2,0.9485925925925925,0,Latin America,Cold_Dry_Summer,NA
spatial_spd,region_climatezone,human,signed,0.034,0.675,0.05037037037037037,2,0.05037037037037037,0,Latin America,Cold_Dry_Summer,NA
spatial_spd,region_climatezone,climate,signed,7.5225,9.197,0.8179297597042514,22,0.8179297597042514,0,Latin America,Polar,NA
spatial_spd,region_climatezone,human,signed,1.6757,9.197,0.18220071762531262,22,0.18220071762531262,0,Latin America,Polar,NA
spatial_spd,region_climatezone,climate,signed,2.383,2.375,1.0033684210526317,8,1.0033684210526317,0,Latin America,Temperate_Dry_Summer,NA
spatial_spd,region_climatezone,human,signed,-0.008200000000000015,2.375,-0.0034526315789473747,8,-0.0034526315789473747,0,Latin America,Temperate_Dry_Summer,NA
spatial_spd,region_climatezone,climate,signed,0.5524,0.7470000000000001,0.739491298527443,2,0.739491298527443,0,Latin America,Temperate_Dry_Winter,NA
spatial_spd,region_climatezone,human,signed,0.1945,0.7470000000000001,0.26037483266398925,2,0.26037483266398925,0,Latin America,Temperate_Dry_Winter,NA
spatial_spd,region_climatezone,climate,signed,4.1604,5.62,0.7402846975088968,17,0.7402846975088968,0,Latin America,Temperate_Without_dry_season,NA
spatial_spd,region_climatezone,human,signed,1.4602,5.62,0.2598220640569395,17,0.2598220640569395,0,Latin America,Temperate_Without_dry_season,NA
spatial_spd,region_climatezone,climate,signed,4.4431,6.288,0.7065998727735369,15,0.7065998727735369,0,Latin America,Tropical,NA
spatial_spd,region_climatezone,human,signed,1.8461,6.288,0.2935909669211196,15,0.2935909669211196,0,Latin America,Tropical,NA
spatial_spd,region_climatezone,climate,signed,2.7521,4.34,0.6341244239631336,16,0.6341244239631336,0,North America,Arid,NA
spatial_spd,region_climatezone,human,signed,1.5893,4.34,0.36619815668202765,16,0.36619815668202765,0,North America,Arid,NA
spatial_spd,region_climatezone,climate,signed,11.7079,16.687,0.7016180260082698,46,0.7016180260082698,0,North America,Cold_Dry_Summer,NA
spatial_spd,region_climatezone,human,signed,4.9768,16.687,0.2982441421465811,46,0.2982441421465811,0,North America,Cold_Dry_Summer,NA
spatial_spd,region_climatezone,climate,signed,41.2619,51.556,0.8003316781751881,135,0.8003316781751881,0,North America,Cold_Without_dry_season_Cold_Summer,NA
spatial_spd,region_climatezone,human,signed,10.2931,51.556,0.19964892544029794,135,0.19964892544029794,0,North America,Cold_Without_dry_season_Cold_Summer,NA
spatial_spd,region_climatezone,climate,signed,14.0456,19.405,0.723813450141716,53,0.723813450141716,0,North America,Cold_Without_dry_season_Hot_Summer,NA
spatial_spd,region_climatezone,human,signed,5.3628,19.405,0.27636176243236277,53,0.27636176243236277,0,North America,Cold_Without_dry_season_Hot_Summer,NA
spatial_spd,region_climatezone,climate,signed,56.408500000000004,80.14,0.7038744696780634,194,0.7038744696780634,0,North America,Cold_Without_dry_season_Warm_Summer,NA
spatial_spd,region_climatezone,human,signed,23.7315,80.14,0.2961255303219366,194,0.2961255303219366,0,North America,Cold_Without_dry_season_Warm_Summer,NA
spatial_spd,region_climatezone,climate,signed,10.7741,12.4,0.8688790322580645,35,0.8688790322580645,0,North America,Polar,NA
spatial_spd,region_climatezone,human,signed,1.6284,12.4,0.13132258064516128,35,0.13132258064516128,0,North America,Polar,NA
spatial_spd,region_climatezone,climate,signed,3.1889,4.484,0.7111730597680642,16,0.7111730597680642,0,North America,Temperate_Dry_Summer,NA
spatial_spd,region_climatezone,human,signed,1.2937,4.484,0.2885147190008921,16,0.2885147190008921,0,North America,Temperate_Dry_Summer,NA
spatial_spd,region_climatezone,climate,signed,7.7096,12.539,0.6148496690326183,38,0.6148496690326183,0,North America,Temperate_Without_dry_season,NA
spatial_spd,region_climatezone,human,signed,4.8291,12.539,0.38512640561448286,38,0.38512640561448286,0,North America,Temperate_Without_dry_season,NA
spatial_spd,region_climatezone,climate,signed,0.2616,0.345,0.7582608695652174,1,0.7582608695652174,0,Oceania,Arid,NA
spatial_spd,region_climatezone,human,signed,0.0837,0.345,0.2426086956521739,1,0.2426086956521739,0,Oceania,Arid,NA
spatial_spd,region_climatezone,climate,signed,0.0375,0.019,1.9736842105263157,1,1.9736842105263157,0,Oceania,Cold_Without_dry_season_Cold_Summer,NA
spatial_spd,region_climatezone,human,signed,-0.0189,0.019,-0.9947368421052631,1,-0.9947368421052631,0,Oceania,Cold_Without_dry_season_Cold_Summer,NA
spatial_spd,region_climatezone,climate,signed,0.0462,0.162,0.28518518518518515,1,0.28518518518518515,0,Oceania,Cold_Without_dry_season_Warm_Summer,NA
spatial_spd,region_climatezone,human,signed,0.1154,0.162,0.7123456790123457,1,0.7123456790123457,0,Oceania,Cold_Without_dry_season_Warm_Summer,NA
spatial_spd,region_climatezone,climate,signed,0.1167,0.139,0.8395683453237409,1,0.8395683453237409,0,Oceania,Temperate_Dry_Summer,NA
spatial_spd,region_climatezone,human,signed,0.0219,0.139,0.15755395683453235,1,0.15755395683453235,0,Oceania,Temperate_Dry_Summer,NA
spatial_spd,region_climatezone,climate,signed,0.1731,0.264,0.6556818181818181,1,0.6556818181818181,0,Oceania,Temperate_Dry_Winter,NA
spatial_spd,region_climatezone,human,signed,0.0912,0.264,0.34545454545454546,1,0.34545454545454546,0,Oceania,Temperate_Dry_Winter,NA
