analysis,region,age,n_models,n_available,n_accounting_valid,total_adjusted_r_squared_sum,total_adjusted_r_squared_mean,unique_human_sum,unique_human_mean,unique_climate_sum,unique_climate_mean,shared_sum,shared_mean,unexplained_sum,unexplained_mean,bounded_total_adjusted_r_squared_sum,bounded_total_adjusted_r_squared_mean,bounded_unique_human_sum,bounded_unique_human_mean,bounded_unique_climate_sum,bounded_unique_climate_mean,bounded_shared_sum,bounded_shared_mean,bounded_unexplained_sum,bounded_unexplained_mean
temporal_events,Europe,1500,1,1,1,0.115,0.115,0.0151,0.0151,0.088,0.088,0.0119,0.0119,0.885,0.885,0.115,0.115,0.015100000000000004,0.015100000000000004,0.08800000000000001,0.08800000000000001,0.011900000000000004,0.011900000000000004,0.885,0.885
temporal_events,Europe,2000,1,1,1,0.108,0.108,0.017,0.017,0.0798,0.0798,0.0113,0.0113,0.892,0.892,0.108,0.108,0.016984273820536543,0.016984273820536543,0.07972617946345975,0.07972617946345975,0.0112895467160037,0.0112895467160037,0.892,0.892
temporal_events,Europe,2500,1,1,1,0.084,0.084,0.0074,0.0074,0.0658,0.0658,0.0106,0.0106,0.916,0.916,0.084,0.084,0.00741766109785203,0.00741766109785203,0.06595704057279238,0.06595704057279238,0.01062529832935561,0.01062529832935561,0.916,0.916
temporal_events,Europe,3000,1,1,1,0.072,0.072,0.0083,0.0083,0.0592,0.0592,0.004,0.004,0.928,0.928,0.072,0.072,0.008358041958041957,0.008358041958041957,0.05961398601398601,0.05961398601398601,0.004027972027972028,0.004027972027972028,0.928,0.928
temporal_events,Europe,3500,1,1,1,0.089,0.089,0.0311,0.0311,0.0543,0.0543,0.0032,0.0032,0.911,0.911,0.089,0.089,0.031240406320541758,0.031240406320541758,0.0545451467268623,0.0545451467268623,0.0032144469525959367,0.0032144469525959367,0.911,0.911
temporal_events,Europe,4000,1,1,1,0.091,0.091,0.0063,0.0063,0.085,0.085,1e-4,1e-4,0.909,0.909,0.091,0.091,0.006272428884026258,0.006272428884026258,0.08462800875273523,0.08462800875273523,9.956236323851203e-5,9.956236323851203e-5,0.909,0.909
temporal_events,Europe,4500,1,1,1,0.089,0.089,0.0049,0.0049,0.0854,0.0854,-0.0011,-0.0011,0.911,0.911,0.089,0.089,0.004829457364341085,0.004829457364341085,0.08417054263565892,0.08417054263565892,0,0,0.911,0.911
temporal_events,Europe,5000,1,1,1,0.079,0.079,0.0106,0.0106,0.0717,0.0717,-0.0031,-0.0031,0.921,0.921,0.079,0.079,0.010174969623329283,0.010174969623329283,0.06882503037667072,0.06882503037667072,0,0,0.921,0.921
temporal_events,Europe,5500,1,1,1,0.089,0.089,0.0029,0.0029,0.0862,0.0862,-4e-4,-4e-4,0.911,0.911,0.089,0.089,0.002896745230078563,0.002896745230078563,0.08610325476992144,0.08610325476992144,0,0,0.911,0.911
temporal_events,Europe,6000,1,1,1,0.104,0.104,0.0299,0.0299,0.08,0.08,-0.0053,-0.0053,0.896,0.896,0.104,0.104,0.028294813466787985,0.028294813466787985,0.07570518653321201,0.07570518653321201,0,0,0.896,0.896
temporal_events,Europe,6500,1,1,1,0.074,0.074,0.0048,0.0048,0.074,0.074,-0.0046,-0.0046,0.926,0.926,0.074,0.074,0.00450761421319797,0.00450761421319797,0.06949238578680203,0.06949238578680203,0,0,0.926,0.926
temporal_events,Europe,7000,1,1,1,0.1,0.1,0.0217,0.0217,0.0814,0.0814,-0.003,-0.003,0.9,0.9,0.1,0.1,0.021047526673132883,0.021047526673132883,0.07895247332686713,0.07895247332686713,0,0,0.9,0.9
temporal_events,Europe,7500,1,1,1,0.106,0.106,0.0298,0.0298,0.0815,0.0815,-0.0058,-0.0058,0.894,0.894,0.106,0.106,0.028380952380952375,0.028380952380952375,0.07761904761904762,0.07761904761904762,0,0,0.894,0.894
temporal_events,Europe,8000,1,1,1,0.087,0.087,0.0093,0.0093,0.0782,0.0782,-8e-4,-8e-4,0.913,0.913,0.087,0.087,0.00924685714285714,0.00924685714285714,0.07775314285714285,0.07775314285714285,0,0,0.913,0.913
temporal_events,Europe,8500,1,1,1,0.078,0.078,0.0034,0.0034,0.0733,0.0733,0.0014,0.0014,0.922,0.922,0.078,0.078,0.0033956466069142125,0.0033956466069142125,0.07320614596670935,0.07320614596670935,0.0013982074263764405,0.0013982074263764405,0.922,0.922
temporal_events,Latin America,500,1,1,1,0.078,0.078,0.0061,0.0061,0.0651,0.0651,0.0073,0.0073,0.922,0.922,0.078,0.078,0.006061146496815287,0.006061146496815287,0.06468535031847135,0.06468535031847135,0.007253503184713376,0.007253503184713376,0.922,0.922
temporal_events,Latin America,1000,1,1,1,0.093,0.093,-0.0021,-0.0021,0.0951,0.0951,-2e-4,-2e-4,0.907,0.907,0.093,0.093,0,0,0.093,0.093,0,0,0.907,0.907
