analysis,region,climatezone,predictor,profile,individual_sum,total_sum,pooled_allocation,n_models,ratio,climatezone_label
spatial_spd_reduced,Asia,Arid,Climate,zero_truncated,5.6201,6.9995,0.8029287806271876,19,0.8029287806271876,ARD
spatial_spd_reduced,Asia,Arid,Human,zero_truncated,1.3794,6.9995,0.19707121937281233,19,0.19707121937281233,ARD
spatial_spd_reduced,Asia,Cold - Dry Summer,Climate,zero_truncated,1.5623,1.5809,0.9882345499399077,4,0.9882345499399077,CDS
spatial_spd_reduced,Asia,Cold - Dry Summer,Human,zero_truncated,0.0186,1.5809,0.011765450060092351,4,0.011765450060092351,CDS
spatial_spd_reduced,Asia,Cold - Dry Winter,Climate,zero_truncated,8.0056,9.3104,0.8598556452998797,23,0.8598556452998797,CDW
spatial_spd_reduced,Asia,Cold - Dry Winter,Human,zero_truncated,1.3048,9.3104,0.1401443547001203,23,0.1401443547001203,CDW
spatial_spd_reduced,Asia,Cold - Cold Summer,Climate,zero_truncated,3.8362000000000003,4.0982,0.9360694939241618,9,0.9360694939241618,CCS
spatial_spd_reduced,Asia,Cold - Cold Summer,Human,zero_truncated,0.262,4.0982,0.06393050607583817,9,0.06393050607583817,CCS
spatial_spd_reduced,Asia,Cold - Hot Summer,Climate,zero_truncated,0.1835,0.29469999999999996,0.6226671191041738,1,0.6226671191041738,CHS
spatial_spd_reduced,Asia,Cold - Hot Summer,Human,zero_truncated,0.1112,0.29469999999999996,0.3773328808958263,1,0.3773328808958263,CHS
spatial_spd_reduced,Asia,Cold - Warm Summer,Climate,zero_truncated,5.3366999999999996,6.1936,0.8616475071041074,16,0.8616475071041074,CWS
spatial_spd_reduced,Asia,Cold - Warm Summer,Human,zero_truncated,0.8569,6.1936,0.13835249289589252,16,0.13835249289589252,CWS
spatial_spd_reduced,Asia,Polar,Climate,zero_truncated,3.197,4.1988,0.7614080213394303,10,0.7614080213394303,POL
spatial_spd_reduced,Asia,Polar,Human,zero_truncated,1.0018,4.1988,0.23859197866056966,10,0.23859197866056966,POL
spatial_spd_reduced,Asia,Temperate - Dry Summer,Climate,zero_truncated,2.3671,2.5170000000000003,0.9404449741756058,5,0.9404449741756058,TDS
spatial_spd_reduced,Asia,Temperate - Dry Summer,Human,zero_truncated,0.1499,2.5170000000000003,0.05955502582439411,5,0.05955502582439411,TDS
spatial_spd_reduced,Asia,Temperate - Dry Winter,Climate,zero_truncated,1.309,2.6631,0.49153242461792646,6,0.49153242461792646,TDW
spatial_spd_reduced,Asia,Temperate - Dry Winter,Human,zero_truncated,1.3541,2.6631,0.5084675753820735,6,0.5084675753820735,TDW
spatial_spd_reduced,Asia,Temperate,Climate,zero_truncated,3.4962,4.0354,0.866382514744511,7,0.866382514744511,TMP
spatial_spd_reduced,Asia,Temperate,Human,zero_truncated,0.5392,4.0354,0.13361748525548892,7,0.13361748525548892,TMP
spatial_spd_reduced,Europe,Arid,Climate,zero_truncated,3.0121000000000002,3.0359000000000003,0.9921604795941895,7,0.9921604795941895,ARD
spatial_spd_reduced,Europe,Arid,Human,zero_truncated,0.0238,3.0359000000000003,0.007839520405810468,7,0.007839520405810468,ARD
spatial_spd_reduced,Europe,Cold - Dry Summer,Climate,zero_truncated,1.5122,1.9872999999999998,0.7609319176772505,4,0.7609319176772505,CDS
spatial_spd_reduced,Europe,Cold - Dry Summer,Human,zero_truncated,0.4751,1.9872999999999998,0.23906808232274948,4,0.23906808232274948,CDS
