summary_level,metric,contrast,cohort,n_units,n_finite,minimum,lower_quartile,median,mean,upper_quartile,maximum,n_negative,n_zero,n_positive,region
continent,zero_allocation_human,spd_events_minus_spd,observed_events_only,14,14,-0.01224583159734989,0.02565905729242869,0.093260757119941,0.12112401460872316,0.13561071607511685,0.4387768023683625,1,0,13,Asia
continent,controlled_balance,events_minus_spd,as_coded,14,14,-0.049800000000000004,-0.013474999999999999,-0.004299999999999998,-0.009385714285714287,-0.0014499999999999895,0.016699999999999993,11,0,3,Europe
continent,controlled_balance,events_minus_spd,observed_events_only,14,14,-0.056699999999999987,-0.013699999999999999,0.0032000000000000015,0.0022428571428571445,0.016325000000000003,0.05680000000000001,6,0,8,Europe
continent,controlled_balance,spd_events_minus_spd,as_coded,14,14,-0.004399999999999987,0.0030999999999999986,0.007849999999999996,0.007642857142857141,0.012499999999999997,0.019199999999999995,2,0,12,Europe
continent,controlled_balance,spd_events_minus_spd,observed_events_only,14,14,-0.013899999999999996,0.009225,0.024399999999999998,0.023700000000000002,0.036025,0.05370000000000001,1,0,13,Europe
continent,controlled_climate,events_minus_spd,as_coded,14,14,-0.0034000000000000002,0.0023499999999999945,0.005350000000000001,0.00482142857142857,0.007225000000000002,0.0155,2,0,12,Europe
continent,controlled_climate,events_minus_spd,observed_events_only,14,14,-0.030100000000000002,-0.0036250000000000032,0.0022499999999999985,0.0017142857142857133,0.009674999999999996,0.022999999999999993,5,0,9,Europe
continent,controlled_climate,spd_events_minus_spd,as_coded,14,14,-0.005299999999999999,-5.249999999999994e-4,4.0000000000000105e-4,4.5714285714285784e-4,8.74999999999999e-4,0.009399999999999992,4,1,9,Europe
continent,controlled_climate,spd_events_minus_spd,observed_events_only,14,14,-0.020600000000000007,-0.004475000000000003,-0.0028499999999999984,-0.003492857142857144,0.0012250000000000021,0.006699999999999998,10,0,4,Europe
continent,controlled_human,events_minus_spd,as_coded,14,14,-0.034300000000000004,-0.007450000000000001,-4.999999999999996e-4,-0.004564285714285714,0.0037,0.0139,7,0,7,Europe
continent,controlled_human,events_minus_spd,observed_events_only,14,14,-0.033699999999999994,-0.0039250000000000005,0.0036499999999999996,0.003957142857142858,0.015425000000000001,0.0267,5,0,9,Europe
continent,controlled_human,spd_events_minus_spd,as_coded,14,14,-5.999999999999964e-4,0.004850000000000002,0.0074,0.0081,0.012649999999999998,0.0166,1,0,13,Europe
continent,controlled_human,spd_events_minus_spd,observed_events_only,14,14,-0.007199999999999998,0.009625000000000002,0.01815,0.020207142857142858,0.032875,0.0443,1,0,13,Europe
continent,unique_adjusted_r2_pure_climate,events_minus_spd,as_coded,14,14,-0.006129993985803606,0.001993367774977689,0.009207349021735867,0.00937986924303361,0.01622855551506608,0.02629256093029564,2,0,12,Europe
continent,unique_adjusted_r2_pure_climate,events_minus_spd,observed_events_only,14,14,-0.051561188486886955,-0.004978424404737641,0.00426637804689195,0.005123173503423196,0.01952803339093287,0.04576862658388636,5,0,9,Europe
continent,unique_adjusted_r2_pure_climate,spd_events_minus_spd,as_coded,14,14,-0.008702385260962897,-2.32099606635644e-4,8.120283244859583e-4,0.0015080430288277563,0.0012373528625332364,0.01966036479316624,4,0,10,Europe
continent,unique_adjusted_r2_pure_climate,spd_events_minus_spd,observed_events_only,14,14,-0.036725669556795126,-0.006730589919600849,-0.0020032581271525185,-0.005315116833564226,0.001680146387120468,0.01176919670231158,10,0,4,Europe
continent,unique_adjusted_r2_pure_human,events_minus_spd,as_coded,14,14,-0.024090137422220215,-0.007345123591671859,0.0018837082792082516,-0.0017930826308516581,0.006836502062401328,0.010855827211027291,6,0,8,Europe
