summary_index,summary_level,cohort,metric,contrast,n_source_rows,maximum_absolute_difference,reconciled
825,climate_zone_within_continent,as_coded,signed_difference,events_minus_spd,2,0,TRUE
826,climate_zone_within_continent,observed_events_only,signed_difference,events_minus_spd,2,0,TRUE
827,climate_zone_within_continent,as_coded,signed_difference,spd_events_minus_spd,2,0,TRUE
828,climate_zone_within_continent,observed_events_only,signed_difference,spd_events_minus_spd,2,0,TRUE
829,climate_zone_within_continent,as_coded,unique_adjusted_r2_pure_climate,events_minus_spd,2,0,TRUE
830,climate_zone_within_continent,observed_events_only,unique_adjusted_r2_pure_climate,events_minus_spd,2,0,TRUE
831,climate_zone_within_continent,as_coded,unique_adjusted_r2_pure_climate,spd_events_minus_spd,2,0,TRUE
832,climate_zone_within_continent,observed_events_only,unique_adjusted_r2_pure_climate,spd_events_minus_spd,2,0,TRUE
833,climate_zone_within_continent,as_coded,unique_adjusted_r2_pure_human,events_minus_spd,2,0,TRUE
834,climate_zone_within_continent,observed_events_only,unique_adjusted_r2_pure_human,events_minus_spd,2,0,TRUE
835,climate_zone_within_continent,as_coded,unique_adjusted_r2_pure_human,spd_events_minus_spd,2,0,TRUE
836,climate_zone_within_continent,observed_events_only,unique_adjusted_r2_pure_human,spd_events_minus_spd,2,0,TRUE
837,climate_zone_within_continent,as_coded,zero_balance,events_minus_spd,2,0,TRUE
838,climate_zone_within_continent,observed_events_only,zero_balance,events_minus_spd,2,0,TRUE
839,climate_zone_within_continent,as_coded,zero_balance,spd_events_minus_spd,2,0,TRUE
840,climate_zone_within_continent,observed_events_only,zero_balance,spd_events_minus_spd,2,0,TRUE
841,climate_zone_within_continent,as_coded,climate,events_minus_spd,1,0,TRUE
842,climate_zone_within_continent,observed_events_only,climate,events_minus_spd,1,0,TRUE
843,climate_zone_within_continent,as_coded,climate,spd_events_minus_spd,1,0,TRUE
844,climate_zone_within_continent,observed_events_only,climate,spd_events_minus_spd,1,0,TRUE
845,climate_zone_within_continent,as_coded,human,events_minus_spd,1,0,TRUE
846,climate_zone_within_continent,observed_events_only,human,events_minus_spd,1,0,TRUE
847,climate_zone_within_continent,as_coded,human,spd_events_minus_spd,1,0,TRUE
848,climate_zone_within_continent,observed_events_only,human,spd_events_minus_spd,1,0,TRUE
849,climate_zone_within_continent,as_coded,signed_balance,events_minus_spd,1,0,TRUE
850,climate_zone_within_continent,observed_events_only,signed_balance,events_minus_spd,1,0,TRUE
851,climate_zone_within_continent,as_coded,signed_balance,spd_events_minus_spd,1,0,TRUE
852,climate_zone_within_continent,observed_events_only,signed_balance,spd_events_minus_spd,1,0,TRUE
853,climate_zone_within_continent,as_coded,signed_difference,events_minus_spd,1,0,TRUE
854,climate_zone_within_continent,observed_events_only,signed_difference,events_minus_spd,1,0,TRUE
855,climate_zone_within_continent,as_coded,signed_difference,spd_events_minus_spd,1,0,TRUE
856,climate_zone_within_continent,observed_events_only,signed_difference,spd_events_minus_spd,1,0,TRUE
857,climate_zone_within_continent,as_coded,unique_adjusted_r2_pure_climate,events_minus_spd,1,0,TRUE
858,climate_zone_within_continent,observed_events_only,unique_adjusted_r2_pure_climate,events_minus_spd,1,0,TRUE
859,climate_zone_within_continent,as_coded,unique_adjusted_r2_pure_climate,spd_events_minus_spd,1,0,TRUE
860,climate_zone_within_continent,observed_events_only,unique_adjusted_r2_pure_climate,spd_events_minus_spd,1,0,TRUE
861,climate_zone_within_continent,as_coded,unique_adjusted_r2_pure_human,events_minus_spd,1,0,TRUE
862,climate_zone_within_continent,observed_events_only,unique_adjusted_r2_pure_human,events_minus_spd,1,0,TRUE
863,climate_zone_within_continent,as_coded,unique_adjusted_r2_pure_human,spd_events_minus_spd,1,0,TRUE
864,climate_zone_within_continent,observed_events_only,unique_adjusted_r2_pure_human,spd_events_minus_spd,1,0,TRUE
865,climate_zone_within_continent,as_coded,zero_balance,events_minus_spd,1,0,TRUE
866,climate_zone_within_continent,observed_events_only,zero_balance,events_minus_spd,1,0,TRUE
867,climate_zone_within_continent,as_coded,zero_balance,spd_events_minus_spd,1,0,TRUE
