cohort,proxy_variant,radius_km,spd_radius_specification,profile_id,aggregation_level,profile,adjusted_balance,n_records,weight_sum,region,climatezone,ranking,selection_status,requested_regional_events,retained_human_predictors,reference_category
as_coded,spd,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd,region_climatezone,signed,-0.10567006102259752,39,16.291,North America,Temperate_Without_dry_season,climate,selected,,spd,bi
as_coded,spd,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd,region_climatezone,signed,-0.011455784982724329,1,0.441,Oceania,Arid,climate,selected,,spd,no_impact
as_coded,spd,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd,region_climatezone,signed,-0.016911715634018474,1,0.138,Oceania,Cold_Without_dry_season_Cold_Summer,climate,selected,,spd,no_impact
as_coded,spd,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd,region_climatezone,signed,-0.01674197306761587,2,1.183,Oceania,Cold_Without_dry_season_Warm_Summer,climate,selected,,spd,no_impact
as_coded,spd,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd,region_climatezone,signed,-0.029746283144007214,1,0.219,Oceania,Temperate_Dry_Summer,climate,selected,,spd,no_impact
as_coded,spd,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd,region_climatezone,signed,0.3288324697029554,1,0.312,Oceania,Temperate_Dry_Winter,human,selected,,spd,no_impact
as_coded,spd,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd,region_climatezone,signed,-0.15988328355481424,22,10.381,Oceania,Temperate_Without_dry_season,climate,selected,,spd,no_impact
as_coded,spd,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd,region_climatezone,signed,-0.2027874576684108,4,1.8050000000000002,Oceania,Tropical,climate,selected,,spd,no_impact
as_coded,spd,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd,overall,zero_truncated,-0.46593622605331725,1098,281.2215,All,All,climate,selected,continent_specific;see_regional_model_audit,continent_specific;see_regional_model_audit,continent_specific;see_regional_model_audit
as_coded,spd,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd,region,zero_truncated,-0.6007264841916491,94,21.8587,Asia,All,climate,selected,,spd,bi
