summary_index,summary_level,cohort,metric,contrast,n_source_rows,maximum_absolute_difference,reconciled
112,continent,observed_events_only,zero_allocation_human,spd_events_minus_spd,14,0,TRUE
113,continent,as_coded,controlled_balance,events_minus_spd,14,0,TRUE
114,continent,observed_events_only,controlled_balance,events_minus_spd,14,0,TRUE
115,continent,as_coded,controlled_balance,spd_events_minus_spd,14,0,TRUE
116,continent,observed_events_only,controlled_balance,spd_events_minus_spd,14,0,TRUE
117,continent,as_coded,controlled_climate,events_minus_spd,14,0,TRUE
118,continent,observed_events_only,controlled_climate,events_minus_spd,14,0,TRUE
119,continent,as_coded,controlled_climate,spd_events_minus_spd,14,0,TRUE
120,continent,observed_events_only,controlled_climate,spd_events_minus_spd,14,0,TRUE
121,continent,as_coded,controlled_human,events_minus_spd,14,0,TRUE
122,continent,observed_events_only,controlled_human,events_minus_spd,14,0,TRUE
123,continent,as_coded,controlled_human,spd_events_minus_spd,14,0,TRUE
124,continent,observed_events_only,controlled_human,spd_events_minus_spd,14,0,TRUE
125,continent,as_coded,unique_adjusted_r2_pure_climate,events_minus_spd,14,0,TRUE
126,continent,observed_events_only,unique_adjusted_r2_pure_climate,events_minus_spd,14,0,TRUE
127,continent,as_coded,unique_adjusted_r2_pure_climate,spd_events_minus_spd,14,0,TRUE
128,continent,observed_events_only,unique_adjusted_r2_pure_climate,spd_events_minus_spd,14,0,TRUE
129,continent,as_coded,unique_adjusted_r2_pure_human,events_minus_spd,14,0,TRUE
130,continent,observed_events_only,unique_adjusted_r2_pure_human,events_minus_spd,14,0,TRUE
131,continent,as_coded,unique_adjusted_r2_pure_human,spd_events_minus_spd,14,0,TRUE
132,continent,observed_events_only,unique_adjusted_r2_pure_human,spd_events_minus_spd,14,0,TRUE
133,continent,as_coded,zero_allocation_climate,events_minus_spd,14,0,TRUE
134,continent,observed_events_only,zero_allocation_climate,events_minus_spd,14,0,TRUE
135,continent,as_coded,zero_allocation_climate,spd_events_minus_spd,14,0,TRUE
136,continent,observed_events_only,zero_allocation_climate,spd_events_minus_spd,14,0,TRUE
137,continent,as_coded,zero_allocation_human,events_minus_spd,14,0,TRUE
138,continent,observed_events_only,zero_allocation_human,events_minus_spd,14,0,TRUE
139,continent,as_coded,zero_allocation_human,spd_events_minus_spd,14,0,TRUE
