cohort,proxy_variant,region,age,status,selection_status,human_climate_only_balance,controlled_human,controlled_climate,controlled_balance,human_climate_only_ranking,controlled_ranking,ranking_changed,zero_allocation_human,zero_allocation_climate,zero_allocation_space,unique_adjusted_r2_pure_human,unique_adjusted_r2_pure_climate,unique_adjusted_r2_pure_space,unique_adjusted_r2_shared,unique_adjusted_r2_total_explained,unique_adjusted_r2_unexplained,requested_regional_events,retained_human_predictors,reference_category
as_coded,spd,Oceania,2500,no_spatial_terms_selected,no_terms_selected,-0.0517,0.0094,0.0611,-0.0517,climate,climate,FALSE,0.13333333333333333,0.8666666666666666,0,0.0030125112241004004,0.054656244879729754,0,0.012850075173166609,0.07051883127699676,0.9294811687230032,,spd,no_impact
as_coded,spd,Oceania,3000,no_spatial_terms_selected,no_terms_selected,-0.0879,0.0275,0.1154,-0.0879,climate,climate,FALSE,0.19244226731980407,0.8075577326801959,0,0.02250923784994141,0.11045925925593492,0,0.009882562062132116,0.14285105916800844,0.8571489408319916,,spd,no_impact
as_coded,spd,Oceania,3500,spatial_model_estimated,selected,-0.0955,0.0252,0.1386,-0.1134,climate,climate,FALSE,0.15080789946140036,0.829443447037702,0.019748653500897665,0.025837725100781972,0.15734023127045604,0.024366957942278944,-0.04049715360495476,0.1670477607085622,0.8329522392914378,,spd,no_impact
as_coded,spd,Oceania,4000,no_spatial_terms_selected,no_terms_selected,-0.0678,0.0072,0.075,-0.0678,climate,climate,FALSE,0.08759124087591241,0.9124087591240876,0,-2.2240357317915294e-4,0.06755715114683225,0,0.014819904999349154,0.08215465257300225,0.9178453474269977,,spd,no_impact
as_coded,spd,Oceania,4500,spatial_model_estimated,selected,-0.1138,0.0056,0.1265,-0.12090000000000001,climate,climate,FALSE,0.040668119099491654,0.9186637618010168,0.040668119099491654,4.3129298816468875e-4,0.12831858820765596,0.014398319450245056,-0.005377361206951314,0.1377708394391144,0.8622291605608856,,spd,no_impact
as_coded,spd,Oceania,5000,no_spatial_terms_selected,no_spatial_signal,-0.0618,0.0016,0.0634,-0.0618,climate,climate,FALSE,0.024615384615384615,0.9753846153846153,0,-0.009272622955229681,0.052473868849698846,0,0.021787983608027695,0.06498922950249686,0.9350107704975031,,spd,no_impact
as_coded,spd,Oceania,5500,no_spatial_terms_selected,no_spatial_signal,-0.052700000000000004,0.0058,0.0585,-0.052700000000000004,climate,climate,FALSE,0.09020217729393468,0.9097978227060655,0,-5.869979176701401e-4,0.05203762037512505,0,0.012846040712248263,0.06429666316970317,0.9357033368302968,,spd,no_impact
as_coded,spd,Oceania,6000,no_spatial_terms_selected,no_spatial_signal,-0.0701,-0.0013,0.0688,-0.0701,climate,climate,FALSE,0,1,0,-0.00245768725440898,0.06763023140197644,0,0.002392127546723466,0.06756467169429092,0.9324353283057091,,spd,no_impact
as_coded,spd,Oceania,7000,no_spatial_terms_selected,no_terms_selected,-0.0204,-0.0138,0.0066,-0.0204,climate,climate,FALSE,0,1,0,-0.016585569950388068,0.0038261790880251834,0,0.005564798818815886,-0.007194592043546999,1.007194592043547,,spd,no_impact
as_coded,spd,Oceania,7500,no_spatial_terms_selected,no_terms_selected,-0.0581,-0.0149,0.0432,-0.0581,climate,climate,FALSE,0,1,0,-0.016861016607486512,0.04121803456624262,0,0.0039301444606776315,0.028287162419433742,0.9717128375805663,,spd,no_impact
as_coded,spd,Asia,2000,spatial_model_estimated,selected,-0.057499999999999996,0.0144,0.0799,-0.0655,climate,climate,FALSE,0.11162790697674418,0.6193798449612403,0.2689922480620155,0.01646818755036783,0.08976972207601741,0.03090074284675537,-0.00813835227230264,0.12900030020083797,0.870999699799162,,spd,bi
as_coded,spd,Asia,2500,spatial_model_estimated,selected,-0.08349999999999999,0.0028,0.0904,-0.0876,climate,climate,FALSE,0.02190923317683881,0.7073552425665102,0.27073552425665104,0.0036273321612295684,0.09527374064501504,0.03344588447269414,-0.004457606242248557,0.1278893510366902,0.8721106489633098,,spd,bi
as_coded,spd,Asia,3000,spatial_model_estimated,selected,-0.0817,0.003,0.0836,-0.08059999999999999,climate,climate,FALSE,0.024732069249793903,0.6892003297609234,0.2860676009892828,0.004389528676442711,0.08390523576148734,0.02968615522983231,0.003372704833709994,0.12135362450147236,0.8786463754985276,,spd,bi
as_coded,spd,Asia,3500,no_spatial_terms_selected,no_terms_selected,-0.0786,0.0057,0.0843,-0.0786,climate,climate,FALSE,0.06333333333333334,0.9366666666666666,0,-1.8776938613784822e-4,0.07842311700666393,0,0.011849103527848293,0.09008445114837438,0.9099155488516256,,spd,bi
as_coded,spd,Asia,4000,no_spatial_terms_selected,no_terms_selected,-0.06509999999999999,0.0054,0.0705,-0.06509999999999999,climate,climate,FALSE,0.07114624505928854,0.9288537549407114,0,0.004152790380215765,0.06932562098338813,0,0.002406026905015679,0.07588443826861957,0.9241155617313804,,spd,bi
as_coded,spd,Asia,4500,spatial_model_estimated,selected,-0.058800000000000005,0.0149,0.0736,-0.0587,climate,climate,FALSE,0.11695447409733126,0.5777080062794349,0.3053375196232339,0.0031617997605227766,0.0616644948091426,0.04069341664982973,0.021935799939933,0.1274555111594281,0.8725444888405719,,spd,bi
as_coded,spd,Asia,5000,spatial_model_estimated,selected,-0.0465,0.0241,0.0671,-0.04300000000000001,climate,climate,FALSE,0.2149866190900981,0.5985727029438002,0.18644067796610167,0.012855450405264146,0.05238111814195079,0.02556105780301743,0.021182256513295306,0.11197988286352767,0.8880201171364723,,spd,bi
as_coded,spd,Asia,5500,spatial_model_estimated,selected,-0.0813,0.0048,0.0875,-0.0827,climate,climate,FALSE,0.038740920096852295,0.7062146892655367,0.25504439063761103,-0.002888152510223785,0.08123068963003355,0.03176334443221074,0.013806273731331142,0.12391215528335164,0.8760878447166484,,spd,bi
as_coded,spd,Asia,6000,no_spatial_terms_selected,no_terms_selected,-0.058,0.0245,0.0825,-0.058,climate,climate,FALSE,0.2289719626168224,0.7710280373831775,0,0.01027111180477569,0.06828020523718448,0,0.028455425918755606,0.10700674296071577,0.8929932570392842,,spd,bi
