summary_level,metric,contrast,cohort,n_units,n_finite,minimum,lower_quartile,median,mean,upper_quartile,maximum,n_negative,n_zero,n_positive,region,climatezone
climate_zone_within_continent,signed_balance,events_minus_spd,as_coded,3,3,-0.16908090189823935,-0.04552084310598238,0.07803921568627459,0.02722332879217788,0.1253754441373865,0.1727116725884984,1,0,2,Asia,Polar
climate_zone_within_continent,signed_balance,events_minus_spd,observed_events_only,3,3,-0.16908090189823935,-0.04552084310598238,0.07803921568627459,0.02722332879217788,0.1253754441373865,0.1727116725884984,1,0,2,Asia,Polar
climate_zone_within_continent,signed_balance,spd_events_minus_spd,as_coded,3,3,0.012037348272642356,0.047315496313467875,0.0825936443542934,0.2113185838231265,0.31095920159836854,0.5393247588424437,0,0,3,Asia,Polar
climate_zone_within_continent,signed_balance,spd_events_minus_spd,observed_events_only,3,3,0.012037348272642356,0.047315496313467875,0.0825936443542934,0.2113185838231265,0.31095920159836854,0.5393247588424437,0,0,3,Asia,Polar
climate_zone_within_continent,signed_difference,events_minus_spd,as_coded,3,3,-0.087,-0.025349999999999984,0.03630000000000003,0.0050000000000000044,0.051000000000000004,0.06569999999999998,1,0,2,Asia,Polar
climate_zone_within_continent,signed_difference,events_minus_spd,observed_events_only,3,3,-0.087,-0.025349999999999984,0.03630000000000003,0.0050000000000000044,0.051000000000000004,0.06569999999999998,1,0,2,Asia,Polar
climate_zone_within_continent,signed_difference,spd_events_minus_spd,as_coded,3,3,-0.0022000000000000075,0.014249999999999999,0.030700000000000005,0.06916666666666667,0.10485,0.179,1,0,2,Asia,Polar
climate_zone_within_continent,signed_difference,spd_events_minus_spd,observed_events_only,3,3,-0.0022000000000000075,0.014249999999999999,0.030700000000000005,0.06916666666666667,0.10485,0.179,1,0,2,Asia,Polar
climate_zone_within_continent,unique_adjusted_r2_pure_climate,events_minus_spd,as_coded,3,3,-0.10066413601214608,-0.038980101407202095,0.022703933197741888,0.019026569134944826,0.07887192170849028,0.13503991021923867,1,0,2,Asia,Polar
climate_zone_within_continent,unique_adjusted_r2_pure_climate,events_minus_spd,observed_events_only,3,3,-0.10066413601214608,-0.038980101407202095,0.022703933197741888,0.019026569134944826,0.07887192170849028,0.13503991021923867,1,0,2,Asia,Polar
climate_zone_within_continent,unique_adjusted_r2_pure_climate,spd_events_minus_spd,as_coded,3,3,-0.21097995108911094,-0.10321740949789077,0.004545132093329407,-0.05383867823466163,0.02473195819256302,0.04491878429179663,1,0,2,Asia,Polar
climate_zone_within_continent,unique_adjusted_r2_pure_climate,spd_events_minus_spd,observed_events_only,3,3,-0.21097995108911094,-0.10321740949789077,0.004545132093329407,-0.05383867823466163,0.02473195819256302,0.04491878429179663,1,0,2,Asia,Polar
climate_zone_within_continent,unique_adjusted_r2_pure_human,events_minus_spd,as_coded,3,3,-0.05370082006253474,-0.015853698444511843,0.02199342317351105,0.026766993752517787,0.06700090066004405,0.11200837814657705,1,0,2,Asia,Polar
climate_zone_within_continent,unique_adjusted_r2_pure_human,events_minus_spd,observed_events_only,3,3,-0.05370082006253474,-0.015853698444511843,0.02199342317351105,0.026766993752517787,0.06700090066004405,0.11200837814657705,1,0,2,Asia,Polar
climate_zone_within_continent,unique_adjusted_r2_pure_human,spd_events_minus_spd,as_coded,3,3,-0.04827120207905378,-0.01918466735769281,0.00990186736366816,0.001587077601147328,0.02651621744124788,0.0431305675188276,1,0,2,Asia,Polar
climate_zone_within_continent,unique_adjusted_r2_pure_human,spd_events_minus_spd,observed_events_only,3,3,-0.04827120207905378,-0.01918466735769281,0.00990186736366816,0.001587077601147328,0.02651621744124788,0.0431305675188276,1,0,2,Asia,Polar
climate_zone_within_continent,zero_balance,events_minus_spd,as_coded,3,3,-0.24954784500593974,-0.05427555811701974,0.14099672877190025,0.08540191910513158,0.25287680116066724,0.3647568735494342,1,0,2,Asia,Polar
climate_zone_within_continent,zero_balance,events_minus_spd,observed_events_only,3,3,-0.24954784500593974,-0.05427555811701974,0.14099672877190025,0.08540191910513158,0.25287680116066724,0.3647568735494342,1,0,2,Asia,Polar
climate_zone_within_continent,zero_balance,spd_events_minus_spd,as_coded,3,3,0.022328587549529516,0.11168839780412505,0.2010482080587206,0.318770655863591,0.4669916900206217,0.7329351719825228,0,0,3,Asia,Polar
climate_zone_within_continent,zero_balance,spd_events_minus_spd,observed_events_only,3,3,0.022328587549529516,0.11168839780412505,0.2010482080587206,0.318770655863591,0.4669916900206217,0.7329351719825228,0,0,3,Asia,Polar
climate_zone_within_continent,climate,events_minus_spd,as_coded,4,4,-0.12989999999999996,-0.046424999999999994,-0.010150000000000003,-0.027574999999999992,0.008699999999999998,0.03989999999999999,3,0,1,Asia,Temperate_Without_dry_season
climate_zone_within_continent,climate,events_minus_spd,observed_events_only,4,4,-0.12989999999999996,-0.046424999999999994,-0.010150000000000003,-0.027574999999999992,0.008699999999999998,0.03989999999999999,3,0,1,Asia,Temperate_Without_dry_season
climate_zone_within_continent,climate,spd_events_minus_spd,as_coded,4,4,-0.08959999999999999,-0.06267500000000001,-0.046350000000000016,-0.044475,-0.028149999999999994,0.004400000000000015,3,0,1,Asia,Temperate_Without_dry_season
climate_zone_within_continent,climate,spd_events_minus_spd,observed_events_only,4,4,-0.08959999999999999,-0.06267500000000001,-0.046350000000000016,-0.044475,-0.028149999999999994,0.004400000000000015,3,0,1,Asia,Temperate_Without_dry_season
climate_zone_within_continent,human,events_minus_spd,as_coded,4,4,-0.0779,-0.01985,0.015549999999999998,0.006075000000000002,0.041475,0.07110000000000001,2,0,2,Asia,Temperate_Without_dry_season
climate_zone_within_continent,human,events_minus_spd,observed_events_only,4,4,-0.0779,-0.01985,0.015549999999999998,0.006075000000000002,0.041475,0.07110000000000001,2,0,2,Asia,Temperate_Without_dry_season
climate_zone_within_continent,human,spd_events_minus_spd,as_coded,4,4,0.0051,0.010650000000000001,0.0583,0.064775,0.11242500000000001,0.13740000000000002,0,0,4,Asia,Temperate_Without_dry_season
climate_zone_within_continent,human,spd_events_minus_spd,observed_events_only,4,4,0.0051,0.010650000000000001,0.0583,0.064775,0.11242500000000001,0.13740000000000002,0,0,4,Asia,Temperate_Without_dry_season
climate_zone_within_continent,signed_balance,events_minus_spd,as_coded,4,4,-0.02584630877682237,-0.004415382152635733,0.0756696086976536,0.08781262109401514,0.16789761194430447,0.22575757575757574,1,0,3,Asia,Temperate_Without_dry_season
climate_zone_within_continent,signed_balance,events_minus_spd,observed_events_only,4,4,-0.02584630877682237,-0.004415382152635733,0.0756696086976536,0.08781262109401514,0.16789761194430447,0.22575757575757574,1,0,3,Asia,Temperate_Without_dry_season
climate_zone_within_continent,signed_balance,spd_events_minus_spd,as_coded,4,4,-0.0057346208737234505,0.21875751530563314,0.30537060399970595,0.6910243740541494,0.7776374627482222,2.159090909090909,1,0,3,Asia,Temperate_Without_dry_season
climate_zone_within_continent,signed_balance,spd_events_minus_spd,observed_events_only,4,4,-0.0057346208737234505,0.21875751530563314,0.30537060399970595,0.6910243740541494,0.7776374627482222,2.159090909090909,1,0,3,Asia,Temperate_Without_dry_season
climate_zone_within_continent,signed_difference,events_minus_spd,as_coded,4,4,-0.04039999999999999,0.014875,0.04264999999999998,0.03365,0.06142499999999998,0.08970000000000003,1,0,3,Asia,Temperate_Without_dry_season
climate_zone_within_continent,signed_difference,events_minus_spd,observed_events_only,4,4,-0.04039999999999999,0.014875,0.04264999999999998,0.03365,0.06142499999999998,0.08970000000000003,1,0,3,Asia,Temperate_Without_dry_season
