cohort,aggregation_level,profile,region,climatezone,status__spd,status__spd_events,status__events,adjusted_balance__spd,adjusted_balance__spd_events,adjusted_balance__events,n_records__spd,n_records__spd_events,n_records__events,weight_sum__spd,weight_sum__spd_events,weight_sum__events,ranking__spd,ranking__spd_events,ranking__events,adjusted_balance__spd_events_minus_spd,adjusted_balance__events_minus_spd,n_records__spd_events_minus_spd,n_records__events_minus_spd,weight_sum__spd_events_minus_spd,weight_sum__events_minus_spd,ranking__spd_events_vs_spd_reversal,ranking__events_vs_spd_reversal,estimable__spd,estimable__spd_events,estimable__events,three_way_estimable,estimability_change__spd_events_vs_spd,estimability_change__events_vs_spd
as_coded,region_climatezone,signed,North America,Arid,selected,selected,no_spatial_signal,-0.10628920590169763,-0.12269338984672735,-0.0958,17,16,1,5.417,4.97,0.155,climate,climate,climate,-0.016404183945029724,0.010489205901697635,-1,-16,-0.44700000000000006,-5.262,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
as_coded,region_climatezone,signed,North America,Cold_Dry_Summer,selected,selected,NA,-0.07804368676789696,-0.0843630171846317,NA,49,49,NA,20.066,20.066,NA,climate,climate,NA,-0.006319330416734742,NA,0,NA,0,NA,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
as_coded,region_climatezone,signed,North America,Cold_Without_dry_season_Cold_Summer,selected,selected,NA,-0.15109708576863282,-0.14940750035176445,NA,136,136,NA,62.559,62.559,NA,climate,climate,NA,0.0016895854168683666,NA,0,NA,0,NA,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
as_coded,region_climatezone,signed,North America,Cold_Without_dry_season_Hot_Summer,selected,selected,no_spatial_signal,-0.16787532120988438,-0.1554847358349774,-0.2337850198412699,52,51,5,22.054,21.455,3.024,climate,climate,climate,0.012390585374906976,-0.06590969863138552,-1,-47,-0.5990000000000002,-19.029999999999998,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
as_coded,region_climatezone,signed,North America,Cold_Without_dry_season_Warm_Summer,selected,selected,no_spatial_signal,-0.1256358971399447,-0.11905358155077063,-0.12626526742513403,190,189,17,84.826,85.467,7.647,climate,climate,climate,0.006582315589174062,-6.293702851893346e-4,-1,-173,0.6410000000000053,-77.17899999999999,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
as_coded,region_climatezone,signed,North America,Polar,selected,selected,NA,-0.18437736631048504,-0.16661859459137054,NA,36,36,NA,15.727,15.727,NA,climate,climate,NA,0.017758771719114497,NA,0,NA,0,NA,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
as_coded,region_climatezone,signed,North America,Temperate_Dry_Summer,selected,selected,no_spatial_signal,-0.05759161533799332,-0.062135720502514515,0.03379999999999994,17,17,1,6.966,6.994,0.041,climate,climate,human,-0.004544105164521195,0.09139161533799325,0,-16,0.02799999999999958,-6.925,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
as_coded,region_climatezone,signed,North America,Temperate_Without_dry_season,selected,selected,no_spatial_signal,-0.10567006102259752,-0.10770280231091314,-0.1975,39,37,1,16.291,15.59,0.629,climate,climate,climate,-0.002032741288315626,-0.09182993897740249,-2,-38,-0.7010000000000005,-15.662,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
as_coded,region_climatezone,signed,Oceania,Arid,selected,selected,no_spatial_signal,-0.011455784982724329,-0.05481180438150444,-0.05759999999999999,1,1,1,0.441,0.54,0.504,climate,climate,climate,-0.04335601939878011,-0.04614421501727566,0,0,0.09900000000000003,0.063,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
as_coded,region_climatezone,signed,Oceania,Cold_Without_dry_season_Cold_Summer,selected,selected,no_spatial_signal,-0.016911715634018474,0.15723084614601132,0.0518,1,1,1,0.138,0.266,0.241,climate,human,human,0.1741425617800298,0.06871171563401847,0,0,0.128,0.10299999999999998,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
as_coded,region_climatezone,signed,Oceania,Cold_Without_dry_season_Warm_Summer,selected,selected,no_spatial_signal,-0.01674197306761587,0.05590546734665541,-0.121,2,2,1,1.183,1.1440000000000001,0.438,climate,human,climate,0.07264744041427129,-0.10425802693238412,0,-1,-0.038999999999999924,-0.7450000000000001,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
as_coded,region_climatezone,signed,Oceania,Temperate_Dry_Summer,selected,selected,no_spatial_signal,-0.029746283144007214,0.06742101809823339,0.09540000000000001,1,1,1,0.219,0.369,0.322,climate,human,human,0.0971673012422406,0.12514628314400722,0,0,0.15,0.10300000000000001,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
as_coded,region_climatezone,signed,Oceania,Temperate_Dry_Winter,selected,selected,no_spatial_signal,0.3288324697029554,0.06696445765383913,-0.0805,1,1,1,0.312,0.239,0.257,human,human,climate,-0.26186801204911625,-0.4093324697029554,0,0,-0.07300000000000001,-0.05499999999999999,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
as_coded,region_climatezone,signed,Oceania,Temperate_Without_dry_season,selected,selected,no_spatial_signal,-0.15988328355481424,-0.03325762920919088,-0.024401752493933667,22,22,13,10.381,11.975,7.418,climate,climate,climate,0.12662565434562337,0.13548153106088057,0,-9,1.5939999999999994,-2.963,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
as_coded,region_climatezone,signed,Oceania,Tropical,selected,selected,no_spatial_signal,-0.2027874576684108,-0.15798850385632807,-0.16262975140336802,4,5,2,1.8050000000000002,2.687,1.2469999999999999,climate,climate,climate,0.04479895381208274,0.04015770626504278,1,-2,0.8819999999999997,-0.5580000000000003,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
