region,climate_zone,long,lat,dataset_id,filter_out,total_variance,human_predictor_unique,human_predictor_avg_share,human_predictor_total,climate_predictor_unique,climate_predictor_avg_share,climate_predictor_total,time_predictor_unique,time_predictor_avg_share,time_predictor_total,human_predictor_unique_percent,human_predictor_avg_share_percent,human_predictor_total_percent,climate_predictor_unique_percent,climate_predictor_avg_share_percent,climate_predictor_total_percent,time_predictor_unique_percent,time_predictor_avg_share_percent,time_predictor_total_percent
Asia,Polar,98.2,34.83,PVT_Ayongwama_Co,FALSE,0.419,0.1404,0,0.1362,0.0121,0.1472,0.1593,0,0.1435,0.1235,33.508353221957044,0,32.50596658711217,2.8878281622911692,35.13126491646778,38.01909307875896,0,34.24821002386635,29.47494033412888
Asia,Polar,87.64,50.51,PVT_Kendegelukol_Lake,FALSE,0.46,0.0718,0.0237,0.0955,0.063,0.12390000000000001,0.1869,0.0394,0.1383,0.1777,15.608695652173912,5.152173913043478,20.76086956521739,13.695652173913043,26.934782608695652,40.630434782608695,8.565217391304348,30.06521739130435,38.63043478260869
Asia,Polar,97.24,34.01,PVT_Koucha_Lake,FALSE,0.222,0,0.0398,0.0099,0,0.1247,0.0994,0,0.1241,0.1131,0,17.92792792792793,4.45945945945946,0,56.171171171171174,44.77477477477477,0,55.90090090090089,50.94594594594595
Asia,Polar,99.31,35.52,PVT_Kuhai_Lake,FALSE,0.34,0.0715,0.019000000000000003,0.0905,0.0915,0.04680000000000001,0.1383,0.0362,0.0751,0.1113,21.02941176470588,5.588235294117648,26.61764705882353,26.91176470588235,13.764705882352942,40.67647058823529,10.647058823529413,22.088235294117645,32.73529411764706
Asia,Polar,99.76,31.11,PVT_Naleng_Co,FALSE,0.256,0,0.0611,0.0357,0,0.1157,0.0581,0.0385,0.12339999999999998,0.1619,0,23.8671875,13.945312500000002,0,45.19531249999999,22.695312499999996,15.0390625,48.20312499999999,63.24218749999999
Asia,Polar,92.37,29.81,PVT_Qongjiamong_Co,FALSE,0.293,0.0501,0.038200000000000005,0.0883,0.078,0.020599999999999993,0.0986,0.109,0,0.1065,17.098976109215016,13.037542662116044,30.136518771331062,26.621160409556317,7.030716723549486,33.6518771331058,37.201365187713314,0,36.3481228668942
Asia,Polar,96.68,30.73,PVT_Ren_Co_R1,FALSE,0.182,0.0026,0,0,0.0834,0.05979999999999999,0.1432,0,0.0699,0.0582,1.4285714285714286,0,0,45.824175824175825,32.857142857142854,78.68131868131869,0,38.40659340659341,31.97802197802198
Asia,Polar,88.52,31.57,PVT_Selin_Co_CK8803,FALSE,0.318,0,0,0,0.081,0.05639999999999999,0.1374,0.1237,0.056400000000000006,0.1801,0,0,0,25.471698113207548,17.73584905660377,43.20754716981131,38.89937106918239,17.735849056603776,56.63522012578617
Asia,Polar,90.5,34.87,PVT_Ulan_Ul_Lake,FALSE,0.136,0,0,0,0,0.0439,0.0182,0.0743,0.044,0.1183,0,0,0,0,32.27941176470588,13.382352941176471,54.632352941176464,32.35294117647059,86.98529411764704
Asia,Polar,101.47,33.38,PVT_Ximen_Co,FALSE,0.315,0.0654,0.052500000000000005,0.1179,0,0.11760000000000001,0.1029,0,0.1196,0.0945,20.761904761904763,16.666666666666668,37.42857142857143,0,37.333333333333336,32.666666666666664,0,37.96825396825397,30
Asia,Polar,99.55,30.3,PVT_Yidun_Lake,FALSE,0.522,0.0398,0.021699999999999997,0.0615,0.0798,0.08420000000000001,0.164,0.1895,0.10709999999999997,0.2966,7.624521072796934,4.157088122605363,11.781609195402298,15.287356321839079,16.13026819923372,31.417624521072796,36.30268199233716,20.517241379310338,56.819923371647505
Asia,Polar,90.9,32,PVT_Zigetang_Co,TRUE,-0.118,0,0,0,0,0.03320000000000001,0,0,0.0332,0,-0,-0,-0,-0,-28.13559322033899,-0,-0,-28.135593220338983,-0
Asia,Polar,100.5333,74.5464,cao_106,FALSE,0.443,0,0,0,0.2833,0.0807,0.364,0,0.0808,0.079,0,0,0,63.95033860045146,18.216704288939052,82.16704288939052,0,18.239277652370202,17.83295711060948
Asia,Polar,152.333333,61.016667,cao_122,FALSE,0.418,0,0,0,0.0515,0.1864,0.2379,0,0.1865,0.1806,0,0,0,12.320574162679426,44.5933014354067,56.91387559808613,0,44.61722488038278,43.205741626794264
Asia,Polar,147.928889,63.515,cao_41,FALSE,0.425,0,0,0,0.3143,0.03369999999999995,0.348,0.0432,0.033699999999999994,0.0769,0,0,0,73.9529411764706,7.929411764705871,81.88235294117646,10.164705882352942,7.929411764705881,18.094117647058823
Asia,Polar,156.75,70.666667,cao_65,FALSE,0.369,0,0,0,0.2689,0,0.2469,0.1439,0,0.1219,0,0,0,72.87262872628726,0,66.91056910569107,38.99728997289973,0,33.03523035230352
Asia,Polar,136,74.5,cao_71,FALSE,0.226,0,0,0,0.1034,0.037799999999999986,0.1412,0.0474,0.0379,0.0853,0,0,0,45.75221238938053,16.72566371681415,62.477876106194685,20.973451327433626,16.76991150442478,37.743362831858406
Asia,Polar,124.25,73.6666,cao_84,FALSE,0.403,0,0,0,0.0566,0.16760000000000003,0.2242,0.0114,0.1676,0.179,0,0,0,14.044665012406945,41.58808933002482,55.63275434243175,2.8287841191067,41.588089330024815,44.41687344913151
Asia,Temperate_Dry_Summer,30.05,37.466667,24166,FALSE,0.382,0,0.0363,0.019,0,0.2048,0.1827,0,0.2029,0.1804,0,9.50261780104712,4.973821989528796,0,53.612565445026185,47.82722513089005,0,53.11518324607329,47.225130890052355
Asia,Temperate_Dry_Summer,31.5,37.541667,3927,FALSE,0.597,0.0149,0.010499999999999999,0.0254,0.0773,0.2629,0.3402,0,0.2752,0.231,2.495812395309883,1.7587939698492463,4.254606365159129,12.948073701842548,44.036850921273036,56.98492462311558,0,46.09715242881072,38.69346733668342
Asia,Temperate_Dry_Summer,36.4925,42.2255,PANGAEA.783359,FALSE,0.237,0,0.020600000000000004,0,0,0.11299999999999999,0.0775,0.0967,0.08040000000000001,0.1771,0,8.691983122362872,0,0,47.67932489451477,32.70042194092827,40.801687763713076,33.9240506329114,74.72573839662448
Asia,Temperate_Dry_Summer,47.716667,33.083333,pg_711930,FALSE,0.287,0.0028,0.0499,0.0527,0.0079,0.0771,0.085,0.147,0.002700000000000008,0.1497,0.975609756097561,17.386759581881535,18.362369337979096,2.752613240418119,26.86411149825784,29.616724738675966,51.21951219512195,0.9407665505226509,52.160278745644604
Asia,Temperate_Dry_Summer,29.53333,40.43333,pg_858056,FALSE,0.436,0,0.12819999999999998,0.0943,0,0.19240000000000002,0.1228,0.0323,0.18660000000000002,0.2189,0,29.403669724770637,21.628440366972477,0,44.128440366972484,28.165137614678898,7.408256880733946,42.79816513761469,50.206422018348626
Asia,Temperate_Dry_Winter,99.27974,25.87085,41247,FALSE,0.177,0.1052,0.007900000000000004,0.1131,0,0.0598,0.0063,0,0.0838,0.0576,59.43502824858757,4.463276836158195,63.898305084745765,0,33.78531073446328,3.5593220338983054,0,47.344632768361585,32.54237288135594
Asia,Temperate_Dry_Winter,96.91667,20.56667,PANGAEA.893308,FALSE,0.541,0,0,0,0,0.2865,0.2525,0.0019,0.2865,0.2884,0,0,0,0,52.95748613678373,46.672828096118295,0.35120147874306834,52.95748613678373,53.30868761552679
Asia,Temperate_Dry_Winter,102.67,27.83,PVT_Dahaizi_Lake,FALSE,0.228,0.0528,0.0509,0.1037,0,0.0484,0.0474,0,0.077,0.0766,23.157894736842106,22.32456140350877,45.48245614035088,0,21.228070175438596,20.789473684210524,0,33.771929824561404,33.59649122807017
Asia,Temperate_Dry_Winter,100.2,25.77,PVT_Erhai_Lake,FALSE,0.281,0.2441,0,0.2027,0.1027,0,0.0209,0.0566,6.000000000000033e-4,0.0572,86.86832740213522,0,72.13523131672596,36.54804270462633,0,7.437722419928824,20.142348754448395,0.213523131672599,20.355871886120994
Asia,Temperate_Dry_Winter,110.28,21.15,PVT_Huguangyan_Maer_LakeB,FALSE,0.558,0,0.1033,0.0885,0.108,0.13579999999999998,0.2438,0.0777,0.14800000000000002,0.2257,0,18.51254480286738,15.860215053763438,19.354838709677416,24.336917562724008,43.69175627240143,13.9247311827957,26.523297491039425,40.448028673835125
Asia,Temperate_Dry_Winter,104.23,26.7,PVT_Nantun,FALSE,0.339,0.0074,0.0368,0.0442,0.0125,0.13679999999999998,0.1493,0.0378,0.1074,0.1452,2.1828908554572273,10.855457227138642,13.03834808259587,3.687315634218289,40.353982300884944,44.04129793510324,11.150442477876107,31.68141592920354,42.83185840707964
Asia,Temperate_Dry_Winter,102.22,28.58,PVT_Shayema_Lake,FALSE,0.308,0,0.0665,0.0656,0.1491,0.004899999999999988,0.154,0.0262,0.0624,0.0886,0,21.59090909090909,21.2987012987013,48.409090909090914,1.5909090909090868,50,8.506493506493506,20.25974025974026,28.766233766233768
Asia,Temperate_Dry_Winter,102.78,24.34,PVT_Xingyun_Lake,FALSE,0.8,0.056,0.22749999999999998,0.2835,0.0288,0.1073,0.1361,0.1435,0.2371,0.3806,6.999999999999999,28.437499999999993,35.43749999999999,3.5999999999999996,13.4125,17.0125,17.937499999999996,29.6375,47.574999999999996
Asia,Temperate_Dry_Winter,76.63388889,11.43666667,Sandynallah_SBBS,FALSE,0.7,0,0,0,0.0747,0.2636,0.3383,0.0982,0.2636,0.3618,0,0,0,10.671428571428573,37.65714285714286,48.32857142857143,14.028571428571428,37.65714285714286,51.68571428571429
Asia,Temperate_Without_dry_season,135.88674,35.51763,14134,FALSE,0.421,0,0.0026,0,0.0121,0.1885,0.2006,0.0366,0.18710000000000002,0.2237,0,0.6175771971496438,0,2.8741092636579575,44.77434679334917,47.648456057007124,8.693586698337292,44.44180522565321,53.135391923990504
Asia,Temperate_Without_dry_season,134.133333333333,35.35,15624,FALSE,0.627,0.0982,0.008900000000000005,0.1071,0.0742,0.22550000000000003,0.2997,0.0018,0.2179,0.2197,15.661881977671452,1.4194577352472098,17.081339712918663,11.834130781499203,35.96491228070176,47.79904306220096,0.28708133971291866,34.75279106858055,35.03987240829346
Asia,Temperate_Without_dry_season,136.13079,35.653925,15649,FALSE,0.34,0.1761,0,0.1385,0.0438,0.09389999999999998,0.1377,0,0.1049,0.0643,51.794117647058826,0,40.73529411764706,12.88235294117647,27.617647058823525,40.49999999999999,0,30.852941176470583,18.91176470588235
Asia,Temperate_Without_dry_season,136.11934,35.54912,15656,FALSE,0.368,0.0132,0.0401,0.0533,0.0521,0.131,0.1831,0.0219,0.1101,0.132,3.5869565217391304,10.896739130434781,14.483695652173914,14.157608695652174,35.59782608695652,49.755434782608695,5.951086956521738,29.91847826086957,35.86956521739131
Asia,Temperate_Without_dry_season,131.586111111111,34.4902777777778,15704,FALSE,0.469,0,0,0,0.0704,0.18969999999999998,0.2601,0.0195,0.18980000000000002,0.2093,0,0,0,15.010660980810236,40.447761194029844,55.45842217484008,4.157782515991471,40.469083155650324,44.626865671641795
Asia,Temperate_Without_dry_season,119.03,26.77,PVT_Gantang,FALSE,0.125,0,0.0261,0.0056,0,0.1146,0.0222,0.0085,0.08879999999999999,0.0973,0,20.880000000000003,4.4799999999999995,0,91.67999999999999,17.76,6.800000000000001,71.03999999999999,77.84
Asia,Temperate_Without_dry_season,121.19,31.06,PVT_Guangfulin,FALSE,0.46,0,0.0225,0.0224,0.0052,0.2221,0.2273,0.0022,0.20829999999999999,0.2105,0,4.891304347826086,4.869565217391305,1.1304347826086956,48.282608695652165,49.41304347826087,0.47826086956521735,45.28260869565217,45.76086956521739
Asia,Temperate_Without_dry_season,112.24,31.08,PVT_Longquan_Lake_LC2,FALSE,0.589,0.014,0.016099999999999996,0.0301,0.0201,0.23570000000000002,0.2558,0.0772,0.22610000000000002,0.3033,2.376910016977929,2.7334465195246174,5.110356536502547,3.412563667232598,40.016977928692704,43.4295415959253,13.106960950764007,38.38709677419355,51.494057724957564
Asia,Temperate_Without_dry_season,121.7,31.9,PVT_Qidong,FALSE,0.375,0.1259,0,0.0595,0.1467,0.028499999999999998,0.1752,0.1006,0.03990000000000002,0.1405,33.57333333333334,0,15.866666666666665,39.12,7.6,46.72,26.826666666666664,10.640000000000004,37.46666666666667
Asia,Tropical,75.22388889,12.28777778,Western_Ghats1,FALSE,0.795,0,0,0,0.1181,0.34290000000000004,0.461,0,0.3428,0.3342,0,0,0,14.855345911949685,43.132075471698116,57.9874213836478,0,43.11949685534591,42.0377358490566
Europe,Arid,32.61667,46.51667,1440,FALSE,0.332,0.0948,0,0.0456,0.0663,0.0847,0.151,0.0296,0.10540000000000001,0.135,28.55421686746988,0,13.734939759036143,19.969879518072286,25.51204819277108,45.481927710843365,8.91566265060241,31.74698795180723,40.66265060240964
