sensitivity_type,omitted_group,distance_km,repetition,aggregation_level,profile,importance_balance,n_records,n_strata,weight_sum,region,climatezone,ranking,baseline_balance,absolute_deviation
thinning,NA,250,1,region_climatezone,signed,0.009259259259259203,1,1,0.216,Asia,Cold_Without_dry_season_Hot_Summer,human,0.009259259259259203,0
thinning,NA,250,1,region_climatezone,signed,-0.777512297962052,15,1,5.692,Asia,Cold_Without_dry_season_Warm_Summer,climate,-0.7877854846895619,0.010273186727509875
thinning,NA,250,1,region_climatezone,signed,-0.6596424384525206,10,1,3.412,Asia,Polar,climate,-0.6596424384525206,0
thinning,NA,250,1,region_climatezone,signed,-1.0125202374527793,5,1,1.853,Asia,Temperate_Dry_Summer,climate,-1.0125202374527793,0
thinning,NA,250,1,region_climatezone,signed,0.025888594164456248,5,1,1.8849999999999998,Asia,Temperate_Dry_Winter,human,0.007591504744690476,0.018297089419765773
thinning,NA,250,1,region_climatezone,signed,-0.8757510729613732,6,1,2.7960000000000003,Asia,Temperate_Without_dry_season,climate,-0.8193251533742331,0.05642591958714016
thinning,NA,250,1,region_climatezone,signed,-1.0577368195456491,6,1,2.333,Europe,Arid,climate,-1.0722855935783693,0.014548774032720146
thinning,NA,250,1,region_climatezone,signed,-0.6625,3,1,1.552,Europe,Cold_Dry_Summer,climate,-0.6625,0
thinning,NA,250,1,region_climatezone,signed,-0.6334305859469973,51,1,16.452,Europe,Cold_Without_dry_season_Cold_Summer,climate,-0.6500885065681189,0.01665792062112159
thinning,NA,250,1,region_climatezone,signed,-0.6694475422492923,71,1,23.314,Europe,Cold_Without_dry_season_Warm_Summer,climate,-0.6510013065175951,0.018446235731697125
thinning,NA,250,1,region_climatezone,signed,-0.7383609576427257,14,1,5.43,Europe,Polar,climate,-0.6662854349951124,0.0720755226476133
thinning,NA,250,1,region_climatezone,signed,-0.6884000983042516,13,1,4.069,Europe,Temperate_Dry_Summer,climate,-0.6676690029391815,0.020731095365070118
thinning,NA,250,1,region_climatezone,signed,-0.3918643190056965,51,1,19.31,Europe,Temperate_Without_dry_season,climate,-0.33982598208132325,0.05203833692437326
thinning,NA,250,1,region_climatezone,signed,-0.4712699514226232,5,1,1.441,Latin America,Arid,climate,-0.4712699514226232,0
thinning,NA,250,1,region_climatezone,signed,-0.8982222222222221,2,1,0.675,Latin America,Cold_Dry_Summer,climate,-0.8982222222222221,0
thinning,NA,250,1,region_climatezone,signed,-0.6181606359649123,17,1,7.296,Latin America,Polar,climate,-0.6357290420789389,0.017568406114026547
thinning,NA,250,1,region_climatezone,signed,-1.0068210526315788,8,1,2.375,Latin America,Temperate_Dry_Summer,climate,-1.0068210526315788,0
thinning,NA,250,1,region_climatezone,signed,-0.47911646586345374,2,1,0.7470000000000001,Latin America,Temperate_Dry_Winter,climate,-0.47911646586345374,0
thinning,NA,250,1,region_climatezone,signed,-0.5083123425692696,16,1,5.161,Latin America,Temperate_Without_dry_season,climate,-0.48046263345195733,0.02784970911731227
thinning,NA,250,1,region_climatezone,signed,-0.45729292233511276,14,1,5.807,Latin America,Tropical,climate,-0.4130089058524173,0.044284016482695476
thinning,NA,250,1,region_climatezone,signed,-0.2547208121827411,14,1,3.94,North America,Arid,climate,-0.267926267281106,0.013205455098364904
thinning,NA,250,1,region_climatezone,signed,-0.4298386442876834,34,1,12.333,North America,Cold_Dry_Summer,climate,-0.4033738838616887,0.026464760425994716
thinning,NA,250,1,region_climatezone,signed,-0.6213881128738754,104,1,39.017,North America,Cold_Without_dry_season_Cold_Summer,climate,-0.6006827527348902,0.020705360138985163
thinning,NA,250,1,region_climatezone,signed,-0.36157968063444434,28,1,9.331,North America,Cold_Without_dry_season_Hot_Summer,climate,-0.44745168770935323,0.08587200707490888
thinning,NA,250,1,region_climatezone,signed,-0.40546766448090094,101,1,41.023,North America,Cold_Without_dry_season_Warm_Summer,climate,-0.40774893935612677,0.002281274875225836
thinning,NA,250,1,region_climatezone,signed,-0.752207720077756,31,1,10.803,North America,Polar,climate,-0.7375564516129032,0.014651268464852873
thinning,NA,250,1,region_climatezone,signed,-0.3860375111640369,13,1,3.359,North America,Temperate_Dry_Summer,climate,-0.4226583407671722,0.036620829603135285
thinning,NA,250,1,region_climatezone,signed,-0.2671623177283193,31,1,10.424,North America,Temperate_Without_dry_season,climate,-0.22972326341813543,0.03743905431018385
thinning,NA,250,1,region_climatezone,signed,-0.5156521739130435,1,1,0.345,Oceania,Arid,climate,-0.5156521739130435,0
thinning,NA,250,1,region_climatezone,signed,-2.968421052631579,1,1,0.019,Oceania,Cold_Without_dry_season_Cold_Summer,climate,-2.968421052631579,0
thinning,NA,250,1,region_climatezone,signed,-0.6820143884892086,1,1,0.139,Oceania,Temperate_Dry_Summer,climate,-0.6820143884892086,0
thinning,NA,250,1,region_climatezone,signed,-0.31022727272727274,1,1,0.264,Oceania,Temperate_Dry_Winter,climate,-0.31022727272727274,0
thinning,NA,250,1,region_climatezone,signed,-0.391732862606649,16,1,6.798,Oceania,Temperate_Without_dry_season,climate,-0.3824903066619669,0.009242555944682151
thinning,NA,250,1,region_climatezone,signed,-0.34243818286371475,4,1,1.7389999999999999,Oceania,Tropical,climate,-0.34243818286371475,0
thinning,NA,250,1,overall,zero_truncated,-0.532137022172574,746,38,273.6579,All,All,climate,-0.5124720067291967,0.019665015443377287
thinning,NA,250,1,region,zero_truncated,-0.6946306295872722,93,10,34.5385,Asia,All,climate,-0.6912613828177492,0.0033692467695229933
thinning,NA,250,1,region,zero_truncated,-0.5787563041589175,209,7,73.8798,Europe,All,climate,-0.5570673848516587,0.021688919307258803
thinning,NA,250,1,region,zero_truncated,-0.5522822543083372,64,7,24.0464,Latin America,All,climate,-0.5415668934998014,0.010715360808535856
thinning,NA,250,1,region,zero_truncated,-0.4706623834816588,356,8,131.7711,North America,All,climate,-0.45752601614291005,0.013136367338748733
thinning,NA,250,1,region,zero_truncated,-0.3792678914467051,24,6,9.4221,Oceania,All,climate,-0.36356574499800554,0.01570214644869955
thinning,NA,250,1,region_climatezone,zero_truncated,-0.5570161025303976,19,1,6.086,Asia,Arid,climate,-0.5570161025303976,0
thinning,NA,250,1,region_climatezone,zero_truncated,-1,4,1,1.4558,Asia,Cold_Dry_Summer,climate,-1,0
thinning,NA,250,1,region_climatezone,zero_truncated,-0.7524886702560328,20,1,7.7451,Asia,Cold_Dry_Winter,climate,-0.7403908278577612,0.012097842398271608
thinning,NA,250,1,region_climatezone,zero_truncated,-0.7780383926918092,8,1,3.2401999999999997,Asia,Cold_Without_dry_season_Cold_Summer,climate,-0.8109825987287694,0.032944206036960244
thinning,NA,250,1,region_climatezone,zero_truncated,0.009276437847866362,1,1,0.21560000000000001,Asia,Cold_Without_dry_season_Hot_Summer,human,0.009276437847866362,0
thinning,NA,250,1,region_climatezone,zero_truncated,-0.7763268744734625,15,1,5.6975999999999996,Asia,Cold_Without_dry_season_Warm_Summer,climate,-0.7848278656693738,0.0085009911959113
thinning,NA,250,1,region_climatezone,zero_truncated,-0.6312894213876328,10,1,3.4721,Asia,Polar,climate,-0.6312894213876328,0
thinning,NA,250,1,region_climatezone,zero_truncated,-0.9209767154337524,5,1,1.9412,Asia,Temperate_Dry_Summer,climate,-0.9209767154337524,0
thinning,NA,250,1,region_climatezone,zero_truncated,0.02589134125636673,5,1,1.8848000000000003,Asia,Temperate_Dry_Winter,human,0.007591504744690476,0.018299836511676257
thinning,NA,250,1,region_climatezone,zero_truncated,-0.8730045355523017,6,1,2.8001,Asia,Temperate_Without_dry_season,climate,-0.8170899843745213,0.055914551177780436
thinning,NA,250,1,region_climatezone,zero_truncated,-0.9834717573653982,6,1,2.4201,Europe,Arid,climate,-0.9838213881248988,3.4963075950067424e-4
thinning,NA,250,1,region_climatezone,zero_truncated,-0.6401194940570774,3,1,1.5733000000000001,Europe,Cold_Dry_Summer,climate,-0.6401194940570774,0
thinning,NA,250,1,region_climatezone,zero_truncated,-0.5848446780024888,51,1,16.9551,Europe,Cold_Without_dry_season_Cold_Summer,climate,-0.6171081785201237,0.032263500517634824
thinning,NA,250,1,region_climatezone,zero_truncated,-0.6321220729270102,71,1,23.8677,Europe,Cold_Without_dry_season_Warm_Summer,climate,-0.6210554945342329,0.011066578392777249
thinning,NA,250,1,region_climatezone,zero_truncated,-0.73842895294226,14,1,5.4295,Europe,Polar,climate,-0.663897788468093,0.07453116447416697
thinning,NA,250,1,region_climatezone,zero_truncated,-0.6897245508982036,13,1,4.175,Europe,Temperate_Dry_Summer,climate,-0.6694046988164635,0.020319852081740142
thinning,NA,250,1,region_climatezone,zero_truncated,-0.3843394607150382,51,1,19.4591,Europe,Temperate_Without_dry_season,climate,-0.3337292229334277,0.0506102377816105
thinning,NA,250,1,region_climatezone,zero_truncated,-0.42961165048543687,5,1,1.4832,Latin America,Arid,climate,-0.42961165048543687,0
thinning,NA,250,1,region_climatezone,zero_truncated,-0.8991546789262939,2,1,0.6743,Latin America,Cold_Dry_Summer,climate,-0.8991546789262939,0
thinning,NA,250,1,region_climatezone,zero_truncated,-0.6103935074677761,17,1,7.3315,Latin America,Polar,climate,-0.6210712323158315,0.010677724848055403
thinning,NA,250,1,region_climatezone,zero_truncated,-0.8561358414144956,8,1,2.5677,Latin America,Temperate_Dry_Summer,climate,-0.8561358414144956,0
thinning,NA,250,1,region_climatezone,zero_truncated,-0.47918061320123173,2,1,0.7469,Latin America,Temperate_Dry_Winter,climate,-0.47918061320123173,0
thinning,NA,250,1,region_climatezone,zero_truncated,-0.46746342934700646,16,1,5.3048,Latin America,Temperate_Without_dry_season,climate,-0.4435307588216925,0.023932670525313948
thinning,NA,250,1,region_climatezone,zero_truncated,-0.4253620747726508,14,1,5.938,Latin America,Tropical,climate,-0.38438050133200397,0.040981573440646846
thinning,NA,250,1,region_climatezone,zero_truncated,-0.2461959224266534,14,1,4.022,North America,Arid,climate,-0.27049545535555164,0.02429953292889825
thinning,NA,250,1,region_climatezone,zero_truncated,-0.42852310343994393,34,1,12.4159,North America,Cold_Dry_Summer,climate,-0.39664950443308206,0.031873599006861875
thinning,NA,250,1,region_climatezone,zero_truncated,-0.6025248719102941,104,1,39.5426,North America,Cold_Without_dry_season_Cold_Summer,climate,-0.5846148555971161,0.017910016313178012
thinning,NA,250,1,region_climatezone,zero_truncated,-0.3455475343590175,28,1,9.502600000000001,North America,Cold_Without_dry_season_Hot_Summer,climate,-0.4288192331101643,0.08327169875114676
thinning,NA,250,1,region_climatezone,zero_truncated,-0.3995701696787902,101,1,41.2721,North America,Cold_Without_dry_season_Warm_Summer,climate,-0.40324746733790584,0.0036772976591156192
thinning,NA,250,1,region_climatezone,zero_truncated,-0.7263011999854105,31,1,10.9668,North America,Polar,climate,-0.7125939819745354,0.013707218010875155
thinning,NA,250,1,region_climatezone,zero_truncated,-0.38958654187892433,13,1,3.3764,North America,Temperate_Dry_Summer,climate,-0.4251882789416391,0.035601737062714744
thinning,NA,250,1,region_climatezone,zero_truncated,-0.2650032325465908,31,1,10.6727,North America,Temperate_Without_dry_season,climate,-0.23019527652467106,0.034807956021919745
thinning,NA,250,1,region_climatezone,zero_truncated,-0.5152041702867072,1,1,0.3453,Oceania,Arid,climate,-0.5152041702867072,0
thinning,NA,250,1,region_climatezone,zero_truncated,-1,1,1,0.0375,Oceania,Cold_Without_dry_season_Cold_Summer,climate,-1,0
thinning,NA,250,1,region_climatezone,zero_truncated,-0.6839826839826839,1,1,0.1386,Oceania,Temperate_Dry_Summer,climate,-0.6839826839826839,0
