dataset_id,analysis,fraction,adjusted_r_squared
785,spatial_spd,total_explained,0.6189927269366209
785,spatial_spd,unexplained,0.3810072730633791
2311,spatial_spd,pure_human,0.03254509205035139
2311,spatial_spd,pure_climate,0.3107829556510455
2311,spatial_spd,pure_time,0.06718399571160072
2311,spatial_spd,shared,0.326049170324642
2311,spatial_spd,total_explained,0.7365612137376396
2311,spatial_spd,unexplained,0.2634387862623604
3900,spatial_spd,pure_human,-0.052246755087899444
3900,spatial_spd,pure_climate,-0.15748625274473105
3900,spatial_spd,pure_time,0.18761384883917442
3900,spatial_spd,shared,0.33580585316185185
3900,spatial_spd,total_explained,0.3136866941683958
3900,spatial_spd,unexplained,0.6863133058316042
2053,spatial_spd,pure_human,-0.03720227298328227
2053,spatial_spd,pure_climate,0.18145139975384617
2053,spatial_spd,pure_time,0.06198791706587581
2053,spatial_spd,shared,0.192017848652128
2053,spatial_spd,total_explained,0.3982548924885677
2053,spatial_spd,unexplained,0.6017451075114323
1149,spatial_spd,pure_human,0.04555196071421763
1149,spatial_spd,pure_climate,0.17356869034892164
1149,spatial_spd,pure_time,0.04617886203429533
1149,spatial_spd,shared,0.3108994334283993
1149,spatial_spd,total_explained,0.5761989465258339
1149,spatial_spd,unexplained,0.4238010534741661
46998,spatial_spd,pure_human,-0.04353116389653744
46998,spatial_spd,pure_climate,0.026827029618023412
46998,spatial_spd,pure_time,-0.04951523631865806
46998,spatial_spd,shared,0.09473692898415553
46998,spatial_spd,total_explained,0.028517558386983444
46998,spatial_spd,unexplained,0.9714824416130166
46490,spatial_spd,pure_human,0.030041540158629476
46490,spatial_spd,pure_climate,0.25689920548769996
46490,spatial_spd,pure_time,-0.0583051786685258
46490,spatial_spd,shared,0.12971725000499157
46490,spatial_spd,total_explained,0.3583528169827952
46490,spatial_spd,unexplained,0.6416471830172048
210,spatial_spd,pure_human,0.04562952032756773
210,spatial_spd,pure_climate,0.09008366983993943
210,spatial_spd,pure_time,0.04968255705523972
210,spatial_spd,shared,0.40792393597234466
210,spatial_spd,total_explained,0.5933196831950915
210,spatial_spd,unexplained,0.40668031680490846
4136,spatial_spd,pure_human,0.09591552977534656
4136,spatial_spd,pure_climate,0.12179990803993446
4136,spatial_spd,pure_time,0.26144237428136574
4136,spatial_spd,shared,0.023327071993478277
4136,spatial_spd,total_explained,0.502484884090125
4136,spatial_spd,unexplained,0.49751511590987496
45192,spatial_spd,pure_human,0.03656730332137448
45192,spatial_spd,pure_climate,0.19531728341869448
45192,spatial_spd,pure_time,0.16434559711299368
45192,spatial_spd,shared,0.358948808918532
45192,spatial_spd,total_explained,0.7551789927715946
45192,spatial_spd,unexplained,0.24482100722840539
15232,spatial_spd,pure_human,0.07439873499010474
15232,spatial_spd,pure_climate,0.10627237840530712
15232,spatial_spd,pure_time,0.29418519715186275
15232,spatial_spd,shared,-0.04814835495570047
15232,spatial_spd,total_explained,0.42670795559157415
15232,spatial_spd,unexplained,0.5732920444084258
41467,spatial_spd,pure_human,0.02373359993241375
41467,spatial_spd,pure_climate,0.11018928615914203
41467,spatial_spd,pure_time,0.1389781132131005
41467,spatial_spd,shared,0.3476652479960902
41467,spatial_spd,total_explained,0.6205662473007465
41467,spatial_spd,unexplained,0.3794337526992535
3938,spatial_spd,pure_human,-0.01774134139433836
3938,spatial_spd,pure_climate,-0.02725392193401799
3938,spatial_spd,pure_time,0.4243788093598775
3938,spatial_spd,shared,0.22943015203839856
3938,spatial_spd,total_explained,0.6088136980699197
3938,spatial_spd,unexplained,0.3911863019300803
2619,spatial_spd,pure_human,0.19262125753890202
2619,spatial_spd,pure_climate,0.08476147227946174
2619,spatial_spd,pure_time,0.24061418718171168
2619,spatial_spd,shared,-0.0798206135953814
2619,spatial_spd,total_explained,0.43817630340469405
2619,spatial_spd,unexplained,0.561823696595306
22988,spatial_spd,pure_human,0.07120496163931911
22988,spatial_spd,pure_climate,0.13744518095540925
22988,spatial_spd,pure_time,0.2228874632327048
22988,spatial_spd,shared,0.14063559623554323
22988,spatial_spd,total_explained,0.5721732020629764
22988,spatial_spd,unexplained,0.4278267979370236
46803,spatial_spd,pure_human,-0.027641691947668523
46803,spatial_spd,pure_climate,0.049770164387837434
46803,spatial_spd,pure_time,0.09872800147696048
46803,spatial_spd,shared,0.5079901642983067
46803,spatial_spd,total_explained,0.6288466382154361
46803,spatial_spd,unexplained,0.37115336178456393
24195,spatial_spd,pure_human,0.013290670903060575
24195,spatial_spd,pure_climate,0.03548326839717475
24195,spatial_spd,pure_time,0.10788876242556544
24195,spatial_spd,shared,0.27326217273117026
24195,spatial_spd,total_explained,0.42992487445697103
24195,spatial_spd,unexplained,0.570075125543029
306,spatial_spd,pure_human,0.030284923398167463
306,spatial_spd,pure_climate,0.1333072638935876
306,spatial_spd,pure_time,0.07830746111437037
306,spatial_spd,shared,0.47452000137989814
306,spatial_spd,total_explained,0.7164196497860236
306,spatial_spd,unexplained,0.28358035021397643
847,spatial_spd,pure_human,0.04946112742848108
847,spatial_spd,pure_climate,-0.04693991907680728
847,spatial_spd,pure_time,0.014841576878457996
847,spatial_spd,shared,0.05882338405526688
847,spatial_spd,total_explained,0.07618616928539867
847,spatial_spd,unexplained,0.9238138307146013
45322,spatial_spd,pure_human,0.05808941673503143
45322,spatial_spd,pure_climate,0.17306741007057924
45322,spatial_spd,pure_time,0.24559107044283335
45322,spatial_spd,shared,-0.009696847534132802
45322,spatial_spd,total_explained,0.4670510497143112
45322,spatial_spd,unexplained,0.5329489502856888
18108,spatial_spd,pure_human,-0.019067347715738814
18108,spatial_spd,pure_climate,0.11334906690132218
18108,spatial_spd,pure_time,0.12383721354006094
18108,spatial_spd,shared,0.11085821681163044
18108,spatial_spd,total_explained,0.32897714953727475
18108,spatial_spd,unexplained,0.6710228504627253
42745,spatial_spd,pure_human,-0.04641769761616221
42745,spatial_spd,pure_climate,0.03920609570580946
42745,spatial_spd,pure_time,-0.03290987613705998
42745,spatial_spd,shared,0.12092071242548763
42745,spatial_spd,total_explained,0.0807992343780749
42745,spatial_spd,unexplained,0.9192007656219251
17689,spatial_spd,pure_human,-0.00989082141580544
17689,spatial_spd,pure_climate,0.027019169781795194
17689,spatial_spd,pure_time,-0.045074490975042014
17689,spatial_spd,shared,0.4053848563821699
17689,spatial_spd,total_explained,0.37743871377311766
17689,spatial_spd,unexplained,0.6225612862268823
340,spatial_spd,pure_human,-0.025339013337075222
340,spatial_spd,pure_climate,0.02351739589697499
340,spatial_spd,pure_time,0.003852955089013843
340,spatial_spd,shared,0.39131028884213503
340,spatial_spd,total_explained,0.39334162649104865
340,spatial_spd,unexplained,0.6066583735089514
40634,spatial_spd,pure_human,-0.059933695040302104
40634,spatial_spd,pure_climate,0.09036422550963097
40634,spatial_spd,pure_time,0.15408375725750378
40634,spatial_spd,shared,0.1794091520197203
40634,spatial_spd,total_explained,0.36392343974655295
40634,spatial_spd,unexplained,0.636076560253447
15970,spatial_spd,pure_human,0.00453735295128177
15970,spatial_spd,pure_climate,0.12326329903312483
15970,spatial_spd,pure_time,0.03808193681480787
15970,spatial_spd,shared,0.34238771286358405
15970,spatial_spd,total_explained,0.5082703016627985
15970,spatial_spd,unexplained,0.4917296983372015
17391,spatial_spd,pure_human,-0.0631036935644097
17391,spatial_spd,pure_climate,0.09761725246252195
17391,spatial_spd,pure_time,0.14689588397631514
17391,spatial_spd,shared,0.16762997464842055
17391,spatial_spd,total_explained,0.34903941752284795
17391,spatial_spd,unexplained,0.650960582477152
4539,spatial_spd,pure_human,0.03083372553160535
4539,spatial_spd,pure_climate,0.2650293930925842
4539,spatial_spd,pure_time,0.24435019529887814
4539,spatial_spd,shared,-0.05000969991189297
4539,spatial_spd,total_explained,0.49020361401117474
4539,spatial_spd,unexplained,0.5097963859888253
25285,spatial_spd,pure_human,-0.046537009200470325
25285,spatial_spd,pure_climate,0.08472498115138416
25285,spatial_spd,pure_time,0.017645723067779007
25285,spatial_spd,shared,0.3841733192987612
25285,spatial_spd,total_explained,0.44000701431745404
25285,spatial_spd,unexplained,0.559992985682546
20293,spatial_spd,pure_human,0.027031611677976075
20293,spatial_spd,pure_climate,0.25333639291434307
20293,spatial_spd,pure_time,0.011784436348384997
20293,spatial_spd,shared,0.20656089573708258
20293,spatial_spd,total_explained,0.4987133366777867
20293,spatial_spd,unexplained,0.5012866633222133
4251,spatial_spd,pure_human,-0.036915483262144
4251,spatial_spd,pure_climate,-0.033464125424671476
4251,spatial_spd,pure_time,0.05584235758091993
4251,spatial_spd,shared,0.6268492165374521
4251,spatial_spd,total_explained,0.6123119654315565
4251,spatial_spd,unexplained,0.3876880345684435
2580,spatial_spd,pure_human,0.09088495201851676
2580,spatial_spd,pure_climate,0.14585028359457408
2580,spatial_spd,pure_time,0.4770939544595387
2580,spatial_spd,shared,-0.2542426207276073
2580,spatial_spd,total_explained,0.4595865693450223
2580,spatial_spd,unexplained,0.5404134306549777
22773,spatial_spd,pure_human,0.23869063181917383
22773,spatial_spd,pure_climate,0.08330239726659106
22773,spatial_spd,pure_time,0.28207211925523945
22773,spatial_spd,shared,0.033502327900953977
22773,spatial_spd,total_explained,0.6375674762419583
22773,spatial_spd,unexplained,0.3624325237580417
784,spatial_spd,pure_human,-0.011388068597033008
784,spatial_spd,pure_climate,0.00510322162690191
784,spatial_spd,pure_time,-0.0070478476853699235
784,spatial_spd,shared,0.35452947579293115
784,spatial_spd,total_explained,0.3411967811374301
784,spatial_spd,unexplained,0.6588032188625699
4472,spatial_spd,pure_human,-0.030169049134188053
4472,spatial_spd,pure_climate,0.40288048174622737
4472,spatial_spd,pure_time,0.14610561735935634
4472,spatial_spd,shared,-0.04166439734099592
4472,spatial_spd,total_explained,0.47715265263039974
4472,spatial_spd,unexplained,0.5228473473696003
45383,spatial_spd,pure_human,-0.017173899968796036
45383,spatial_spd,pure_climate,0.4150032018480112
45383,spatial_spd,pure_time,0.02847477323994352
45383,spatial_spd,shared,0.32988411672771
45383,spatial_spd,total_explained,0.7561881918468687
45383,spatial_spd,unexplained,0.2438118081531313
40564,spatial_spd,pure_human,0.005898189833136613
40564,spatial_spd,pure_climate,0.19332237973651467
40564,spatial_spd,pure_time,0.21496529603939452
40564,spatial_spd,shared,0.2048992305200048
40564,spatial_spd,total_explained,0.6190850961290506
40564,spatial_spd,unexplained,0.3809149038709494
13051,spatial_spd,pure_human,-0.08014042046275649
13051,spatial_spd,pure_climate,0.06118174341645355
13051,spatial_spd,pure_time,-0.002332676096503783
13051,spatial_spd,shared,0.30052173329388665
13051,spatial_spd,total_explained,0.2792303801510799
13051,spatial_spd,unexplained,0.7207696198489201
1635,spatial_spd,pure_human,0.008094378312496708
1635,spatial_spd,pure_climate,-0.06258868948330842
1635,spatial_spd,pure_time,0.04663916912697652
1635,spatial_spd,shared,0.08970498813439376
1635,spatial_spd,total_explained,0.08184984609055856
1635,spatial_spd,unexplained,0.9181501539094414
4197,spatial_spd,pure_human,-0.08270048531682705
4197,spatial_spd,pure_climate,-0.22445789514322478
4197,spatial_spd,pure_time,-0.05292350183920669
4197,spatial_spd,shared,0.345917646554294
4197,spatial_spd,total_explained,-0.014164235744964504
4197,spatial_spd,unexplained,1.0141642357449645
15783,spatial_spd,pure_human,0.06252997246802583
15783,spatial_spd,pure_climate,0.17617315651423515
15783,spatial_spd,pure_time,0.1327669475908826
15783,spatial_spd,shared,0.02476241952909075
15783,spatial_spd,total_explained,0.3962324961022343
15783,spatial_spd,unexplained,0.6037675038977657
4373,spatial_spd,pure_human,-0.08542394508690276
4373,spatial_spd,pure_climate,-0.08038741866281773
4373,spatial_spd,pure_time,0.02697650371377036
4373,spatial_spd,shared,0.29581949443971234
4373,spatial_spd,total_explained,0.1569846344037622
4373,spatial_spd,unexplained,0.8430153655962378
45722,spatial_spd,pure_human,0.0653231462135655
45722,spatial_spd,pure_climate,0.31847072403841203
45722,spatial_spd,pure_time,0.013991329973956135
45722,spatial_spd,shared,0.32754638102492817
45722,spatial_spd,total_explained,0.7253315812508618
45722,spatial_spd,unexplained,0.27466841874913817
2270,spatial_spd,pure_human,-0.052340449428206814
2270,spatial_spd,pure_climate,0.10536791013327362
2270,spatial_spd,pure_time,-0.04993826504407528
2270,spatial_spd,shared,0.40095879886434127
2270,spatial_spd,total_explained,0.4040479945253328
2270,spatial_spd,unexplained,0.5959520054746672
15201,spatial_spd,pure_human,0.07304952002386578
15201,spatial_spd,pure_climate,0.10100741094684496
15201,spatial_spd,pure_time,-0.06804937162966829
15201,spatial_spd,shared,0.10095015204611357
15201,spatial_spd,total_explained,0.20695771138715602
15201,spatial_spd,unexplained,0.793042288612844
260,spatial_spd,pure_human,-0.03843925590223807
260,spatial_spd,pure_climate,0.007412671163104401
260,spatial_spd,pure_time,-0.034983160057013185
260,spatial_spd,shared,0.4274378177626995
260,spatial_spd,total_explained,0.36142807296655266
260,spatial_spd,unexplained,0.6385719270334473
21539,spatial_spd,pure_human,-0.041286071219619025
21539,spatial_spd,pure_climate,0.20518886436186856
21539,spatial_spd,pure_time,0.08583449406620214
21539,spatial_spd,shared,0.36815187459530796
21539,spatial_spd,total_explained,0.6178891618037596
21539,spatial_spd,unexplained,0.38211083819624037
15829,spatial_spd,pure_human,0.006884959835680937
15829,spatial_spd,pure_climate,0.30493857637006105
15829,spatial_spd,pure_time,0.10469562312969283
15829,spatial_spd,shared,0.21786656348857747
15829,spatial_spd,total_explained,0.6343857228240123
15829,spatial_spd,unexplained,0.3656142771759877
14799,spatial_spd,pure_human,0.30282529390513446
14799,spatial_spd,pure_climate,0.3189153533249539
14799,spatial_spd,pure_time,0.2123190266834275
14799,spatial_spd,shared,-0.5126657479983643
14799,spatial_spd,total_explained,0.3213939259151516
14799,spatial_spd,unexplained,0.6786060740848484
4056,spatial_spd,pure_human,0.5050953425764477
4056,spatial_spd,pure_climate,0.2401096292585707
4056,spatial_spd,pure_time,0.002255060749550064
4056,spatial_spd,shared,-0.060407095410164646
4056,spatial_spd,total_explained,0.6870529371744039
4056,spatial_spd,unexplained,0.31294706282559615
2617,spatial_spd,pure_human,0.009408882502146443
2617,spatial_spd,pure_climate,-0.08078935973730172
2617,spatial_spd,pure_time,-0.07091090521516441
2617,spatial_spd,shared,0.47640513919537897
2617,spatial_spd,total_explained,0.3341137567450593
2617,spatial_spd,unexplained,0.6658862432549407
42671,spatial_spd,pure_human,-0.02502718645108315
42671,spatial_spd,pure_climate,0.018002598915760615
42671,spatial_spd,pure_time,0.05256374208153969
42671,spatial_spd,shared,0.4927216483199397
42671,spatial_spd,total_explained,0.5382608028661569
42671,spatial_spd,unexplained,0.46173919713384315
4058,spatial_spd,pure_human,-0.03636077357514089
4058,spatial_spd,pure_climate,0.011550120979195055
