sensitivity_type,omitted_group,distance_km,repetition,aggregation_level,profile,importance_balance,n_records,n_strata,weight_sum,region,climatezone,ranking,unthinned_balance,absolute_deviation
thinning,NA,250,1,region_climatezone,zero_truncated,-0.8915592708696157,4,1,0.8613,Asia,Temperate_Without_dry_season,climate,-0.6169011675148613,0.2746581033547544
thinning,NA,250,1,region_climatezone,zero_truncated,-0.8512731481481481,4,1,0.6912,Europe,Arid,climate,-0.9195247860830209,0.06825163793487277
thinning,NA,250,1,region_climatezone,zero_truncated,-1,1,1,0.2842,Europe,Cold_Dry_Summer,climate,-1,0
thinning,NA,250,1,region_climatezone,zero_truncated,-0.6779671222978262,21,1,4.9821,Europe,Cold_Without_dry_season_Cold_Summer,climate,-0.5773569313408167,0.10061019095700952
thinning,NA,250,1,region_climatezone,zero_truncated,-0.3901299315838246,21,1,5.0719,Europe,Cold_Without_dry_season_Warm_Summer,climate,-0.558407071598112,0.1682771400142874
thinning,NA,250,1,region_climatezone,zero_truncated,-0.628158302896883,8,1,1.9987,Europe,Polar,climate,-0.5515808153925186,0.07657748750436444
thinning,NA,250,1,region_climatezone,zero_truncated,-0.6588949217502397,6,1,1.5655,Europe,Temperate_Dry_Summer,climate,-0.5984064769003405,0.060488444849899126
thinning,NA,250,1,region_climatezone,zero_truncated,-0.4778945890447022,19,1,5.6977,Europe,Temperate_Without_dry_season,climate,-0.3707139376017049,0.10718065144299732
thinning,NA,250,1,region_climatezone,zero_truncated,-0.4283655825442569,4,1,0.9716,Latin America,Arid,climate,-0.33869616222557397,0.08966942031868291
thinning,NA,250,1,region_climatezone,zero_truncated,-0.6697892271662763,2,1,0.3416,Latin America,Cold_Dry_Summer,climate,-0.6697892271662763,0
thinning,NA,250,1,region_climatezone,zero_truncated,-0.642272674887634,8,1,1.7354,Latin America,Polar,climate,-0.6065492433639297,0.035723431523704274
thinning,NA,250,1,region_climatezone,zero_truncated,-0.8244432936302435,3,1,0.7724,Latin America,Temperate_Dry_Summer,climate,-0.8191655394860056,0.005277754144237923
thinning,NA,250,1,region_climatezone,zero_truncated,-0.3694807488519958,2,1,0.5662,Latin America,Temperate_Dry_Winter,climate,-0.3694807488519958,0
thinning,NA,250,1,region_climatezone,zero_truncated,-0.711643586005831,8,1,2.1952,Latin America,Temperate_Without_dry_season,climate,-0.6112840246731934,0.10035956133263757
thinning,NA,250,1,region_climatezone,zero_truncated,-0.22331543255850417,9,1,2.5511,Latin America,Tropical,climate,-0.3323388759706927,0.10902344341218856
thinning,NA,250,1,region_climatezone,zero_truncated,-0.08849520104858145,13,1,2.3651,North America,Arid,climate,-0.2069857262804366,0.11849052523185515
thinning,NA,250,1,region_climatezone,zero_truncated,-0.23018427704206182,20,1,4.6289,North America,Cold_Dry_Summer,climate,-0.33555022950181745,0.10536595245975564
thinning,NA,250,1,region_climatezone,zero_truncated,-0.5709196555182791,46,1,11.565199999999999,North America,Cold_Without_dry_season_Cold_Summer,climate,-0.5480167937244503,0.02290286179382872
thinning,NA,250,1,region_climatezone,zero_truncated,-0.4224892255452527,10,1,3.0628,North America,Cold_Without_dry_season_Hot_Summer,climate,-0.41807790961045194,0.0044113159348007636
thinning,NA,250,1,region_climatezone,zero_truncated,-0.27446739701661477,35,1,9.8948,North America,Cold_Without_dry_season_Warm_Summer,climate,-0.375860025439408,0.10139262842279323
thinning,NA,250,1,region_climatezone,zero_truncated,-0.7741780971042892,21,1,4.593,North America,Polar,climate,-0.7392123018986348,0.03496579520565435
thinning,NA,250,1,region_climatezone,zero_truncated,0.0554340447997587,5,1,1.3259,North America,Temperate_Dry_Summer,human,-0.0406641407437797,0.0960981855435384
thinning,NA,250,1,region_climatezone,zero_truncated,-0.46601581809194265,14,1,3.2368,North America,Temperate_Without_dry_season,climate,-0.2849129215315374,0.18110289656040524
thinning,NA,250,1,region_climatezone,zero_truncated,-0.41405932547744817,1,1,0.24609999999999999,Oceania,Arid,climate,-0.41405932547744817,0
thinning,NA,250,1,region_climatezone,zero_truncated,-0.7595307917888563,1,1,0.0341,Oceania,Cold_Without_dry_season_Cold_Summer,climate,-0.7595307917888563,0
thinning,NA,250,1,region_climatezone,zero_truncated,0.3951527924130663,1,1,0.1898,Oceania,Cold_Without_dry_season_Warm_Summer,human,-0.07461459403905447,0.46976738645212074
thinning,NA,250,1,region_climatezone,zero_truncated,-0.7936726272352133,1,1,0.14539999999999997,Oceania,Temperate_Dry_Summer,climate,-0.7936726272352133,0
thinning,NA,250,1,region_climatezone,zero_truncated,-0.02277904328018225,1,1,0.1756,Oceania,Temperate_Dry_Winter,climate,-0.02277904328018225,0
thinning,NA,250,1,region_climatezone,zero_truncated,-0.1665970772442589,5,1,1.6765,Oceania,Temperate_Without_dry_season,climate,-0.4390901106099177,0.2724930333656588
thinning,NA,250,1,region_climatezone,zero_truncated,-0.5019181585677749,4,1,0.9384,Oceania,Tropical,climate,-0.5019181585677749,0
thinning,NA,250,2,overall,signed,-0.30297659665883186,361,39,158.268,All,All,climate,-0.2831586544625833,0.01981794219624855
thinning,NA,250,2,region,signed,-0.3774164644390517,67,10,26.785,Asia,All,climate,-0.36401346480067853,0.013402999638373159
thinning,NA,250,2,region,signed,-0.3344918892516517,83,7,38.899,Europe,All,climate,-0.2917575194770737,0.04273436977457801
thinning,NA,250,2,region,signed,-0.33054882217664244,38,7,16.089,Latin America,All,climate,-0.33702578705900965,0.006476964882367209
