region,age,value,distance_km,n_records,n_connected,n_edges,moran_i,expected_i,p_greater,positive_autocorrelation,permutations,status
North America,4000,residual_axis_1,250,551,532,3610,0.33376678593883047,-0.0018181818181818182,0.001,TRUE,999,estimated
North America,4000,residual_axis_2,250,551,532,3610,0.0830613666293103,-0.0018181818181818182,0.001,TRUE,999,estimated
North America,4000,residual_axis_3,250,551,532,3610,0.06993700981077088,-0.0018181818181818182,0.001,TRUE,999,estimated
North America,4000,residual_axis_1,500,551,549,10544,0.12991844382532672,-0.0018181818181818182,0.001,TRUE,999,estimated
North America,4000,residual_axis_2,500,551,549,10544,0.03174737747591377,-0.0018181818181818182,0.005,TRUE,999,estimated
North America,4000,residual_axis_3,500,551,549,10544,0.005351358292922793,-0.0018181818181818182,0.192,FALSE,999,estimated
North America,4500,residual_axis_1,250,559,540,3766,0.31238971351107747,-0.0017921146953405018,0.001,TRUE,999,estimated
North America,4500,residual_axis_2,250,559,540,3766,0.08327589046488598,-0.0017921146953405018,0.001,TRUE,999,estimated
North America,4500,residual_axis_3,250,559,540,3766,0.08223909233584634,-0.0017921146953405018,0.002,TRUE,999,estimated
North America,4500,residual_axis_1,500,559,557,10847,0.11672665699747141,-0.0017921146953405018,0.001,TRUE,999,estimated
North America,4500,residual_axis_2,500,559,557,10847,0.03634721778381529,-0.0017921146953405018,0.002,TRUE,999,estimated
North America,4500,residual_axis_3,500,559,557,10847,0.006220424526338372,-0.0017921146953405018,0.154,FALSE,999,estimated
North America,5000,residual_axis_1,250,545,525,3678,0.3116228605430279,-0.001838235294117647,0.001,TRUE,999,estimated
North America,5000,residual_axis_2,250,545,525,3678,0.1057059531797123,-0.001838235294117647,0.001,TRUE,999,estimated
North America,5000,residual_axis_3,250,545,525,3678,0.03618952504952655,-0.001838235294117647,0.019,TRUE,999,estimated
North America,5000,residual_axis_1,500,545,543,10567,0.09218017341902618,-0.001838235294117647,0.001,TRUE,999,estimated
North America,5000,residual_axis_2,500,545,543,10567,0.04939611429243494,-0.001838235294117647,0.001,TRUE,999,estimated
North America,5000,residual_axis_3,500,545,543,10567,-0.010448654121833365,-0.001838235294117647,0.847,FALSE,999,estimated
North America,5500,residual_axis_1,250,547,527,3586,0.2508678110462906,-0.0018315018315018315,0.001,TRUE,999,estimated
North America,5500,residual_axis_2,250,547,527,3586,0.07018433068774543,-0.0018315018315018315,0.001,TRUE,999,estimated
North America,5500,residual_axis_3,250,547,527,3586,0.03160816119069987,-0.0018315018315018315,0.031,TRUE,999,estimated
North America,5500,residual_axis_1,500,547,545,10413,0.0610145427978236,-0.0018315018315018315,0.001,TRUE,999,estimated
North America,5500,residual_axis_2,500,547,545,10413,0.027998254079519225,-0.0018315018315018315,0.005,TRUE,999,estimated
North America,5500,residual_axis_3,500,547,545,10413,-0.01733000291981555,-0.0018315018315018315,0.978,FALSE,999,estimated
North America,6000,residual_axis_1,250,538,518,3478,0.302918211728721,-0.00186219739292365,0.001,TRUE,999,estimated
North America,6000,residual_axis_2,250,538,518,3478,0.11407863971900281,-0.00186219739292365,0.001,TRUE,999,estimated
North America,6000,residual_axis_3,250,538,518,3478,0.07320210440609201,-0.00186219739292365,0.001,TRUE,999,estimated
North America,6000,residual_axis_1,500,538,536,9999,0.06706515130771443,-0.00186219739292365,0.001,TRUE,999,estimated
North America,6000,residual_axis_2,500,538,536,9999,0.021935510385367795,-0.00186219739292365,0.025,TRUE,999,estimated
North America,6000,residual_axis_3,500,538,536,9999,-0.0026034214202225433,-0.00186219739292365,0.534,FALSE,999,estimated
North America,6500,residual_axis_1,250,552,532,3546,0.28477151172495235,-0.0018148820326678765,0.001,TRUE,999,estimated
North America,6500,residual_axis_2,250,552,532,3546,0.16925254134065448,-0.0018148820326678765,0.001,TRUE,999,estimated
North America,6500,residual_axis_3,250,552,532,3546,0.07926783396558898,-0.0018148820326678765,0.001,TRUE,999,estimated
North America,6500,residual_axis_1,500,552,551,10432,0.07102024759818515,-0.0018148820326678765,0.001,TRUE,999,estimated
North America,6500,residual_axis_2,500,552,551,10432,0.03991965167372029,-0.0018148820326678765,0.001,TRUE,999,estimated
North America,6500,residual_axis_3,500,552,551,10432,0.01216136899743593,-0.0018148820326678765,0.072,FALSE,999,estimated
North America,7000,residual_axis_1,250,549,530,3590,0.2514190048336389,-0.0018248175182481751,0.001,TRUE,999,estimated
North America,7000,residual_axis_2,250,549,530,3590,0.08079027101388168,-0.0018248175182481751,0.001,TRUE,999,estimated
North America,7000,residual_axis_3,250,549,530,3590,0.0745035228511338,-0.0018248175182481751,0.001,TRUE,999,estimated
North America,7000,residual_axis_1,500,549,547,10257,0.05190772516174351,-0.0018248175182481751,0.001,TRUE,999,estimated
North America,7000,residual_axis_2,500,549,547,10257,0.023119947895127533,-0.0018248175182481751,0.019,TRUE,999,estimated
North America,7000,residual_axis_3,500,549,547,10257,0.01746622976191184,-0.0018248175182481751,0.031,TRUE,999,estimated
North America,7500,residual_axis_1,250,559,539,3719,0.30138525300119434,-0.0017921146953405018,0.001,TRUE,999,estimated
North America,7500,residual_axis_2,250,559,539,3719,0.12132419684825678,-0.0017921146953405018,0.001,TRUE,999,estimated
North America,7500,residual_axis_3,250,559,539,3719,0.03571127652967832,-0.0017921146953405018,0.018,TRUE,999,estimated
North America,7500,residual_axis_1,500,559,557,10796,0.09137661674423589,-0.0017921146953405018,0.001,TRUE,999,estimated
North America,7500,residual_axis_2,500,559,557,10796,0.03721987258817404,-0.0017921146953405018,0.001,TRUE,999,estimated
North America,7500,residual_axis_3,500,559,557,10796,0.007409979745394293,-0.0017921146953405018,0.133,FALSE,999,estimated
North America,8000,residual_axis_1,250,543,524,3575,0.3354097237017852,-0.0018450184501845018,0.001,TRUE,999,estimated
North America,8000,residual_axis_2,250,543,524,3575,0.02079139364919951,-0.0018450184501845018,0.091,FALSE,999,estimated
