dataset_id,model_id,total_adjusted_r_squared,human,climate,signed_weight,signed_balance,zero_human,zero_climate,zero_weight,zero_balance,signed_ranking,zero_ranking,long,lat,region,climatezone
534,analysis=spatial_spd_sensitivity|dataset_id=534|region=North America|climatezone=Cold_Without_dry_season_Warm_Summer,0.654,0.349,0.3047,0.654,0.0677370030581039,0.349,0.3047,0.6537,0.06776808933761658,human,human,-111.18333,44.125,North America,Cold_Without_dry_season_Warm_Summer
4362,analysis=spatial_spd_sensitivity|dataset_id=4362|region=Europe|climatezone=Cold_Without_dry_season_Warm_Summer,0.574,-0.0299,0.6041,0.574,-1.1045296167247387,0,0.6041,0.6041,-1,climate,climate,27.25948,57.68477,Europe,Cold_Without_dry_season_Warm_Summer
41770,analysis=spatial_spd_sensitivity|dataset_id=41770|region=Europe|climatezone=Temperate_Without_dry_season,0.484,0.1596,0.3247,0.484,-0.34111570247933887,0.1596,0.3247,0.48429999999999995,-0.34090439810035106,climate,climate,8.92794,45.99663,Europe,Temperate_Without_dry_season
45101,analysis=spatial_spd_sensitivity|dataset_id=45101|region=Europe|climatezone=Arid,0.382,0.02,0.3619,0.382,-0.8950261780104711,0.02,0.3619,0.3819,-0.8952605394082219,climate,climate,21.91667,40.81667,Europe,Arid
4288,analysis=spatial_spd_sensitivity|dataset_id=4288|region=Europe|climatezone=Cold_Without_dry_season_Cold_Summer,0.51,-0.0235,0.5338,0.51,-1.0927450980392157,0,0.5338,0.5338,-1,climate,climate,33.5,61.80556,Europe,Cold_Without_dry_season_Cold_Summer
22814,analysis=spatial_spd_sensitivity|dataset_id=22814|region=Europe|climatezone=Cold_Without_dry_season_Warm_Summer,0.177,0.0385,0.1388,0.177,-0.5666666666666667,0.0385,0.1388,0.1773,-0.5657078398195149,climate,climate,25.89735,46.12662,Europe,Cold_Without_dry_season_Warm_Summer
2951,analysis=spatial_spd_sensitivity|dataset_id=2951|region=North America|climatezone=Cold_Without_dry_season_Cold_Summer,0.164,0.0387,0.125,0.164,-0.526219512195122,0.0387,0.125,0.1637,-0.5271838729383017,climate,climate,-57.3,51.51667,North America,Cold_Without_dry_season_Cold_Summer
4403,analysis=spatial_spd_sensitivity|dataset_id=4403|region=Europe|climatezone=Cold_Without_dry_season_Warm_Summer,0.451,0.0882,0.363,0.451,-0.6093126385809312,0.0882,0.363,0.4512,-0.6090425531914894,climate,climate,12.41426,57.16313,Europe,Cold_Without_dry_season_Warm_Summer
1006,analysis=spatial_spd_sensitivity|dataset_id=1006|region=North America|climatezone=Cold_Without_dry_season_Cold_Summer,0.526,-0.0415,0.5677,0.526,-1.1581749049429657,0,0.5677,0.5677,-1,climate,climate,-146.9075,64.44444,North America,Cold_Without_dry_season_Cold_Summer
871,analysis=spatial_spd_sensitivity|dataset_id=871|region=North America|climatezone=Cold_Without_dry_season_Warm_Summer,0.469,0.0828,0.3865,0.469,-0.6475479744136462,0.0828,0.3865,0.4693,-0.6471340294054976,climate,climate,-74.37083,45.94583,North America,Cold_Without_dry_season_Warm_Summer
17371,analysis=spatial_spd_sensitivity|dataset_id=17371|region=Latin America|climatezone=Polar,0.568,-0.035,0.6029,0.568,-1.1230633802816903,0,0.6029,0.6029,-1,climate,climate,-67.83333,-54.71667,Latin America,Polar
1448,analysis=spatial_spd_sensitivity|dataset_id=1448|region=North America|climatezone=Cold_Without_dry_season_Warm_Summer,0.249,0.031,0.2179,0.249,-0.7506024096385543,0.031,0.2179,0.2489,-0.7509039775010045,climate,climate,-87.84806,44.23806,North America,Cold_Without_dry_season_Warm_Summer
24155,analysis=spatial_spd_sensitivity|dataset_id=24155|region=Europe|climatezone=Cold_Without_dry_season_Cold_Summer,0.447,-0.0068,0.4541,0.447,-1.0310961968680088,0,0.4541,0.4541,-1,climate,climate,22.05346,68.68811,Europe,Cold_Without_dry_season_Cold_Summer
40454,analysis=spatial_spd_sensitivity|dataset_id=40454|region=Europe|climatezone=Temperate_Without_dry_season,0.268,0.002,0.2662,0.268,-0.9858208955223879,0.002,0.2662,0.2682,-0.9850857568978374,climate,climate,7.12361,46.935,Europe,Temperate_Without_dry_season
22817,analysis=spatial_spd_sensitivity|dataset_id=22817|region=Europe|climatezone=Cold_Without_dry_season_Warm_Summer,0.178,-0.012,0.1903,0.178,-1.1365168539325843,0,0.1903,0.1903,-1,climate,climate,13.25694,52.58583,Europe,Cold_Without_dry_season_Warm_Summer
25232,analysis=spatial_spd_sensitivity|dataset_id=25232|region=Europe|climatezone=Temperate_Without_dry_season,0.313,0.0897,0.2234,0.313,-0.4271565495207667,0.0897,0.2234,0.3131,-0.42702012136697537,climate,climate,2.5175,45.07611,Europe,Temperate_Without_dry_season
43525,analysis=spatial_spd_sensitivity|dataset_id=43525|region=Europe|climatezone=Temperate_Without_dry_season,0.348,0.2514,0.0963,0.348,0.4456896551724139,0.2514,0.0963,0.3477,0.44607420189818814,human,human,-7.27146,57.35101,Europe,Temperate_Without_dry_season
20046,analysis=spatial_spd_sensitivity|dataset_id=20046|region=Europe|climatezone=Polar,0.355,0.0955,0.2593,0.355,-0.4614084507042253,0.0955,0.2593,0.3548,-0.4616685456595264,climate,climate,8.66667,61.41667,Europe,Polar
4209,analysis=spatial_spd_sensitivity|dataset_id=4209|region=Europe|climatezone=Temperate_Without_dry_season,0.293,0.2247,0.0679,0.293,0.5351535836177475,0.2247,0.0679,0.2926,0.5358851674641147,human,human,-4.74263,56.00316,Europe,Temperate_Without_dry_season
1622,analysis=spatial_spd_sensitivity|dataset_id=1622|region=North America|climatezone=Cold_Without_dry_season_Warm_Summer,0.069,-0.0054,0.0749,0.069,-1.1637681159420288,0,0.0749,0.0749,-1,climate,climate,-55.47306,49.47139,North America,Cold_Without_dry_season_Warm_Summer
4467,analysis=spatial_spd_sensitivity|dataset_id=4467|region=Europe|climatezone=Cold_Without_dry_season_Cold_Summer,0.225,-0.0596,0.2841,0.225,-1.5275555555555556,0,0.2841,0.2841,-1,climate,climate,23.56001,42.06517,Europe,Cold_Without_dry_season_Cold_Summer
15793,analysis=spatial_spd_sensitivity|dataset_id=15793|region=North America|climatezone=Cold_Without_dry_season_Warm_Summer,0.47,0.0402,0.4296,0.47,-0.8285106382978723,0.0402,0.4296,0.4698,-0.8288633461047253,climate,climate,-67.4015,46.89286,North America,Cold_Without_dry_season_Warm_Summer
3928,analysis=spatial_spd_sensitivity|dataset_id=3928|region=Europe|climatezone=Cold_Without_dry_season_Cold_Summer,0.248,-0.0392,0.2876,0.248,-1.317741935483871,0,0.2876,0.2876,-1,climate,climate,32.76667,62.03333,Europe,Cold_Without_dry_season_Cold_Summer
4531,analysis=spatial_spd_sensitivity|dataset_id=4531|region=Europe|climatezone=Cold_Without_dry_season_Warm_Summer,0.412,0.0243,0.388,0.412,-0.8827669902912623,0.0243,0.388,0.4123,-0.8821246665049721,climate,climate,22.38333,58.46667,Europe,Cold_Without_dry_season_Warm_Summer
2314,analysis=spatial_spd_sensitivity|dataset_id=2314|region=North America|climatezone=Cold_Without_dry_season_Hot_Summer,0.291,0.1472,0.1436,0.291,0.01237113402061853,0.1472,0.1436,0.2908,0.01237964236588718,human,human,-93.86307,44.86829,North America,Cold_Without_dry_season_Hot_Summer
339,analysis=spatial_spd_sensitivity|dataset_id=339|region=North America|climatezone=Cold_Without_dry_season_Warm_Summer,0.445,0.1234,0.3216,0.445,-0.44539325842696625,0.1234,0.3216,0.445,-0.44539325842696625,climate,climate,-64.94,48.19778,North America,Cold_Without_dry_season_Warm_Summer
1807,analysis=spatial_spd_sensitivity|dataset_id=1807|region=North America|climatezone=Cold_Without_dry_season_Warm_Summer,0.224,-0.0577,0.2816,0.224,-1.514732142857143,0,0.2816,0.2816,-1,climate,climate,-81.5,46.6,North America,Cold_Without_dry_season_Warm_Summer
514,analysis=spatial_spd_sensitivity|dataset_id=514|region=North America|climatezone=Polar,0.458,0.1446,0.3129,0.458,-0.36746724890829696,0.1446,0.3129,0.4575,-0.3678688524590164,climate,climate,-106.41121,38.82854,North America,Polar
3125,analysis=spatial_spd_sensitivity|dataset_id=3125|region=North America|climatezone=Cold_Without_dry_season_Cold_Summer,0.569,0.1656,0.4036,0.569,-0.41827768014059763,0.1656,0.4036,0.5692,-0.4181307097680956,climate,climate,-99.6594,50.6907,North America,Cold_Without_dry_season_Cold_Summer
20922,analysis=spatial_spd_sensitivity|dataset_id=20922|region=North America|climatezone=Cold_Without_dry_season_Cold_Summer,0.306,0.1753,0.1312,0.306,0.14411764705882354,0.1753,0.1312,0.3065,0.1438825448613377,human,human,-106.25685,41.37674,North America,Cold_Without_dry_season_Cold_Summer
41606,analysis=spatial_spd_sensitivity|dataset_id=41606|region=North America|climatezone=Polar,0.525,0.16,0.3652,0.525,-0.3908571428571429,0.16,0.3652,0.5252,-0.39070830159939074,climate,climate,-124.688,58.485,North America,Polar
352,analysis=spatial_spd_sensitivity|dataset_id=352|region=North America|climatezone=Cold_Without_dry_season_Hot_Summer,0.366,0.1192,0.2467,0.366,-0.3483606557377049,0.1192,0.2467,0.3659,-0.3484558622574474,climate,climate,-93.19722,45.41111,North America,Cold_Without_dry_season_Hot_Summer
17304,analysis=spatial_spd_sensitivity|dataset_id=17304|region=North America|climatezone=Cold_Without_dry_season_Warm_Summer,0.498,0.2205,0.2778,0.498,-0.1150602409638554,0.2205,0.2778,0.49829999999999997,-0.11499096929560504,climate,climate,-89.5565,45.51884,North America,Cold_Without_dry_season_Warm_Summer
22732,analysis=spatial_spd_sensitivity|dataset_id=22732|region=Europe|climatezone=Cold_Without_dry_season_Warm_Summer,0.513,0.121,0.392,0.513,-0.5282651072124757,0.121,0.392,0.513,-0.5282651072124757,climate,climate,7.69021,45.68554,Europe,Cold_Without_dry_season_Warm_Summer
2609,analysis=spatial_spd_sensitivity|dataset_id=2609|region=North America|climatezone=Cold_Without_dry_season_Hot_Summer,0.432,0.1119,0.3197,0.432,-0.4810185185185185,0.1119,0.3197,0.4316,-0.4814643188137164,climate,climate,-84.68944,40.21667,North America,Cold_Without_dry_season_Hot_Summer
48798,analysis=spatial_spd_sensitivity|dataset_id=48798|region=Europe|climatezone=Temperate_Without_dry_season,0.323,0.0279,0.2954,0.323,-0.8281733746130031,0.0279,0.2954,0.3233,-0.8274048871017632,climate,climate,8.72184,53.67137,Europe,Temperate_Without_dry_season
21978,analysis=spatial_spd_sensitivity|dataset_id=21978|region=Latin America|climatezone=Temperate_Without_dry_season,0.376,0.0545,0.3215,0.376,-0.7101063829787234,0.0545,0.3215,0.376,-0.7101063829787234,climate,climate,-74.15686,4.99445,Latin America,Temperate_Without_dry_season
22793,analysis=spatial_spd_sensitivity|dataset_id=22793|region=Europe|climatezone=Cold_Without_dry_season_Cold_Summer,0.454,-0.0021,0.4563,0.454,-1.009691629955947,0,0.4563,0.4563,-1,climate,climate,10.47806,46.86278,Europe,Cold_Without_dry_season_Cold_Summer
15766,analysis=spatial_spd_sensitivity|dataset_id=15766|region=North America|climatezone=Temperate_Dry_Summer,0.055,0.0015,0.0531,0.055,-0.9381818181818182,0.0015,0.0531,0.0546,-0.945054945054945,climate,climate,-118.99583,36.98158,North America,Temperate_Dry_Summer
46481,analysis=spatial_spd_sensitivity|dataset_id=46481|region=Europe|climatezone=Cold_Without_dry_season_Warm_Summer,0.226,-0.0349,0.2612,0.226,-1.3101769911504424,0,0.2612,0.2612,-1,climate,climate,32.0275,56.28528,Europe,Cold_Without_dry_season_Warm_Summer
17713,analysis=spatial_spd_sensitivity|dataset_id=17713|region=North America|climatezone=Cold_Without_dry_season_Cold_Summer,0.621,0.111,0.5102,0.621,-0.6428341384863124,0.111,0.5102,0.6212,-0.6426271732131359,climate,climate,-104.94231,55.42836,North America,Cold_Without_dry_season_Cold_Summer
20651,analysis=spatial_spd_sensitivity|dataset_id=20651|region=North America|climatezone=Polar,0.039,-0.0325,0.0716,0.039,-2.669230769230769,0,0.0716,0.0716,-1,climate,climate,-138.092,61.018,North America,Polar
47520,analysis=spatial_spd_sensitivity|dataset_id=47520|region=Europe|climatezone=Cold_Without_dry_season_Cold_Summer,0.483,0.0105,0.4721,0.483,-0.9556935817805383,0.0105,0.4721,0.48260000000000003,-0.956485702445089,climate,climate,13.39869,49.07402,Europe,Cold_Without_dry_season_Cold_Summer
4359,analysis=spatial_spd_sensitivity|dataset_id=4359|region=Europe|climatezone=Temperate_Without_dry_season,0.566,0.3581,0.2075,0.566,0.26607773851590105,0.3581,0.2075,0.5656,0.2662659123055162,human,human,1.64583,45.84972,Europe,Temperate_Without_dry_season
1788,analysis=spatial_spd_sensitivity|dataset_id=1788|region=North America|climatezone=Polar,0.462,0.0798,0.3821,0.462,-0.6543290043290043,0.0798,0.3821,0.4619,-0.6544706646460273,climate,climate,-128.8,63.01667,North America,Polar
45648,analysis=spatial_spd_sensitivity|dataset_id=45648|region=Oceania|climatezone=Temperate_Without_dry_season,0.484,0.1278,0.356,0.484,-0.4714876033057851,0.1278,0.356,0.4838,-0.4716825134353038,climate,climate,153.45448,-27.49941,Oceania,Temperate_Without_dry_season
4183,analysis=spatial_spd_sensitivity|dataset_id=4183|region=Europe|climatezone=Cold_Without_dry_season_Cold_Summer,0.518,0.1473,0.371,0.518,-0.43185328185328187,0.1473,0.371,0.5183,-0.43160331854138534,climate,climate,30.53333,64.56667,Europe,Cold_Without_dry_season_Cold_Summer
816,analysis=spatial_spd_sensitivity|dataset_id=816|region=North America|climatezone=Temperate_Dry_Summer,0.578,0.1266,0.4518,0.578,-0.5626297577854672,0.1266,0.4518,0.5784,-0.5622406639004149,climate,climate,-119.83333,37,North America,Temperate_Dry_Summer
