analysis,region,age,selection_status,n_complete,n_candidates,global_p_value,full_adjusted_r_squared,selected_terms
temporal_events,Europe,4000,selected,387,81,0.001,0.24660452807377298,dbmem_010;dbmem_014;dbmem_011;dbmem_003;dbmem_030;dbmem_028;dbmem_029;dbmem_012;dbmem_026;dbmem_024;dbmem_018
temporal_events,Europe,4500,selected,388,81,0.001,0.2644542739554745,dbmem_012;dbmem_010;dbmem_014;dbmem_003;dbmem_006;dbmem_002;dbmem_001;dbmem_067;dbmem_018;dbmem_023
temporal_events,Europe,5000,selected,382,80,0.001,0.2509521620242223,dbmem_010;dbmem_005;dbmem_006;dbmem_002;dbmem_001;dbmem_012;dbmem_004;dbmem_008
temporal_events,Europe,5500,selected,385,82,0.001,0.27489239486397443,dbmem_012;dbmem_005;dbmem_006;dbmem_002;dbmem_018;dbmem_065;dbmem_042;dbmem_014;dbmem_080;dbmem_029;dbmem_024
temporal_events,Europe,6000,selected,387,81,0.001,0.23811935579413224,dbmem_010;dbmem_011;dbmem_006;dbmem_005;dbmem_002;dbmem_001
temporal_events,Europe,6500,selected,380,80,0.001,0.2757537960201576,dbmem_011;dbmem_014;dbmem_006;dbmem_001;dbmem_009;dbmem_002;dbmem_065;dbmem_005
temporal_events,Europe,7000,selected,388,83,0.001,0.2531575480880005,dbmem_011;dbmem_014;dbmem_001;dbmem_002;dbmem_006
temporal_events,Europe,7500,selected,383,80,0.001,0.25483937772553866,dbmem_011;dbmem_009;dbmem_010;dbmem_006;dbmem_002
temporal_events,Europe,8000,selected,376,78,0.001,0.2071138650914396,dbmem_011;dbmem_012;dbmem_014;dbmem_003;dbmem_029;dbmem_006
temporal_events,Europe,8500,selected,359,75,0.001,0.22283659439372538,dbmem_011;dbmem_013;dbmem_006;dbmem_029
temporal_events,North America,500,selected,451,106,0.001,0.24251463564047082,dbmem_001;dbmem_003;dbmem_002;dbmem_012;dbmem_008
temporal_events,North America,1000,selected,519,128,0.001,0.24048523637946828,dbmem_001;dbmem_003;dbmem_002;dbmem_006
temporal_events,North America,1500,selected,539,134,0.001,0.2210377319355752,dbmem_001;dbmem_003;dbmem_002;dbmem_017;dbmem_013;dbmem_016
temporal_events,North America,2000,selected,540,133,0.001,0.22145429109740355,dbmem_001;dbmem_003;dbmem_002;dbmem_013;dbmem_006;dbmem_004
temporal_events,North America,2500,selected,534,132,0.001,0.23054346512544477,dbmem_001;dbmem_003;dbmem_002;dbmem_006;dbmem_013
temporal_events,North America,3000,selected,533,130,0.001,0.2240762760303593,dbmem_003;dbmem_001;dbmem_011;dbmem_013;dbmem_002;dbmem_006;dbmem_074
temporal_events,North America,3500,selected,537,132,0.001,0.23638025131473628,dbmem_001;dbmem_003;dbmem_002;dbmem_013
temporal_events,North America,4000,selected,545,135,0.001,0.22228153753199598,dbmem_003;dbmem_001;dbmem_002;dbmem_013
temporal_events,North America,4500,selected,541,133,0.001,0.22779353174941352,dbmem_003;dbmem_001;dbmem_002;dbmem_013;dbmem_006
temporal_events,North America,5000,selected,539,132,0.001,0.20352241257320225,dbmem_003;dbmem_001;dbmem_002;dbmem_006;dbmem_013
temporal_events,North America,5500,selected,544,135,0.001,0.20964708650632646,dbmem_003;dbmem_001;dbmem_002;dbmem_006;dbmem_013;dbmem_039;dbmem_010;dbmem_008
temporal_events,North America,6000,selected,535,133,0.001,0.2236886372559974,dbmem_003;dbmem_013;dbmem_001;dbmem_002;dbmem_006;dbmem_009;dbmem_016;dbmem_010
temporal_events,North America,6500,selected,543,135,0.001,0.21536768543145146,dbmem_003;dbmem_013;dbmem_001;dbmem_002;dbmem_039;dbmem_006;dbmem_010;dbmem_016
temporal_events,North America,7000,selected,540,134,0.001,0.22290640552474372,dbmem_003;dbmem_013;dbmem_002;dbmem_001;dbmem_009;dbmem_016;dbmem_006;dbmem_071;dbmem_129;dbmem_081
temporal_events,North America,7500,selected,542,136,0.001,0.2087626764115772,dbmem_003;dbmem_013;dbmem_009;dbmem_002;dbmem_001;dbmem_022
temporal_events,North America,8000,selected,532,131,0.001,0.18823644745838852,dbmem_003;dbmem_013;dbmem_009;dbmem_001;dbmem_002;dbmem_016;dbmem_108;dbmem_058;dbmem_011
temporal_events,North America,8500,selected,523,129,0.001,0.20524967117404969,dbmem_003;dbmem_013;dbmem_124;dbmem_005;dbmem_010;dbmem_002;dbmem_001
temporal_events,Latin America,500,no_spatial_signal,73,10,0.115,0.04218653859576171,
temporal_events,Latin America,1000,no_spatial_signal,86,11,0.081,0.047323713663868894,
temporal_events,Latin America,1500,selected,86,11,0.001,0.1099593912203265,dbmem_004
temporal_events,Latin America,2000,selected,87,11,0.002,0.10061545405579109,dbmem_004
temporal_events,Latin America,2500,selected,87,11,0.001,0.13516723135451758,dbmem_004
