analysis,region,age,status,n_samples,selection_status,n_candidates,n_selected,global_p_value,spatial_adjusted_r_squared
temporal_events,North America,3500,spatial_model_estimated,537,selected,132,4,0.001,0.23638025131473628
temporal_events,North America,4000,spatial_model_estimated,545,selected,135,4,0.001,0.22228153753199598
temporal_events,North America,4500,spatial_model_estimated,541,selected,133,5,0.001,0.22779353174941352
temporal_events,North America,5000,spatial_model_estimated,539,selected,132,5,0.001,0.20352241257320225
temporal_events,North America,5500,spatial_model_estimated,544,selected,135,8,0.001,0.20964708650632646
temporal_events,North America,6000,spatial_model_estimated,535,selected,133,8,0.001,0.2236886372559974
temporal_events,North America,6500,spatial_model_estimated,543,selected,135,8,0.001,0.21536768543145146
temporal_events,North America,7000,spatial_model_estimated,540,selected,134,10,0.001,0.22290640552474372
temporal_events,North America,7500,spatial_model_estimated,542,selected,136,6,0.001,0.2087626764115772
temporal_events,North America,8000,spatial_model_estimated,532,selected,131,9,0.001,0.18823644745838852
temporal_events,North America,8500,spatial_model_estimated,523,selected,129,7,0.001,0.20524967117404969
temporal_events,Latin America,500,no_spatial_terms_selected,73,no_spatial_signal,10,0,0.115,0.04218653859576171
temporal_events,Latin America,1000,no_spatial_terms_selected,86,no_spatial_signal,11,0,0.081,0.047323713663868894
temporal_events,Latin America,1500,spatial_model_estimated,86,selected,11,1,0.001,0.1099593912203265
temporal_events,Latin America,2000,spatial_model_estimated,87,selected,11,1,0.002,0.10061545405579109
temporal_events,Latin America,2500,spatial_model_estimated,87,selected,11,1,0.001,0.13516723135451758
temporal_events,Latin America,3000,spatial_model_estimated,86,selected,11,1,0.002,0.13299482032126886
temporal_events,Latin America,4000,spatial_model_estimated,85,selected,11,1,0.001,0.13933377239268052
temporal_events,Latin America,4500,spatial_model_estimated,87,selected,11,1,0.003,0.1412319129866879
temporal_events,Latin America,5000,spatial_model_estimated,84,selected,11,1,0.001,0.16572459955405894
temporal_events,Latin America,5500,spatial_model_estimated,86,selected,11,1,0.001,0.15381427488547028
temporal_events,Latin America,6000,no_spatial_terms_selected,82,no_terms_selected,11,0,0.004,0.09258529752098466
temporal_events,Latin America,6500,no_spatial_terms_selected,82,no_terms_selected,11,0,0.039,0.05676576574437098
temporal_events,Latin America,7000,no_spatial_terms_selected,81,no_terms_selected,11,0,0.036,0.06793818315795552
temporal_events,Latin America,7500,spatial_model_estimated,81,selected,10,1,0.011,0.08498021567250025
temporal_events,Latin America,8000,no_spatial_terms_selected,74,no_terms_selected,9,0,0.01,0.07761962049341653
temporal_events,Latin America,8500,spatial_model_estimated,71,selected,10,1,0.001,0.11079787030355981
temporal_events,Latin America,3500,spatial_model_estimated,84,selected,13,1,0.003,0.12769035657967032
temporal_events,Oceania,500,no_spatial_terms_selected,33,no_terms_selected,4,0,0.003,0.18217374324066482
temporal_events,Oceania,1000,spatial_model_estimated,44,selected,5,1,0.002,0.1726722929420016
temporal_events,Oceania,1500,spatial_model_estimated,45,selected,5,1,0.011,0.086210414939766
temporal_events,Oceania,2000,no_spatial_terms_selected,46,no_terms_selected,5,0,0.02,0.0741924453153755
temporal_events,Oceania,2500,no_spatial_terms_selected,45,no_terms_selected,5,0,0.012,0.08548473393093681
temporal_events,Oceania,3000,no_spatial_terms_selected,47,no_spatial_signal,5,0,0.053,0.06347848795431266
temporal_events,Oceania,3500,spatial_model_estimated,46,selected,5,1,0.007,0.09666264649172729
temporal_events,Oceania,4000,no_spatial_terms_selected,47,no_terms_selected,5,0,0.033,0.07201707269400937
temporal_events,Oceania,4500,missing_predictor_group,47,missing_predictor_group,0,0,NA,NA
temporal_events,Oceania,5000,missing_predictor_group,47,missing_predictor_group,0,0,NA,NA
temporal_events,Oceania,5500,missing_predictor_group,46,missing_predictor_group,0,0,NA,NA
temporal_events,Oceania,6000,missing_predictor_group,45,missing_predictor_group,0,0,NA,NA
temporal_events,Oceania,7000,missing_predictor_group,42,missing_predictor_group,0,0,NA,NA
temporal_events,Oceania,7500,missing_predictor_group,42,missing_predictor_group,0,0,NA,NA
temporal_events,Asia,1500,no_spatial_terms_selected,171,no_terms_selected,41,0,0.001,0.1118180727644722
temporal_events,Asia,2000,no_spatial_terms_selected,174,no_terms_selected,42,0,0.001,0.12028397065317908
temporal_events,Asia,2500,spatial_model_estimated,171,selected,40,1,0.001,0.13072044848139297
temporal_events,Asia,3000,no_spatial_terms_selected,174,no_terms_selected,41,0,0.001,0.11889413403854332
temporal_events,Asia,3500,no_spatial_terms_selected,172,no_terms_selected,40,0,0.006,0.09017942414259306
temporal_events,Asia,4000,no_spatial_terms_selected,174,no_terms_selected,41,0,0.002,0.10232365648815789
temporal_events,Asia,4500,spatial_model_estimated,171,selected,40,1,0.001,0.12621435495299993
temporal_events,Asia,5000,spatial_model_estimated,174,selected,40,1,0.002,0.09633765719536314
temporal_events,Asia,5500,spatial_model_estimated,173,selected,41,1,0.001,0.1238697791829454
temporal_events,Asia,6000,spatial_model_estimated,175,selected,41,1,0.006,0.07965717339775313
temporal_events,Asia,6500,no_spatial_terms_selected,163,no_spatial_signal,39,0,0.182,0.025955529857810578
temporal_events,Asia,7000,no_spatial_terms_selected,160,no_spatial_signal,38,0,0.111,0.03574996150226184
temporal_events,Asia,7500,no_spatial_terms_selected,153,no_spatial_signal,36,0,0.111,0.03901054053480013
temporal_events,Asia,8000,spatial_model_estimated,150,selected,37,1,0.005,0.08976956152769155
temporal_events,Asia,8500,spatial_model_estimated,138,selected,32,1,0.013,0.07760623202842976
temporal_events,Oceania,6500,missing_predictor_group,43,missing_predictor_group,0,0,NA,NA
temporal_events,Oceania,8000,missing_predictor_group,40,missing_predictor_group,0,0,NA,NA
temporal_events,Oceania,8500,missing_predictor_group,39,missing_predictor_group,0,0,NA,NA
temporal_events,Asia,1000,spatial_model_estimated,156,selected,35,1,0.001,0.1247380705295057
temporal_events,Asia,500,no_spatial_terms_selected,110,no_terms_selected,25,0,0.015,0.08688583053723042
