region,age,predictor,Unique,Average.share,Individual,I.perc(%),model_profile
North America,6000,human,0.0128,-1.0000000000000113e-4,0.0127,6.2,human_climate_space
North America,6000,climate,0.0152,0.039,0.0542,26.44,human_climate_space
North America,6000,space,0.0996,0.038599999999999995,0.1382,67.41,human_climate_space
North America,6500,human,0.0093,-9.99999999999994e-5,0.0092,8.85,human_climate
North America,6500,climate,0.0945,-1.0000000000000286e-4,0.0944,90.77,human_climate
North America,6500,human,0.0077,6.999999999999992e-4,0.0084,3.8,human_climate_space
North America,6500,climate,0.0211,0.0366,0.0577,26.11,human_climate_space
North America,6500,space,0.1171,0.03749999999999999,0.1546,69.95,human_climate_space
North America,7000,human,0.0107,0.0014000000000000002,0.0121,11.42,human_climate
North America,7000,climate,0.0925,0.0012999999999999956,0.0938,88.49,human_climate
North America,7000,human,0.0092,0.0017000000000000001,0.0109,4.89,human_climate_space
North America,7000,climate,0.027,0.033699999999999994,0.0607,27.22,human_climate_space
North America,7000,space,0.1169,0.03420000000000001,0.1511,67.76,human_climate_space
North America,7500,human,0.0101,0.0018000000000000013,0.0119,11.44,human_climate
North America,7500,climate,0.0907,0.0016999999999999932,0.0924,88.85,human_climate
North America,7500,human,0.0077,0.0020999999999999994,0.0098,4.78,human_climate_space
North America,7500,climate,0.0334,0.0295,0.0629,30.68,human_climate_space
North America,7500,space,0.1009,0.031499999999999986,0.1324,64.59,human_climate_space
North America,8000,human,0.0078,-0.0011999999999999997,0.0066,5.28,human_climate
North America,8000,climate,0.1195,-0.0011999999999999927,0.1183,94.64,human_climate
North America,8000,human,0.0083,-7.000000000000001e-4,0.0076,3.52,human_climate_space
North America,8000,climate,0.0423,0.0381,0.0804,37.22,human_climate_space
North America,8000,space,0.0914,0.0369,0.1283,59.4,human_climate_space
North America,8500,human,0.0042,5.999999999999998e-4,0.0048,4,human_climate
North America,8500,climate,0.1145,5.999999999999894e-4,0.1151,95.92,human_climate
North America,8500,human,0.0028,0.0016999999999999997,0.0045,1.96,human_climate_space
North America,8500,climate,0.0284,0.044000000000000004,0.0724,31.48,human_climate_space
North America,8500,space,0.1105,0.04290000000000001,0.1534,66.7,human_climate_space
Latin America,2000,human,-0.0011,0.0041,0.003,1.96,human_climate
Latin America,2000,climate,0.1454,0.004200000000000009,0.1496,97.78,human_climate
Latin America,2000,human,8e-4,0.003999999999999999,0.0048,2.86,human_climate_space
Latin America,2000,climate,0.1257,0.014899999999999997,0.1406,83.69,human_climate_space
Latin America,2000,space,0.0156,0.0072000000000000015,0.0228,13.57,human_climate_space
Latin America,2500,human,-5e-4,0.007299999999999999,0.0068,4.47,human_climate
Latin America,2500,climate,0.1381,0.007200000000000012,0.1453,95.59,human_climate
Latin America,3000,human,0.0156,-0.0066,0.009,4.66,human_climate
Latin America,3000,climate,0.1903,-0.006599999999999995,0.1837,95.18,human_climate
Latin America,3000,human,0.0256,-0.011700000000000002,0.0139,6.5,human_climate_space
Latin America,3000,climate,0.1867,-0.0049000000000000155,0.1818,84.95,human_climate_space
Latin America,3000,space,0.0207,-0.0029,0.0178,8.32,human_climate_space
Latin America,4000,human,0.0389,-0.011899999999999997,0.027,12.39,human_climate
Latin America,4000,climate,0.2032,-0.011899999999999994,0.1913,87.75,human_climate
Latin America,4000,human,0.0407,-0.0133,0.0274,12.29,human_climate_space
Latin America,4000,climate,0.2092,-0.015399999999999997,0.1938,86.91,human_climate_space
Latin America,4000,space,0.0044,-0.0028000000000000004,0.0016,0.72,human_climate_space
Latin America,4500,human,0.0212,-0.005500000000000001,0.0157,7.97,human_climate
Latin America,4500,climate,0.187,-0.005399999999999988,0.1816,92.18,human_climate
Latin America,5000,human,0.0388,-0.013600000000000001,0.0252,12.17,human_climate
Latin America,5000,climate,0.1957,-0.013600000000000001,0.1821,87.97,human_climate
Latin America,5000,human,0.0214,-0.0022000000000000006,0.0192,8.07,human_climate_space
Latin America,5000,climate,0.1147,0.029600000000000015,0.1443,60.63,human_climate_space
Latin America,5000,space,0.0309,0.043800000000000006,0.0747,31.39,human_climate_space
Latin America,5500,human,0.0135,-0.0040999999999999995,0.0094,5.28,human_climate
Latin America,5500,climate,0.1725,-0.0040999999999999925,0.1684,94.61,human_climate
Latin America,6000,human,0.016,-0.006400000000000001,0.0096,5.82,human_climate
Latin America,6000,climate,0.162,-0.0063,0.1557,94.36,human_climate
Latin America,6500,human,-0.0045,9.99999999999994e-5,-0.0044,-2.77,human_climate
Latin America,6500,climate,0.1629,1.0000000000001674e-4,0.163,102.52,human_climate
Latin America,7000,human,0.0025,0.0039000000000000003,0.0064,5,human_climate
Latin America,7000,climate,0.1181,0.0039000000000000007,0.122,95.31,human_climate
Latin America,7500,human,0.0136,-0.0070999999999999995,0.0065,4.17,human_climate
Latin America,7500,climate,0.1567,-0.007200000000000012,0.1495,95.83,human_climate
Latin America,7500,human,0.0128,-0.005900000000000001,0.0069,3.81,human_climate_space
Latin America,7500,climate,0.1123,0.01590000000000001,0.1282,70.83,human_climate_space
Latin America,7500,space,0.0249,0.0208,0.0457,25.25,human_climate_space
Latin America,8000,human,0.0572,-0.004799999999999999,0.0524,30.47,human_climate
Latin America,8000,climate,0.1246,-0.004799999999999999,0.1198,69.65,human_climate
Latin America,8500,human,0.0166,-0.0069,0.0097,7.08,human_climate
Latin America,8500,climate,0.1343,-0.0068999999999999895,0.1274,92.99,human_climate
Latin America,8500,human,0.0151,-0.005300000000000001,0.0098,5.66,human_climate_space
Latin America,8500,climate,0.0683,0.026999999999999996,0.0953,55.09,human_climate_space
Latin America,8500,space,0.0362,0.031999999999999994,0.0682,39.42,human_climate_space
Latin America,3500,human,0.0261,-0.011500000000000002,0.0146,7.05,human_climate
Latin America,3500,climate,0.2043,-0.0116,0.1927,93.09,human_climate
Oceania,2000,human,0.0088,0.014399999999999998,0.0232,72.5,human_climate
Oceania,2000,climate,-0.006,0.0143,0.0083,25.94,human_climate
Oceania,2500,human,0.0038,0.0186,0.0224,21.96,human_climate
Oceania,2500,climate,0.0608,0.0186,0.0794,77.84,human_climate
Oceania,2500,human,0.0044,0.0197,0.0241,18.54,human_climate_space
Oceania,2500,climate,0.0794,0.010700000000000001,0.0901,69.31,human_climate_space
Oceania,2500,space,0.0284,-0.0125,0.0159,12.23,human_climate_space
Oceania,3000,human,0.0235,0.0069,0.0304,19.87,human_climate
Oceania,3000,climate,0.1162,0.0068000000000000005,0.123,80.39,human_climate
Oceania,3500,human,0.0216,0.0026999999999999975,0.0243,15.19,human_climate
Oceania,3500,climate,0.1327,0.002799999999999997,0.1355,84.69,human_climate
Oceania,3500,human,0.027,9.000000000000015e-4,0.0279,15.41,human_climate_space
Oceania,3500,climate,0.1524,-0.006200000000000011,0.1462,80.77,human_climate_space
Oceania,3500,space,0.0213,-0.0144,0.0069,3.81,human_climate_space
Oceania,4000,human,0.0011,0.009,0.0101,9.53,human_climate
Oceania,4000,climate,0.0867,0.008999999999999994,0.0957,90.28,human_climate
Oceania,4000,human,0.0068,0.007400000000000001,0.0142,10.6,human_climate_space
Oceania,4000,climate,0.1041,0.0016000000000000042,0.1057,78.88,human_climate_space
Oceania,4000,space,0.0281,-0.0141,0.014,10.45,human_climate_space
Oceania,4500,human,4e-4,0.004399999999999999,0.0048,3.9,human_climate
Oceania,4500,climate,0.1142,0.004400000000000001,0.1186,96.42,human_climate
Oceania,4500,human,4e-4,0.0052,0.0056,4.06,human_climate_space
Oceania,4500,climate,0.1283,-0.001799999999999996,0.1265,91.67,human_climate_space
Oceania,4500,space,0.0144,-0.008799999999999999,0.0056,4.06,human_climate_space
Oceania,5000,human,-0.0023,0.0149,0.0126,16.58,human_climate
Oceania,5000,climate,0.0484,0.014899999999999997,0.0633,83.29,human_climate
Oceania,5000,human,7e-4,0.013900000000000001,0.0146,15.87,human_climate_space
Oceania,5000,climate,0.0662,0.006500000000000006,0.0727,79.02,human_climate_space
Oceania,5000,space,0.0157,-0.011399999999999999,0.0043,4.67,human_climate_space
Oceania,5500,human,-0.0019,0.0076,0.0057,8.26,human_climate
Oceania,5500,climate,0.0556,0.007500000000000007,0.0631,91.45,human_climate
Oceania,6000,human,-0.0025,0.0012000000000000001,-0.0013,-1.91,human_climate
Oceania,6000,climate,0.0676,0.0012000000000000066,0.0688,101.18,human_climate
Oceania,7000,human,-0.0166,0.0028000000000000004,-0.0138,197.14,human_climate
Oceania,7000,climate,0.0038,0.0028,0.0066,-94.29,human_climate
Oceania,7500,human,-0.0064,-5.999999999999998e-4,-0.007,-13.73,human_climate
Oceania,7500,climate,0.059,-5.999999999999964e-4,0.0584,114.51,human_climate
Oceania,7500,human,0.0113,-0.0106,7e-4,0.75,human_climate_space
Oceania,7500,climate,0.0787,-0.0116,0.0671,72.15,human_climate_space
Oceania,7500,space,0.0414,-0.0163,0.0251,26.99,human_climate_space
Asia,2000,human,0.0289,-0.0086,0.0203,20.93,human_climate
Asia,2000,climate,0.0855,-0.00860000000000001,0.0769,79.28,human_climate
Asia,2000,human,0.0172,-0.0023999999999999994,0.0148,11.56,human_climate_space
Asia,2000,climate,0.0881,-0.009499999999999995,0.0786,61.41,human_climate_space
Asia,2000,space,0.031,0.0039000000000000007,0.0349,27.27,human_climate_space
Asia,2500,human,0.0109,-0.0054,0.0055,5.85,human_climate
Asia,2500,climate,0.0944,-0.005400000000000002,0.089,94.68,human_climate
Asia,2500,human,0.0036,-7.999999999999999e-4,0.0028,2.19,human_climate_space
Asia,2500,climate,0.0953,-0.004900000000000002,0.0904,70.62,human_climate_space
Asia,2500,space,0.0334,0.0011999999999999997,0.0346,27.03,human_climate_space
Asia,3000,human,0.0098,-0.0049,0.0049,5.38,human_climate
Asia,3000,climate,0.091,-0.004900000000000002,0.0861,94.62,human_climate
Asia,3000,human,0.0047,-0.0017000000000000001,0.003,2.46,human_climate_space
Asia,3000,climate,0.0825,1.0000000000000286e-4,0.0826,67.7,human_climate_space
Asia,3000,space,0.0309,0.0053999999999999986,0.0363,29.75,human_climate_space
Asia,3500,human,4e-4,0.0052,0.0056,5.96,human_climate
Asia,3500,climate,0.0829,0.005299999999999999,0.0882,93.83,human_climate
Asia,3500,human,0.0058,0.003000000000000001,0.0088,6.88,human_climate_space
Asia,3500,climate,0.093,7.000000000000062e-4,0.0937,73.2,human_climate_space
Asia,3500,space,0.0338,-0.008699999999999996,0.0251,19.61,human_climate_space
Asia,4000,human,0.0039,8.000000000000004e-4,0.0047,6.18,human_climate
Asia,4000,climate,0.0709,7.999999999999952e-4,0.0717,94.34,human_climate
Asia,4500,human,0.0028,0.0112,0.014,16.67,human_climate
Asia,4500,climate,0.0592,0.011200000000000002,0.0704,83.81,human_climate
Asia,4500,human,0.0032,0.0118,0.015,12,human_climate_space
Asia,4500,climate,0.0588,0.012100000000000007,0.0709,56.72,human_climate_space
Asia,4500,space,0.0402,-0.0013999999999999985,0.0388,31.04,human_climate_space
Asia,5000,human,0.0056,0.0144,0.02,22.99,human_climate
