dataset_id,analysis,predictor,Unique,Average.share,Individual,I.perc(%),model_profile,total_adjusted_r_squared
45347,spatial_spd,human,0.0144,0.021099999999999997,0.0355,6.75,human_climate_time,0.526
45347,spatial_spd,climate,0.0966,0.189,0.2856,54.3,human_climate_time,0.526
45347,spatial_spd,time,-0.0022,0.2071,0.2049,38.95,human_climate_time,0.526
15922,spatial_spd,human,0.0272,0.1623,0.1895,34.39,human_climate,0.551
15922,spatial_spd,climate,0.1991,0.1624,0.3615,65.61,human_climate,0.551
15922,spatial_spd,human,-0.037,0.1497,0.1127,19.84,human_climate_time,0.568
15922,spatial_spd,climate,0.1884,0.123,0.3114,54.82,human_climate_time,0.568
15922,spatial_spd,time,0.0166,0.12689999999999999,0.1435,25.26,human_climate_time,0.568
1010,spatial_spd,human,-0.0049,0.1624,0.1575,45.39,human_climate,0.347
1010,spatial_spd,climate,0.0274,0.1624,0.1898,54.7,human_climate,0.347
1010,spatial_spd,human,-0.0678,0.1446,0.0768,20.65,human_climate_time,0.372
1010,spatial_spd,climate,-0.1214,0.1876,0.0662,17.8,human_climate_time,0.372
1010,spatial_spd,time,0.0251,0.2042,0.2293,61.64,human_climate_time,0.372
4542,spatial_spd,human,-0.0347,0.0407,0.006,1.17,human_climate,0.512
4542,spatial_spd,climate,0.4652,0.040700000000000014,0.5059,98.81,human_climate,0.512
4542,spatial_spd,human,-0.0228,0.0343,0.0115,1.84,human_climate_time,0.624
4542,spatial_spd,climate,0.4205,0.06259999999999999,0.4831,77.42,human_climate_time,0.624
4542,spatial_spd,time,0.112,0.017299999999999996,0.1293,20.72,human_climate_time,0.624
14944,spatial_spd,human,0.3829,0.08489999999999998,0.4678,77.19,human_climate,0.606
14944,spatial_spd,climate,0.053,0.0849,0.1379,22.76,human_climate,0.606
14944,spatial_spd,human,0.3428,0.09460000000000002,0.4374,71.12,human_climate_time,0.615
14944,spatial_spd,climate,0.0214,0.09029999999999999,0.1117,18.16,human_climate_time,0.615
14944,spatial_spd,time,0.009,0.056600000000000004,0.0656,10.67,human_climate_time,0.615
17402,spatial_spd,human,0.0887,-5.000000000000004e-4,0.0882,35.71,human_climate,0.247
17402,spatial_spd,climate,0.1598,-5.999999999999894e-4,0.1592,64.45,human_climate,0.247
17402,spatial_spd,human,0.1319,-0.043399999999999994,0.0885,28.46,human_climate_time,0.311
17402,spatial_spd,climate,0.0477,0.0342,0.0819,26.33,human_climate_time,0.311
17402,spatial_spd,time,0.0639,0.077,0.1409,45.31,human_climate_time,0.311
234,spatial_spd,human,-0.0072,0.07139999999999999,0.0642,15.07,human_climate,0.426
234,spatial_spd,climate,0.2908,0.07140000000000002,0.3622,85.02,human_climate,0.426
234,spatial_spd,human,0.0244,0.022999999999999996,0.0474,8.46,human_climate_time,0.56
234,spatial_spd,climate,0.228,0.07020000000000001,0.2982,53.25,human_climate_time,0.56
234,spatial_spd,time,0.1339,0.0809,0.2148,38.36,human_climate_time,0.56
16081,spatial_spd,human,-0.039,0.017,-0.022,-7.46,human_climate,0.295
16081,spatial_spd,climate,0.3003,0.017000000000000015,0.3173,107.56,human_climate,0.295
16081,spatial_spd,human,-0.0811,0.046900000000000004,-0.0342,-12.48,human_climate_time,0.274
16081,spatial_spd,climate,0.0821,0.1349,0.217,79.2,human_climate_time,0.274
16081,spatial_spd,time,-0.0213,0.1125,0.0912,33.28,human_climate_time,0.274
41421,spatial_spd,human,0,0.016,0.016,4.3,human_climate,0.372
41421,spatial_spd,climate,0.3402,0.016000000000000014,0.3562,95.75,human_climate,0.372
41421,spatial_spd,human,0.0506,-0.0276,0.023,4.7,human_climate_time,0.489
