dataset_id,analysis,total_adjusted_r_squared,human,climate,time,human_climate_only_total_adjusted_r_squared,human_climate_only_human,human_climate_only_climate,model_id,signed_difference,signed_balance,zero_human,zero_climate,zero_time,human_climate_total,three_group_total,zero_balance,human_allocation,climate_allocation,time_allocation,signed_weight,zero_weight,human_climate_only_signed_weight,human_climate_only_signed_balance,human_climate_only_zero_human,human_climate_only_zero_climate,human_climate_only_zero_weight,human_climate_only_zero_balance,signed_ranking,zero_ranking,status,long,lat,region,climatezone
ippd_991,spatial_events,0.279,0.0494,0.0333,0.196,0.18,0.0988,0.0817,spatial_events|ippd_991,0.016099999999999996,0.05770609318996414,0.0494,0.0333,0.196,0.0827,0.2787,0.19467956469165656,0.17725152493720847,0.1194833153928956,0.703265159669896,0.279,0.0827,0.18,0.09500000000000003,0.0988,0.0817,0.1805,0.09473684210526319,human,human,estimated,149.52,-34.75,Oceania,Temperate_Without_dry_season
ippd_1070,spatial_events,0.545,0.2442,0.0967,0.2042,0.489,0.2928,0.1966,spatial_events|ippd_1070,0.14750000000000002,0.27064220183486243,0.2442,0.0967,0.2042,0.3409,0.5450999999999999,0.4326782047521268,0.44799119427627965,0.17739864245092646,0.374610163272794,0.545,0.3409,0.489,0.1967280163599182,0.2928,0.1966,0.4894,0.19656722517368208,human,human,estimated,142.95,-5.85,Oceania,Tropical
ippd_2000,spatial_events,0.257,0.0214,0.1019,0.1339,0.254,0.0287,0.2255,spatial_events|ippd_2000,-0.0805,-0.3132295719844358,0.0214,0.1019,0.1339,0.1233,0.2572,-0.6528791565287916,0.08320373250388803,0.396189735614308,0.5206065318818041,0.257,0.1233,0.254,-0.7748031496062993,0.0287,0.2255,0.2542,-0.7741935483870969,climate,climate,estimated,145.633,-17.1667,Oceania,Temperate_Dry_Winter
ippd_2094,spatial_events,0.633,0.0184,0.4408,0.1735,0.649,0.0183,0.6304,spatial_events|ippd_2094,-0.4224,-0.6672985781990521,0.0184,0.4408,0.1735,0.45920000000000005,0.6327,-0.9198606271777002,0.029081713292239606,0.6966966966966966,0.27422159001106367,0.633,0.45920000000000005,0.649,-0.9431432973805854,0.0183,0.6304,0.6486999999999999,-0.9435794666255588,climate,climate,estimated,151.3667,-31.9167,Oceania,Temperate_Without_dry_season
ippd_2122,spatial_events,0.783,0.4005,0.0943,0.2886,0.381,0.3333,0.0477,spatial_events|ippd_2122,0.30620000000000003,0.3910600255427842,0.4005,0.0943,0.2886,0.4948,0.7834000000000001,0.6188358932902183,0.5112330865458259,0.12037273423538421,0.36839417921878986,0.783,0.4948,0.381,0.7496062992125984,0.3333,0.0477,0.381,0.7496062992125984,human,human,estimated,150.38,-33.76,Oceania,Temperate_Without_dry_season
ippd_2133,spatial_events,0.322,0.1723,0.0769,0.0731,0.29,0.1793,0.1106,spatial_events|ippd_2133,0.09540000000000001,0.29627329192546586,0.1723,0.0769,0.0731,0.2492,0.32230000000000003,0.38282504012841095,0.5345950977350294,0.2385975798945082,0.22680732237046228,0.322,0.2492,0.29,0.2368965517241379,0.1793,0.1106,0.2899,0.23697826836840286,human,human,estimated,140.581,-37.6094,Oceania,Temperate_Dry_Summer
ippd_2163,spatial_events,0.625,0.1833,0.3152,0.1268,0.565,0.1944,0.3706,spatial_events|ippd_2163,-0.1319,-0.21103999999999998,0.1833,0.3152,0.1268,0.49849999999999994,0.6253,-0.2645937813440321,0.29313929313929316,0.504078042539581,0.20278266432112588,0.625,0.49849999999999994,0.565,-0.311858407079646,0.1944,0.3706,0.565,-0.311858407079646,climate,climate,estimated,149.5,-36.5167,Oceania,Temperate_Without_dry_season
ippd_2216,spatial_events,0.74,0.4904,0.1142,0.1354,0.724,0.5243,0.2,spatial_events|ippd_2216,0.3762,0.5083783783783784,0.4904,0.1142,0.1354,0.6046,0.74,0.6222295732715845,0.6627027027027027,0.15432432432432433,0.18297297297297296,0.74,0.6046,0.724,0.4479281767955801,0.5243,0.2,0.7242999999999999,0.4477426480740025,human,human,estimated,153.167,-25.23,Oceania,Temperate_Without_dry_season
ippd_2268,spatial_events,0.657,0.2429,0.3005,0.1133,0.66,0.2375,0.423,spatial_events|ippd_2268,-0.057599999999999985,-0.0876712328767123,0.2429,0.3005,0.1133,0.5434,0.6567,-0.1059992638940007,0.36987970153799304,0.4575909852291762,0.17252931323283083,0.657,0.5434,0.66,-0.28106060606060607,0.2375,0.423,0.6605,-0.2808478425435276,climate,climate,estimated,153.0613,-25.2171,Oceania,Temperate_Without_dry_season
ippd_2270,spatial_events,0.523,0.0987,0.331,0.0937,0.5,0.1059,0.3936,spatial_events|ippd_2270,-0.2323,-0.4441682600382409,0.0987,0.331,0.0937,0.4297,0.5234000000000001,-0.5406097277170119,0.18857470385938094,0.6324035154757355,0.17902178066488345,0.523,0.4297,0.5,-0.5754,0.1059,0.3936,0.4995,-0.575975975975976,climate,climate,estimated,150.22,-33.38,Oceania,Temperate_Without_dry_season
ippd_2287,spatial_events,0.504,0.1297,0.1873,0.1868,0.402,0.1498,0.2519,spatial_events|ippd_2287,-0.057599999999999985,-0.11428571428571425,0.1297,0.1873,0.1868,0.317,0.5038,-0.1817034700315457,0.2574434299325129,0.371774513695911,0.370782056371576,0.504,0.317,0.402,-0.2539800995024876,0.1498,0.2519,0.4017,-0.25416977844162314,climate,climate,estimated,141.570299,-34.052551,Oceania,Arid
ippd_2313,spatial_events,0.438,-0.0179,0.1031,0.3529,0.172,-0.0335,0.2055,spatial_events|ippd_2313,-0.121,-0.2762557077625571,0,0.1031,0.3529,0.1031,0.45599999999999996,-1,0,0.22609649122807018,0.7739035087719299,0.438,0.1031,0.172,-1.3895348837209303,0,0.2055,0.2055,-1,climate,climate,estimated,148.48333333333332,-36.38333333333333,Oceania,Cold_Without_dry_season_Warm_Summer
ippd_2357,spatial_events,0.329,0.1402,0.0633,0.1255,0.303,0.1803,0.1225,spatial_events|ippd_2357,0.0769,0.23373860182370818,0.1402,0.0633,0.1255,0.2035,0.32899999999999996,0.3778869778869779,0.42613981762917935,0.19240121580547112,0.3814589665653496,0.329,0.2035,0.303,0.19075907590759072,0.1803,0.1225,0.30279999999999996,0.19088507265521795,human,human,estimated,149.1333,-37.1,Oceania,Temperate_Without_dry_season
