dataset_id,long,lat,depositionalenvironment,region,ecozone_koppen_5,pollen_percentage,n_taxa_harmonised_per_sequence,n_sample_filtered_per_sequence,n_chron_control_filtered_per_sequence,max_pol_counts_per_sequence,min_pol_counts_per_sequence,mean_pol_counts_per_sequence,max_chronology_age_per_sequence,min_chronology_age_per_sequence,mean_chronology_age_per_sequence,max_chronology_age_error_per_sequence,min_chronology_age_error_per_sequence,mean_chronology_age_error_per_sequence,max_calibrated_age_per_sequence,min_calibrated_age_per_sequence,mean_calibrated_age_per_sequence,calibrated_age_range_per_sequence,max_calibrated_age_uncertainty_per_sequence,min_calibrated_age_uncertainty_per_sequence,mean_calibrated_age_uncertainty_per_sequence
221,-79.51,45.38,Glacial Origin Lake,North America,Cold,FALSE,37,37,4,323,201,213,8830,-30,5192.5,440,10,247.5,10848.5,-12.5,5507.96,10861,3454.55,116.8,1393.01
15132,-71.49835,-41.07352,Glacial Origin Lake,Latin America,Temperate,FALSE,46,50,16,1250,446,803,12865,-52,6129,300,1,123.81,11672,162,4183.71,11510,988.65,163.08,387.04
15331,-71.84655,-45.69413,Fen,Latin America,Polar,FALSE,48,65,20,3746,588,1504,15250,-47,8735,170,1,106.55,11890,-47,5600.4,11937,655.21,2,335.44
1814,-70.20833,41.28333,Kettle Lake,North America,Cold,FALSE,53,42,6,546,323,407,13790,-35,6210.83,320,18,183,11058,-35,4306.25,11093,1745.51,35,1008.91
22936,17.17028,46.77444,Bog,Europe,Cold,FALSE,70,47,4,1916,192,707,10170,-49,3817.75,120,25,76.25,11991,100,2603.91,11891,2530.63,139.54,794.63
3041,-80.4,43.9,Bog,North America,Cold,FALSE,41,66,3,258,100,207,7390,-30,3946.67,200,10,123.33,9442.5,44,5854.02,9398.5,4677.89,371.54,1634.05
24057,11.43005,46.66528,Glacial Origin Lake,Europe,Polar,FALSE,80,88,3,1920,329,1128,9370,-15,3635,250,75,158.33,11232,184,5851.57,11048,3116.19,281.02,2129.61
1630,149.37407,-35.19934,Natural Lake,Oceania,Temperate,FALSE,51,11,4,371,28,150,18600,50,7462.5,930,50,292.5,10467,53,4077.82,10414,3748.51,94.52,1383.12
2622,-132.01667,67.65,Kettle Lake,North America,Cold,FALSE,28,67,5,1100,433,544,9600,0,5424,200,1,144.2,11383,0,6346.54,11383,1950.6,2,849.84
40875,-73.439,42.1062,Natural Lake,North America,Cold,FALSE,46,49,10,642,202,469,12700,-59,5582.1,55,1,35.1,11601.5,-59,5314.92,11660.5,1066.45,2,504.39
