analysis,region,age,predictor,profile,individual_sum,total_sum,pooled_allocation,n_models
temporal_events,North America,5000,human,zero_truncated,0.0108,0.1086,0.0994475138121547,1
temporal_events,North America,5500,climate,zero_truncated,0.0839,0.09280000000000001,0.9040948275862069,1
temporal_events,North America,5500,human,zero_truncated,0.0089,0.09280000000000001,0.0959051724137931,1
temporal_events,North America,6000,climate,zero_truncated,0.0898,0.09920000000000001,0.9052419354838709,1
temporal_events,North America,6000,human,zero_truncated,0.0094,0.09920000000000001,0.09475806451612903,1
temporal_events,North America,6500,climate,zero_truncated,0.0905,0.0993,0.9113796576032225,1
temporal_events,North America,6500,human,zero_truncated,0.0088,0.0993,0.08862034239677745,1
temporal_events,North America,7000,climate,zero_truncated,0.0937,0.09480000000000001,0.9883966244725738,1
temporal_events,North America,7000,human,zero_truncated,0.0011,0.09480000000000001,0.01160337552742616,1
temporal_events,North America,7500,climate,zero_truncated,0.0882,0.10300000000000001,0.8563106796116504,1
temporal_events,North America,7500,human,zero_truncated,0.0148,0.10300000000000001,0.1436893203883495,1
temporal_events,North America,8000,climate,zero_truncated,0.1074,0.13219999999999998,0.8124054462934948,1
temporal_events,North America,8000,human,zero_truncated,0.0248,0.13219999999999998,0.18759455370650532,1
temporal_events,North America,8500,climate,zero_truncated,0.1051,0.1473,0.7135098438560761,1
temporal_events,North America,8500,human,zero_truncated,0.0422,0.1473,0.286490156143924,1
temporal_events,Oceania,500,climate,zero_truncated,0.0856,0.0856,1,1
temporal_events,Oceania,500,human,zero_truncated,0,0.0856,0,1
temporal_events,Oceania,1000,climate,zero_truncated,0.0864,0.11860000000000001,0.7284991568296796,1
temporal_events,Oceania,1000,human,zero_truncated,0.0322,0.11860000000000001,0.27150084317032036,1
temporal_events,Oceania,1500,climate,zero_truncated,0.0727,0.0727,1,1
temporal_events,Oceania,1500,human,zero_truncated,0,0.0727,0,1
temporal_events,Oceania,2000,climate,zero_truncated,0.0211,0.030699999999999998,0.6872964169381108,1
temporal_events,Oceania,2000,human,zero_truncated,0.0096,0.030699999999999998,0.3127035830618892,1
temporal_events,Oceania,2500,climate,zero_truncated,0.1016,0.1214,0.8369028006589786,1
temporal_events,Oceania,2500,human,zero_truncated,0.0198,0.1214,0.16309719934102143,1
temporal_events,Oceania,3000,climate,zero_truncated,0.1241,0.1414,0.8776520509193777,1
temporal_events,Oceania,3000,human,zero_truncated,0.0173,0.1414,0.12234794908062234,1
temporal_events,Oceania,3500,climate,zero_truncated,0.1352,0.1352,1,1
temporal_events,Oceania,3500,human,zero_truncated,0,0.1352,0,1
temporal_events,Oceania,4000,climate,zero_truncated,0.0995,0.0995,1,1
temporal_events,Oceania,4000,human,zero_truncated,0,0.0995,0,1
temporal_spd,Asia,2000,climate,zero_truncated,0.0769,0.0972,0.7911522633744856,1
temporal_spd,Asia,2000,human,zero_truncated,0.0203,0.0972,0.2088477366255144,1
