scenario,threshold,region,climatezone,n_region_climatezone_retained,n_region_climatezone_samples_retained,n_region_climatezone_baseline,n_region_climatezone_samples_baseline,n_region_climatezone_lost,n_region_climatezone_samples_lost,prop_region_climatezone_retained,prop_region_climatezone_lost,prop_region_climatezone_samples_retained,prop_region_climatezone_samples_lost
baseline_25_150,150,Oceania,Cold_Without_dry_season_Cold_Summer,1,38,1,38,0,0,1,0,1,0
baseline_25_150,150,Oceania,Cold_Without_dry_season_Warm_Summer,2,36,2,36,0,0,1,0,1,0
baseline_25_150,150,Oceania,Polar,2,67,2,67,0,0,1,0,1,0
baseline_25_150,150,Oceania,Temperate_Dry_Summer,1,86,1,86,0,0,1,0,1,0
baseline_25_150,150,Oceania,Temperate_Dry_Winter,1,93,1,93,0,0,1,0,1,0
baseline_25_150,150,Oceania,Temperate_Without_dry_season,32,1480,32,1480,0,0,1,0,1,0
baseline_25_150,150,Oceania,Tropical,9,350,9,350,0,0,1,0,1,0
threshold_167_1000,1000,Asia,Cold_Without_dry_season_Warm_Summer,1,113,19,821,18,708,0.05263157894736842,0.9473684210526315,0.13763702801461633,0.8623629719853837
threshold_167_1000,1000,Asia,Cold_Dry_Summer,1,79,8,327,7,248,0.125,0.875,0.2415902140672783,0.7584097859327217
threshold_167_1000,1000,Asia,Cold_Without_dry_season_Cold_Summer,5,183,34,1423,29,1240,0.14705882352941177,0.8529411764705882,0.1286015460295151,0.8713984539704849
threshold_167_1000,1000,Asia,Arid,9,753,32,2110,23,1357,0.28125,0.71875,0.35687203791469196,0.6431279620853081
threshold_167_1000,1000,Asia,Cold_Without_dry_season_Very_Cold_Summer,1,31,3,143,2,112,0.3333333333333333,0.6666666666666666,0.21678321678321677,0.7832167832167832
threshold_167_1000,1000,Asia,Temperate_Without_dry_season,3,201,9,362,6,161,0.3333333333333333,0.6666666666666666,0.5552486187845304,0.4447513812154696
threshold_167_1000,1000,Asia,Polar,11,523,20,845,9,322,0.55,0.45,0.6189349112426036,0.3810650887573965
threshold_167_1000,1000,Asia,Cold_Dry_Winter,20,920,36,2720,16,1800,0.5555555555555556,0.4444444444444444,0.3382352941176471,0.6617647058823529
