analysis,region,age,predictor,Unique,Average.share,individual,I.perc(%),model_profile,zero_individual,zero_total,allocation,status,n_samples,selection_status,n_candidates,n_selected,global_p_value,spatial_adjusted_r_squared
temporal_spd,Latin America,5500,climate,0.1583,-0.0025000000000000022,0.1558,94.42,human_climate_space,0.1558,0.16519999999999999,0.9430992736077483,no_spatial_terms_selected,86,no_terms_selected,11,0,0.001,0.11214519897940323
temporal_spd,Latin America,5500,space,NA,NA,0,NA,human_climate_space,0,0.16519999999999999,0,no_spatial_terms_selected,86,no_terms_selected,11,0,0.001,0.11214519897940323
temporal_spd,Latin America,6000,human,0.0151,-0.005600000000000001,0.0095,5.59,human_climate_space,0.0095,0.1698,0.05594817432273262,no_spatial_terms_selected,82,no_terms_selected,11,0,0.007,0.08983727834209443
temporal_spd,Latin America,6000,climate,0.1659,-0.005599999999999994,0.1603,94.29,human_climate_space,0.1603,0.1698,0.9440518256772673,no_spatial_terms_selected,82,no_terms_selected,11,0,0.007,0.08983727834209443
temporal_spd,Latin America,6000,space,NA,NA,0,NA,human_climate_space,0,0.1698,0,no_spatial_terms_selected,82,no_terms_selected,11,0,0.007,0.08983727834209443
temporal_spd,Latin America,6500,human,-0.0045,9.99999999999994e-5,-0.0044,-2.77,human_climate_space,0,0.163,0,no_spatial_terms_selected,82,no_terms_selected,11,0,0.037,0.05641703532903186
temporal_spd,Latin America,6500,climate,0.1629,1.0000000000001674e-4,0.163,102.52,human_climate_space,0.163,0.163,1,no_spatial_terms_selected,82,no_terms_selected,11,0,0.037,0.05641703532903186
temporal_spd,Latin America,6500,space,NA,NA,0,NA,human_climate_space,0,0.163,0,no_spatial_terms_selected,82,no_terms_selected,11,0,0.037,0.05641703532903186
temporal_spd,Latin America,7000,human,0.0025,0.0039000000000000003,0.0064,5,human_climate_space,0.0064,0.1284,0.049844236760124616,no_spatial_terms_selected,81,no_spatial_signal,11,0,0.051,0.06224299222130958
temporal_spd,Latin America,7000,climate,0.1181,0.0039000000000000007,0.122,95.31,human_climate_space,0.122,0.1284,0.9501557632398755,no_spatial_terms_selected,81,no_spatial_signal,11,0,0.051,0.06224299222130958
temporal_spd,Latin America,7000,space,NA,NA,0,NA,human_climate_space,0,0.1284,0,no_spatial_terms_selected,81,no_spatial_signal,11,0,0.051,0.06224299222130958
temporal_spd,Latin America,7500,human,0.0019,-0.0022,-3e-4,-0.18,human_climate_space,0,0.16949999999999998,0,spatial_model_estimated,81,selected,10,1,0.038,0.059329332049005035
temporal_spd,Latin America,7500,climate,0.1013,0.021199999999999997,0.1225,72.49,human_climate_space,0.1225,0.16949999999999998,0.7227138643067847,spatial_model_estimated,81,selected,10,1,0.038,0.059329332049005035
temporal_spd,Latin America,7500,space,0.0243,0.0227,0.047,27.81,human_climate_space,0.047,0.16949999999999998,0.27728613569321536,spatial_model_estimated,81,selected,10,1,0.038,0.059329332049005035
temporal_spd,Latin America,8000,human,0.0591,-0.007899999999999997,0.0512,29.6,human_climate_space,0.0512,0.1728,0.2962962962962963,no_spatial_terms_selected,74,no_spatial_signal,9,0,0.364,0.0068680733930570614
temporal_spd,Latin America,8000,climate,0.1295,-0.007900000000000004,0.1216,70.29,human_climate_space,0.1216,0.1728,0.7037037037037037,no_spatial_terms_selected,74,no_spatial_signal,9,0,0.364,0.0068680733930570614
temporal_spd,Latin America,8000,space,NA,NA,0,NA,human_climate_space,0,0.1728,0,no_spatial_terms_selected,74,no_spatial_signal,9,0,0.364,0.0068680733930570614
temporal_spd,Latin America,8500,human,0.0151,-0.005300000000000001,0.0098,5.66,human_climate_space,0.0098,0.17329999999999998,0.05654933641084824,spatial_model_estimated,71,selected,10,1,0.008,0.097570280731759
temporal_spd,Latin America,8500,climate,0.0683,0.026999999999999996,0.0953,55.09,human_climate_space,0.0953,0.17329999999999998,0.5499134448932488,spatial_model_estimated,71,selected,10,1,0.008,0.097570280731759
temporal_spd,Latin America,8500,space,0.0362,0.031999999999999994,0.0682,39.42,human_climate_space,0.0682,0.17329999999999998,0.3935372186959031,spatial_model_estimated,71,selected,10,1,0.008,0.097570280731759
temporal_spd,North America,2000,human,-2e-4,0.004,0.0038,1.9,human_climate_space,0.0038,0.20010000000000003,0.018990504747626185,spatial_model_estimated,540,selected,133,6,0.001,0.2208455168826069
temporal_spd,North America,2000,climate,0.017,0.0398,0.0568,28.4,human_climate_space,0.0568,0.20010000000000003,0.2838580709645177,spatial_model_estimated,540,selected,133,6,0.001,0.2208455168826069
temporal_spd,North America,2000,space,0.1001,0.03940000000000002,0.1395,69.75,human_climate_space,0.1395,0.20010000000000003,0.697151424287856,spatial_model_estimated,540,selected,133,6,0.001,0.2208455168826069
temporal_spd,North America,2500,human,0.0051,0.0016999999999999993,0.0068,3.13,human_climate_space,0.0068,0.2171,0.03132197144173192,spatial_model_estimated,534,selected,132,5,0.001,0.22730927402228984
temporal_spd,North America,2500,climate,0.0199,0.0399,0.0598,27.56,human_climate_space,0.0598,0.2171,0.2754491017964072,spatial_model_estimated,534,selected,132,5,0.001,0.22730927402228984
temporal_spd,North America,2500,space,0.1096,0.04089999999999999,0.1505,69.35,human_climate_space,0.1505,0.2171,0.6932289267618609,spatial_model_estimated,534,selected,132,5,0.001,0.22730927402228984
temporal_spd,North America,3000,human,0.0031,0.0026999999999999997,0.0058,2.82,human_climate_space,0.0058,0.206,0.02815533980582524,spatial_model_estimated,533,selected,130,7,0.001,0.21828199622717637
temporal_spd,North America,3000,climate,0.0175,0.041499999999999995,0.059,28.64,human_climate_space,0.059,0.206,0.28640776699029125,spatial_model_estimated,533,selected,130,7,0.001,0.21828199622717637
temporal_spd,North America,3000,space,0.0967,0.0445,0.1412,68.54,human_climate_space,0.1412,0.206,0.6854368932038835,spatial_model_estimated,533,selected,130,7,0.001,0.21828199622717637
