analysis,region,age,n_models,climate,human,importance_balance
temporal_events,Europe,6500,1,0.9663072776280324,0.03369272237196765,-0.9326145552560647
temporal_events,Europe,7000,1,0.7974051896207585,0.2025948103792415,-0.5948103792415169
temporal_events,Europe,7500,1,0.7450236966824644,0.2549763033175355,-0.49004739336492886
temporal_events,Europe,8000,1,0.8973471741637831,0.10265282583621683,-0.7946943483275662
temporal_events,Europe,8500,1,0.9475032010243277,0.05249679897567222,-0.8950064020486554
temporal_events,Latin America,500,1,0.8762755102040817,0.12372448979591838,-0.7525510204081634
temporal_events,Latin America,1000,1,1,0,-1
temporal_events,Latin America,1500,1,0.9938176197836167,0.006182380216383308,-0.9876352395672334
temporal_events,Latin America,2000,1,0.9630102040816326,0.036989795918367346,-0.9260204081632653
temporal_events,Latin America,2500,1,0.8830188679245282,0.11698113207547169,-0.7660377358490565
temporal_events,Latin America,3000,1,0.9732246798603027,0.026775320139697325,-0.9464493597206054
temporal_events,Latin America,3500,1,0.8938730853391684,0.10612691466083152,-0.7877461706783369
temporal_events,Latin America,4000,1,0.9311440677966101,0.06885593220338981,-0.8622881355932203
temporal_events,Latin America,4500,1,0.9355019629837352,0.06449803701626472,-0.8710039259674704
temporal_events,Latin America,5000,1,1,0,-1
temporal_events,Latin America,5500,1,1,0,-1
temporal_events,Latin America,6000,1,1,0,-1
temporal_events,Latin America,6500,1,0.9805115712545676,0.0194884287454324,-0.9610231425091351
temporal_events,Latin America,7000,1,0.9415337889141988,0.05846621108580106,-0.8830675778283977
temporal_events,Latin America,7500,1,0.976567884217781,0.02343211578221916,-0.9531357684355618
temporal_events,Latin America,8000,1,1,0,-1
temporal_events,Latin America,8500,1,1,0,-1
temporal_events,North America,500,1,0.6519267214150347,0.3480732785849653,-0.30385344283006943
temporal_events,North America,1000,1,0.8672161172161172,0.13278388278388278,-0.7344322344322345
temporal_events,North America,1500,1,0.9361493123772101,0.06385068762278978,-0.8722986247544203
temporal_events,North America,2000,1,0.9672293942403178,0.03277060575968223,-0.9344587884806356
temporal_events,North America,2500,1,0.9404878048780488,0.059512195121951224,-0.8809756097560976
temporal_events,North America,3000,1,0.9294336118848654,0.07056638811513465,-0.8588672237697308
temporal_events,North America,3500,1,0.920303605313093,0.07969639468690701,-0.8406072106261859
temporal_events,North America,4000,1,0.9247083775185578,0.07529162248144221,-0.8494167550371157
temporal_events,North America,4500,1,0.9264278799612778,0.07357212003872218,-0.8528557599225557
temporal_events,North America,5000,1,0.9005524861878452,0.0994475138121547,-0.8011049723756906
temporal_events,North America,5500,1,0.9040948275862069,0.0959051724137931,-0.8081896551724137
temporal_events,North America,6000,1,0.9052419354838709,0.09475806451612903,-0.8104838709677419
temporal_events,North America,6500,1,0.9113796576032225,0.08862034239677745,-0.8227593152064451
temporal_events,North America,7000,1,0.9883966244725738,0.01160337552742616,-0.9767932489451476
temporal_events,North America,7500,1,0.8563106796116504,0.1436893203883495,-0.7126213592233009
temporal_events,North America,8000,1,0.8124054462934948,0.18759455370650532,-0.6248108925869894
temporal_events,North America,8500,1,0.7135098438560761,0.286490156143924,-0.4270196877121521
temporal_events,Oceania,500,1,1,0,-1
temporal_events,Oceania,1000,1,0.7284991568296796,0.27150084317032036,-0.4569983136593592
temporal_events,Oceania,1500,1,1,0,-1
temporal_events,Oceania,2000,1,0.6872964169381108,0.3127035830618892,-0.3745928338762216
temporal_events,Oceania,2500,1,0.8369028006589786,0.16309719934102143,-0.6738056013179572
temporal_events,Oceania,3000,1,0.8776520509193777,0.12234794908062234,-0.7553041018387554
temporal_events,Oceania,3500,1,1,0,-1
temporal_events,Oceania,4000,1,1,0,-1
temporal_spd,Asia,2000,1,0.7911522633744856,0.2088477366255144,-0.5823045267489713
temporal_spd,Asia,2500,1,0.9417989417989417,0.0582010582010582,-0.8835978835978835
temporal_spd,Asia,3000,1,0.9461538461538461,0.05384615384615385,-0.8923076923076922
temporal_spd,Asia,3500,1,0.9402985074626866,0.05970149253731344,-0.8805970149253732
temporal_spd,Asia,4000,1,0.9384816753926702,0.061518324607329845,-0.8769633507853404
temporal_spd,Asia,4500,1,0.8341232227488152,0.16587677725118483,-0.6682464454976305
temporal_spd,Asia,5000,1,0.7687861271676301,0.23121387283236994,-0.5375722543352601
temporal_spd,Asia,5500,1,0.9301075268817204,0.06989247311827956,-0.8602150537634408
temporal_spd,Asia,6000,1,0.749056603773585,0.2509433962264151,-0.49811320754716987
temporal_spd,Asia,6500,1,0.9539473684210527,0.046052631578947366,-0.9078947368421053
temporal_spd,Asia,7000,1,0.8320783132530121,0.16792168674698796,-0.6641566265060241
temporal_spd,Asia,7500,1,0.8644578313253012,0.1355421686746988,-0.7289156626506024
temporal_spd,Asia,8000,1,0.9393370856785491,0.06066291432145091,-0.8786741713570982
temporal_spd,Asia,8500,1,0.9670263788968825,0.0329736211031175,-0.934052757793765
temporal_spd,Europe,2000,1,0.9635036496350364,0.03649635036496351,-0.927007299270073
temporal_spd,Europe,2500,1,0.9507211538461537,0.04927884615384615,-0.9014423076923076
temporal_spd,Europe,3000,1,0.9107981220657277,0.08920187793427231,-0.8215962441314555
