analysis,region,age,predictor,profile,individual_sum,total_sum,pooled_allocation,n_models
temporal_events,North America,5500,climate,signed,0.0839,0.093,0.9021505376344087,1
temporal_events,North America,5500,human,signed,0.0089,0.093,0.0956989247311828,1
temporal_events,North America,6000,climate,signed,0.0898,0.099,0.907070707070707,1
temporal_events,North America,6000,human,signed,0.0094,0.099,0.09494949494949495,1
temporal_events,North America,6500,climate,signed,0.0905,0.099,0.914141414141414,1
temporal_events,North America,6500,human,signed,0.0088,0.099,0.08888888888888889,1
temporal_events,North America,7000,climate,signed,0.0937,0.095,0.9863157894736843,1
temporal_events,North America,7000,human,signed,0.0011,0.095,0.011578947368421053,1
temporal_events,North America,7500,climate,signed,0.0882,0.103,0.8563106796116505,1
temporal_events,North America,7500,human,signed,0.0148,0.103,0.14368932038834953,1
temporal_events,North America,8000,climate,signed,0.1074,0.132,0.8136363636363636,1
temporal_events,North America,8000,human,signed,0.0248,0.132,0.18787878787878787,1
temporal_events,North America,8500,climate,signed,0.1051,0.147,0.7149659863945579,1
temporal_events,North America,8500,human,signed,0.0422,0.147,0.2870748299319728,1
temporal_events,Oceania,500,climate,signed,0.0856,0.068,1.2588235294117645,1
temporal_events,Oceania,500,human,signed,-0.018,0.068,-0.2647058823529411,1
temporal_events,Oceania,1000,climate,signed,0.0864,0.119,0.7260504201680673,1
temporal_events,Oceania,1000,human,signed,0.0322,0.119,0.27058823529411763,1
temporal_events,Oceania,1500,climate,signed,0.0727,0.067,1.0850746268656717,1
temporal_events,Oceania,1500,human,signed,-0.0055,0.067,-0.08208955223880596,1
temporal_events,Oceania,2000,climate,signed,0.0211,0.031,0.6806451612903226,1
temporal_events,Oceania,2000,human,signed,0.0096,0.031,0.30967741935483867,1
temporal_events,Oceania,2500,climate,signed,0.1016,0.121,0.8396694214876033,1
temporal_events,Oceania,2500,human,signed,0.0198,0.121,0.16363636363636366,1
temporal_events,Oceania,3000,climate,signed,0.1241,0.141,0.8801418439716313,1
temporal_events,Oceania,3000,human,signed,0.0173,0.141,0.12269503546099292,1
temporal_events,Oceania,3500,climate,signed,0.1352,0.12,1.1266666666666667,1
temporal_events,Oceania,3500,human,signed,-0.0147,0.12,-0.1225,1
temporal_events,Oceania,4000,climate,signed,0.0995,0.087,1.1436781609195403,1
temporal_events,Oceania,4000,human,signed,-0.0125,0.087,-0.14367816091954025,1
temporal_spd,Asia,2000,climate,signed,0.0769,0.097,0.7927835051546391,1
temporal_spd,Asia,2000,human,signed,0.0203,0.097,0.2092783505154639,1
temporal_spd,Asia,2500,climate,signed,0.089,0.094,0.9468085106382979,1
temporal_spd,Asia,2500,human,signed,0.0055,0.094,0.058510638297872335,1
temporal_spd,Asia,3000,climate,signed,0.0861,0.091,0.9461538461538461,1
temporal_spd,Asia,3000,human,signed,0.0049,0.091,0.05384615384615385,1
temporal_spd,Asia,3500,climate,signed,0.0882,0.094,0.9382978723404255,1
temporal_spd,Asia,3500,human,signed,0.0056,0.094,0.059574468085106386,1
temporal_spd,Asia,4000,climate,signed,0.0717,0.076,0.9434210526315789,1
temporal_spd,Asia,4000,human,signed,0.0047,0.076,0.0618421052631579,1
temporal_spd,Asia,4500,climate,signed,0.0704,0.084,0.8380952380952381,1
temporal_spd,Asia,4500,human,signed,0.014,0.084,0.16666666666666666,1
temporal_spd,Asia,5000,climate,signed,0.0665,0.087,0.7643678160919541,1
temporal_spd,Asia,5000,human,signed,0.02,0.087,0.2298850574712644,1
temporal_spd,Asia,5500,climate,signed,0.0865,0.093,0.9301075268817204,1
temporal_spd,Asia,5500,human,signed,0.0065,0.093,0.06989247311827956,1
temporal_spd,Asia,6000,climate,signed,0.0794,0.106,0.749056603773585,1
temporal_spd,Asia,6000,human,signed,0.0266,0.106,0.2509433962264151,1
temporal_spd,Asia,6500,climate,signed,0.1015,0.106,0.9575471698113208,1
temporal_spd,Asia,6500,human,signed,0.0049,0.106,0.04622641509433962,1
temporal_spd,Asia,7000,climate,signed,0.1105,0.133,0.8308270676691729,1
temporal_spd,Asia,7000,human,signed,0.0223,0.133,0.16766917293233083,1
temporal_spd,Asia,7500,climate,signed,0.1148,0.133,0.863157894736842,1
temporal_spd,Asia,7500,human,signed,0.018,0.133,0.13533834586466165,1
temporal_spd,Asia,8000,climate,signed,0.1502,0.16,0.93875,1
temporal_spd,Asia,8000,human,signed,0.0097,0.16,0.060625,1
temporal_spd,Asia,8500,climate,signed,0.1613,0.167,0.9658682634730539,1
temporal_spd,Asia,8500,human,signed,0.0055,0.167,0.03293413173652694,1
temporal_spd,Europe,2000,climate,signed,0.0924,0.096,0.9624999999999999,1
temporal_spd,Europe,2000,human,signed,0.0035,0.096,0.036458333333333336,1
temporal_spd,Europe,2500,climate,signed,0.0791,0.083,0.9530120481927711,1
temporal_spd,Europe,2500,human,signed,0.0041,0.083,0.04939759036144579,1
temporal_spd,Europe,3000,climate,signed,0.0582,0.064,0.909375,1
temporal_spd,Europe,3000,human,signed,0.0057,0.064,0.0890625,1
temporal_spd,Europe,3500,climate,signed,0.0511,0.071,0.719718309859155,1
temporal_spd,Europe,3500,human,signed,0.02,0.071,0.28169014084507044,1
temporal_spd,Europe,4000,climate,signed,0.0787,0.084,0.9369047619047619,1
temporal_spd,Europe,4000,human,signed,0.0057,0.084,0.06785714285714285,1
temporal_spd,Europe,4500,climate,signed,0.081,0.084,0.9642857142857143,1
temporal_spd,Europe,4500,human,signed,0.0028,0.084,0.03333333333333333,1
temporal_spd,Europe,5000,climate,signed,0.0645,0.069,0.9347826086956521,1
temporal_spd,Europe,5000,human,signed,0.0045,0.069,0.06521739130434781,1
temporal_spd,Europe,5500,climate,signed,0.0868,0.087,0.9977011494252874,1
temporal_spd,Europe,5500,human,signed,6e-4,0.087,0.006896551724137931,1
temporal_spd,Europe,6000,climate,signed,0.0706,0.082,0.8609756097560974,1
temporal_spd,Europe,6000,human,signed,0.0117,0.082,0.14268292682926828,1
temporal_spd,Europe,6500,climate,signed,0.0567,0.086,0.6593023255813955,1
temporal_spd,Europe,6500,human,signed,0.0294,0.086,0.3418604651162791,1
temporal_spd,Europe,7000,climate,signed,0.0687,0.086,0.7988372093023256,1
temporal_spd,Europe,7000,human,signed,0.0175,0.086,0.20348837209302328,1
temporal_spd,Europe,7500,climate,signed,0.0641,0.119,0.538655462184874,1
temporal_spd,Europe,7500,human,signed,0.0547,0.119,0.4596638655462185,1
temporal_spd,Europe,8000,climate,signed,0.0784,0.094,0.8340425531914893,1
temporal_spd,Europe,8000,human,signed,0.0154,0.094,0.16382978723404257,1
temporal_spd,Europe,8500,climate,signed,0.0686,0.078,0.8794871794871794,1
temporal_spd,Europe,8500,human,signed,0.0089,0.078,0.1141025641025641,1
temporal_spd,Latin America,2000,climate,signed,0.1496,0.153,0.9777777777777779,1
temporal_spd,Latin America,2000,human,signed,0.003,0.153,0.0196078431372549,1
temporal_spd,Latin America,2500,climate,signed,0.1453,0.152,0.955921052631579,1
temporal_spd,Latin America,2500,human,signed,0.0068,0.152,0.04473684210526316,1
temporal_spd,Latin America,3000,climate,signed,0.1837,0.193,0.9518134715025907,1
temporal_spd,Latin America,3000,human,signed,0.009,0.193,0.0466321243523316,1
temporal_spd,Latin America,3500,climate,signed,0.1927,0.207,0.9309178743961354,1
temporal_spd,Latin America,3500,human,signed,0.0146,0.207,0.07053140096618359,1
temporal_spd,Latin America,4000,climate,signed,0.1913,0.218,0.8775229357798165,1
temporal_spd,Latin America,4000,human,signed,0.027,0.218,0.1238532110091743,1
temporal_spd,Latin America,4500,climate,signed,0.1816,0.197,0.9218274111675127,1
temporal_spd,Latin America,4500,human,signed,0.0157,0.197,0.0796954314720812,1
temporal_spd,Latin America,5000,climate,signed,0.1821,0.207,0.8797101449275363,1
temporal_spd,Latin America,5000,human,signed,0.0252,0.207,0.12173913043478261,1
temporal_spd,Latin America,5500,climate,signed,0.1684,0.178,0.946067415730337,1
temporal_spd,Latin America,5500,human,signed,0.0094,0.178,0.052808988764044947,1
temporal_spd,Latin America,6000,climate,signed,0.1557,0.165,0.9436363636363636,1
temporal_spd,Latin America,6000,human,signed,0.0096,0.165,0.058181818181818175,1
temporal_spd,Latin America,6500,climate,signed,0.163,0.159,1.0251572327044025,1
temporal_spd,Latin America,6500,human,signed,-0.0044,0.159,-0.027672955974842768,1
temporal_spd,Latin America,7000,climate,signed,0.122,0.128,0.953125,1
temporal_spd,Latin America,7000,human,signed,0.0064,0.128,0.05,1
temporal_spd,Latin America,7500,climate,signed,0.1495,0.156,0.9583333333333333,1
temporal_spd,Latin America,7500,human,signed,0.0065,0.156,0.041666666666666664,1
temporal_spd,Latin America,8000,climate,signed,0.1198,0.172,0.6965116279069768,1
temporal_spd,Latin America,8000,human,signed,0.0524,0.172,0.3046511627906977,1
temporal_spd,Latin America,8500,climate,signed,0.1274,0.137,0.9299270072992701,1
temporal_spd,Latin America,8500,human,signed,0.0097,0.137,0.0708029197080292,1
temporal_spd,North America,2000,climate,signed,0.0979,0.103,0.950485436893204,1
temporal_spd,North America,2000,human,signed,0.0054,0.103,0.052427184466019426,1
temporal_spd,North America,2500,climate,signed,0.1004,0.109,0.9211009174311927,1
temporal_spd,North America,2500,human,signed,0.0082,0.109,0.07522935779816514,1
temporal_spd,North America,3000,climate,signed,0.1033,0.114,0.906140350877193,1
temporal_spd,North America,3000,human,signed,0.011,0.114,0.09649122807017543,1
temporal_spd,North America,3500,climate,signed,0.1002,0.104,0.9634615384615385,1
temporal_spd,North America,3500,human,signed,0.0038,0.104,0.03653846153846154,1
temporal_spd,North America,4000,climate,signed,0.0879,0.098,0.8969387755102041,1
temporal_spd,North America,4000,human,signed,0.0103,0.098,0.10510204081632653,1
temporal_spd,North America,4500,climate,signed,0.0982,0.107,0.9177570093457944,1
temporal_spd,North America,4500,human,signed,0.0092,0.107,0.08598130841121496,1
temporal_spd,North America,5000,climate,signed,0.1011,0.108,0.9361111111111111,1
temporal_spd,North America,5000,human,signed,0.0067,0.108,0.062037037037037036,1
