analysis,region,age,predictor,profile,individual_sum,total_sum,pooled_allocation,n_models
temporal_events,Latin America,7500,human,zero_truncated,0.0026,0.1431,0.01816911250873515,1
temporal_events,Latin America,8000,climate,zero_truncated,0.1152,0.1152,1,1
temporal_events,Latin America,8000,human,zero_truncated,0,0.1152,0,1
temporal_events,Latin America,8500,climate,zero_truncated,0.1219,0.1219,1,1
temporal_events,Latin America,8500,human,zero_truncated,0,0.1219,0,1
temporal_events,North America,500,climate,zero_truncated,0.1013,0.156,0.6493589743589744,1
temporal_events,North America,500,human,zero_truncated,0.0547,0.156,0.3506410256410256,1
temporal_events,North America,1000,climate,zero_truncated,0.0958,0.1104,0.8677536231884058,1
temporal_events,North America,1000,human,zero_truncated,0.0146,0.1104,0.1322463768115942,1
temporal_events,North America,1500,climate,zero_truncated,0.0962,0.1006,0.9562624254473161,1
temporal_events,North America,1500,human,zero_truncated,0.0044,0.1006,0.0437375745526839,1
temporal_events,North America,2000,climate,zero_truncated,0.0943,0.0978,0.9642126789366053,1
temporal_events,North America,2000,human,zero_truncated,0.0035,0.0978,0.03578732106339468,1
temporal_events,North America,2500,climate,zero_truncated,0.0956,0.1018,0.9390962671905698,1
temporal_events,North America,2500,human,zero_truncated,0.0062,0.1018,0.060903732809430254,1
temporal_events,North America,3000,climate,zero_truncated,0.0969,0.1048,0.9246183206106869,1
temporal_events,North America,3000,human,zero_truncated,0.0079,0.1048,0.07538167938931298,1
temporal_events,North America,3500,climate,zero_truncated,0.0965,0.1048,0.9208015267175572,1
temporal_events,North America,3500,human,zero_truncated,0.0083,0.1048,0.07919847328244274,1
temporal_events,North America,4000,climate,zero_truncated,0.0863,0.0964,0.8952282157676349,1
temporal_events,North America,4000,human,zero_truncated,0.0101,0.0964,0.10477178423236515,1
temporal_events,North America,4500,climate,zero_truncated,0.0944,0.1023,0.9227761485826002,1
temporal_events,North America,4500,human,zero_truncated,0.0079,0.1023,0.0772238514173998,1
temporal_events,North America,5000,climate,zero_truncated,0.0969,0.1056,0.9176136363636364,1
temporal_events,North America,5000,human,zero_truncated,0.0087,0.1056,0.08238636363636363,1
temporal_events,North America,5500,climate,zero_truncated,0.0829,0.0918,0.9030501089324618,1
temporal_events,North America,5500,human,zero_truncated,0.0089,0.0918,0.09694989106753812,1
temporal_events,North America,6000,climate,zero_truncated,0.0882,0.0946,0.9323467230443975,1
temporal_events,North America,6000,human,zero_truncated,0.0064,0.0946,0.06765327695560254,1
temporal_events,North America,6500,climate,zero_truncated,0.097,0.10010000000000001,0.969030969030969,1
temporal_events,North America,6500,human,zero_truncated,0.0031,0.10010000000000001,0.030969030969030965,1
temporal_events,North America,7000,climate,zero_truncated,0.0955,0.0966,0.9886128364389234,1
temporal_events,North America,7000,human,zero_truncated,0.0011,0.0966,0.011387163561076604,1
temporal_events,North America,7500,climate,zero_truncated,0.0861,0.08789999999999999,0.9795221843003413,1
temporal_events,North America,7500,human,zero_truncated,0.0018,0.08789999999999999,0.020477815699658706,1
temporal_events,North America,8000,climate,zero_truncated,0.1008,0.1042,0.9673704414587332,1
temporal_events,North America,8000,human,zero_truncated,0.0034,0.1042,0.03262955854126679,1
temporal_events,North America,8500,climate,zero_truncated,0.0985,0.1015,0.9704433497536945,1
temporal_events,North America,8500,human,zero_truncated,0.003,0.1015,0.029556650246305417,1
temporal_events,Oceania,500,climate,zero_truncated,0.0856,0.0856,1,1
temporal_events,Oceania,500,human,zero_truncated,0,0.0856,0,1
temporal_events,Oceania,1000,climate,zero_truncated,0.0864,0.11860000000000001,0.7284991568296796,1
temporal_events,Oceania,1000,human,zero_truncated,0.0322,0.11860000000000001,0.27150084317032036,1
temporal_events,Oceania,1500,climate,zero_truncated,0.0727,0.0727,1,1
temporal_events,Oceania,1500,human,zero_truncated,0,0.0727,0,1
temporal_events,Oceania,2000,climate,zero_truncated,0.0211,0.030699999999999998,0.6872964169381108,1
temporal_events,Oceania,2000,human,zero_truncated,0.0096,0.030699999999999998,0.3127035830618892,1
temporal_events,Oceania,2500,climate,zero_truncated,0.0725,0.08579999999999999,0.8449883449883451,1
temporal_events,Oceania,2500,human,zero_truncated,0.0133,0.08579999999999999,0.15501165501165504,1
temporal_events,Oceania,3000,climate,zero_truncated,0.1128,0.1262,0.8938193343898573,1
temporal_events,Oceania,3000,human,zero_truncated,0.0134,0.1262,0.10618066561014262,1
temporal_events,Oceania,3500,climate,zero_truncated,0.117,0.117,1,1
temporal_events,Oceania,3500,human,zero_truncated,0,0.117,0,1
temporal_events,Oceania,4000,climate,zero_truncated,0.0762,0.0762,1,1
temporal_events,Oceania,4000,human,zero_truncated,0,0.0762,0,1
temporal_spd,Asia,2000,climate,zero_truncated,0.0778,0.09809999999999999,0.7930682976554536,1
temporal_spd,Asia,2000,human,zero_truncated,0.0203,0.09809999999999999,0.2069317023445464,1
temporal_spd,Asia,2500,climate,zero_truncated,0.089,0.0945,0.9417989417989417,1
temporal_spd,Asia,2500,human,zero_truncated,0.0055,0.0945,0.0582010582010582,1
temporal_spd,Asia,3000,climate,zero_truncated,0.0867,0.0917,0.9454743729552889,1
temporal_spd,Asia,3000,human,zero_truncated,0.005,0.0917,0.05452562704471101,1
temporal_spd,Asia,3500,climate,zero_truncated,0.0843,0.09,0.9366666666666666,1
temporal_spd,Asia,3500,human,zero_truncated,0.0057,0.09,0.06333333333333334,1
temporal_spd,Asia,4000,climate,zero_truncated,0.0705,0.0759,0.9288537549407114,1
temporal_spd,Asia,4000,human,zero_truncated,0.0054,0.0759,0.07114624505928854,1
temporal_spd,Asia,4500,climate,zero_truncated,0.0728,0.0868,0.8387096774193549,1
temporal_spd,Asia,4500,human,zero_truncated,0.014,0.0868,0.16129032258064516,1
temporal_spd,Asia,5000,climate,zero_truncated,0.0665,0.08650000000000001,0.7687861271676301,1
temporal_spd,Asia,5000,human,zero_truncated,0.02,0.08650000000000001,0.23121387283236994,1
temporal_spd,Asia,5500,climate,zero_truncated,0.0867,0.0921,0.9413680781758957,1
temporal_spd,Asia,5500,human,zero_truncated,0.0054,0.0921,0.05863192182410424,1
temporal_spd,Asia,6000,climate,zero_truncated,0.0825,0.10700000000000001,0.7710280373831775,1
temporal_spd,Asia,6000,human,zero_truncated,0.0245,0.10700000000000001,0.2289719626168224,1
temporal_spd,Asia,6500,climate,zero_truncated,0.0996,0.10619999999999999,0.9378531073446328,1
temporal_spd,Asia,6500,human,zero_truncated,0.0066,0.10619999999999999,0.062146892655367235,1
temporal_spd,Asia,7000,climate,zero_truncated,0.1093,0.12179999999999999,0.8973727422003285,1
temporal_spd,Asia,7000,human,zero_truncated,0.0125,0.12179999999999999,0.1026272577996716,1
temporal_spd,Asia,7500,climate,zero_truncated,0.1233,0.1454,0.8480055020632737,1
temporal_spd,Asia,7500,human,zero_truncated,0.0221,0.1454,0.15199449793672629,1
temporal_spd,Asia,8000,climate,zero_truncated,0.1498,0.1581,0.9475015812776724,1
temporal_spd,Asia,8000,human,zero_truncated,0.0083,0.1581,0.05249841872232765,1
temporal_spd,Asia,8500,climate,zero_truncated,0.1571,0.1618,0.9709517923362175,1
temporal_spd,Asia,8500,human,zero_truncated,0.0047,0.1618,0.02904820766378245,1
temporal_spd,Europe,2000,climate,zero_truncated,0.0976,0.10070000000000001,0.9692154915590864,1
temporal_spd,Europe,2000,human,zero_truncated,0.0031,0.10070000000000001,0.0307845084409136,1
temporal_spd,Europe,2500,climate,zero_truncated,0.0807,0.08499999999999999,0.9494117647058824,1
temporal_spd,Europe,2500,human,zero_truncated,0.0043,0.08499999999999999,0.05058823529411765,1
temporal_spd,Europe,3000,climate,zero_truncated,0.0567,0.0621,0.9130434782608695,1
temporal_spd,Europe,3000,human,zero_truncated,0.0054,0.0621,0.08695652173913043,1
temporal_spd,Europe,3500,climate,zero_truncated,0.0565,0.06520000000000001,0.866564417177914,1
temporal_spd,Europe,3500,human,zero_truncated,0.0087,0.06520000000000001,0.13343558282208587,1
temporal_spd,Europe,4000,climate,zero_truncated,0.0728,0.0785,0.9273885350318471,1
temporal_spd,Europe,4000,human,zero_truncated,0.0057,0.0785,0.07261146496815286,1
temporal_spd,Europe,4500,climate,zero_truncated,0.0819,0.0841,0.9738406658739597,1
temporal_spd,Europe,4500,human,zero_truncated,0.0022,0.0841,0.02615933412604043,1
temporal_spd,Europe,5000,climate,zero_truncated,0.062,0.0664,0.9337349397590361,1
temporal_spd,Europe,5000,human,zero_truncated,0.0044,0.0664,0.06626506024096386,1
temporal_spd,Europe,5500,climate,zero_truncated,0.0841,0.0848,0.9917452830188679,1
temporal_spd,Europe,5500,human,zero_truncated,7e-4,0.0848,0.008254716981132075,1
temporal_spd,Europe,6000,climate,zero_truncated,0.0713,0.08310000000000001,0.8580024067388687,1
temporal_spd,Europe,6000,human,zero_truncated,0.0118,0.08310000000000001,0.14199759326113115,1
temporal_spd,Europe,6500,climate,zero_truncated,0.0511,0.0812,0.6293103448275863,1
temporal_spd,Europe,6500,human,zero_truncated,0.0301,0.0812,0.3706896551724138,1
temporal_spd,Europe,7000,climate,zero_truncated,0.0624,0.08,0.7799999999999999,1
temporal_spd,Europe,7000,human,zero_truncated,0.0176,0.08,0.22,1
temporal_spd,Europe,7500,climate,zero_truncated,0.0648,0.11629999999999999,0.5571797076526226,1
temporal_spd,Europe,7500,human,zero_truncated,0.0515,0.11629999999999999,0.4428202923473775,1
temporal_spd,Europe,8000,climate,zero_truncated,0.0782,0.09440000000000001,0.8283898305084745,1
temporal_spd,Europe,8000,human,zero_truncated,0.0162,0.09440000000000001,0.17161016949152538,1
temporal_spd,Europe,8500,climate,zero_truncated,0.0687,0.0771,0.8910505836575875,1
temporal_spd,Europe,8500,human,zero_truncated,0.0084,0.0771,0.10894941634241244,1
temporal_spd,Latin America,2000,climate,zero_truncated,0.1496,0.1526,0.9803407601572739,1
temporal_spd,Latin America,2000,human,zero_truncated,0.003,0.1526,0.01965923984272608,1
temporal_spd,Latin America,2500,climate,zero_truncated,0.1471,0.1526,0.9639580602883355,1
temporal_spd,Latin America,2500,human,zero_truncated,0.0055,0.1526,0.03604193971166448,1
