analysis,region,age,n_models,climate,human,importance_balance
temporal_spd,Oceania,3000,1,0.8075577326801959,0.19244226731980407,-0.6151154653603919
temporal_spd,Oceania,3500,1,0.8346180798878767,0.16538192011212333,-0.6692361597757535
temporal_spd,Oceania,4000,1,0.9124087591240876,0.08759124087591241,-0.8248175182481752
temporal_spd,Oceania,4500,1,0.9611021069692058,0.03889789303079416,-0.9222042139384117
temporal_spd,Oceania,5000,1,0.9753846153846153,0.024615384615384615,-0.9507692307692307
temporal_spd,Oceania,5500,1,0.9097978227060655,0.09020217729393468,-0.8195956454121308
temporal_spd,Oceania,6000,1,1,0,-1
temporal_spd,Oceania,6500,1,1,0,-1
temporal_spd,Oceania,7500,1,1,0,-1
temporal_spd,Oceania,8000,1,0.9866888519134775,0.013311148086522463,-0.9733777038269551
temporal_spd,Oceania,8500,1,0.9839883551673945,0.01601164483260553,-0.9679767103347889
