radius_km,region,age,status,selection_status,human_climate_only_balance,controlled_human,controlled_climate,controlled_balance,human_climate_only_ranking,controlled_ranking,zero_allocation_human,zero_allocation_climate,zero_allocation_space,unique_adjusted_r2_pure_human,unique_adjusted_r2_pure_climate,unique_adjusted_r2_pure_space,unique_adjusted_r2_shared,unique_adjusted_r2_total_explained,unique_adjusted_r2_unexplained
250,North America,4000,spatial_model_estimated,selected,-0.0758,0.0089,0.0519,-0.043000000000000003,climate,climate,0.048580786026200876,0.28329694323144106,0.6681222707423581,0.005056379875797434,0.015372422405872666,0.08419242031708518,0.0785258595686602,0.1831470821674155,0.8168529178325845
250,North America,4500,spatial_model_estimated,selected,-0.0867,0.0085,0.0563,-0.0478,climate,climate,0.0407088122605364,0.26963601532567055,0.6896551724137931,0.006826853951983902,0.015701911414900183,0.10181397033814243,0.084478376507652,0.20882111221267852,0.7911788877873215
250,North America,5000,spatial_model_estimated,selected,-0.09259999999999999,0.0049,0.0591,-0.0542,climate,climate,0.026952695269526955,0.3250825082508251,0.647964796479648,0.002680153127894047,0.018517654587377086,0.07430416325108691,0.0863303837485041,0.18183235471486214,0.8181676452851379
250,North America,5500,spatial_model_estimated,selected,-0.07350000000000001,0.0107,0.0525,-0.0418,climate,climate,0.05206812652068126,0.2554744525547445,0.6924574209245742,0.009316660224234274,0.019403774314372124,0.10721076642339789,0.06953952783105943,0.20547072879306372,0.7945292712069363
250,North America,6000,spatial_model_estimated,selected,-0.07730000000000001,0.0129,0.0572,-0.0443,climate,climate,0.06304985337243402,0.27956989247311825,0.6573802541544478,0.012463564907474467,0.023742171936787626,0.10151143154921471,0.06694354787540491,0.20466071626888171,0.7953392837311183
250,North America,6500,spatial_model_estimated,selected,-0.0893,0.0088,0.0592,-0.0504,climate,climate,0.04001819008640291,0.2692132787630741,0.690768531150523,0.008083771647943605,0.01958759817468203,0.1114437048051985,0.080856835368885,0.21997190999670913,0.7800280900032909
250,North America,7000,spatial_model_estimated,selected,-0.08349999999999999,0.0112,0.0621,-0.0509,climate,climate,0.051211705532693184,0.2839506172839506,0.6648376771833562,0.009612285958508493,0.027823142842635096,0.11068642785828631,0.07065965947076414,0.21878151613019403,0.781218483869806
250,North America,7500,spatial_model_estimated,selected,-0.0736,0.0112,0.0585,-0.0473,climate,climate,0.06239554317548747,0.32590529247910865,0.611699164345404,0.009571021093895182,0.030415197140194694,0.08009519452619207,0.0593784497050982,0.17945986246538015,0.8205401375346199
250,North America,8000,spatial_model_estimated,selected,-0.094,0.0095,0.0712,-0.0617,climate,climate,0.04861821903787104,0.36438075742067555,0.5870010235414534,0.008976818438133471,0.038392546415587314,0.08207268565407866,0.06601817744575789,0.19546022795355733,0.8045397720464427
250,North America,8500,spatial_model_estimated,selected,-0.09330000000000001,0.0038,0.0627,-0.05890000000000001,climate,climate,0.018636586562040217,0.3075036782736636,0.6738597351642962,8.65477370500578e-4,0.025415888334379577,0.10014267557962586,0.07740396016744877,0.2038280014519548,0.7961719985480452
250,Latin America,2000,spatial_model_estimated,selected,-0.14780000000000001,0.006,0.1459,-0.1399,climate,climate,0.03470213996529786,0.8438403701561596,0.12145748987854252,0.005460099976370425,0.13749593293620654,0.012916819137328228,0.01702309509523714,0.17289594714514234,0.8271040528548577
250,Latin America,2500,no_spatial_terms_selected,no_terms_selected,-0.15200000000000002,0.0039,0.1559,-0.15200000000000002,climate,climate,0.024405506883604506,0.9755944931163956,0,0.00599599871466272,0.1580347535689549,0,-0.004219108568093488,0.15981164371552414,0.8401883562844759
