summary_level,metric,n_units,n_profile_250_km_present,n_profile_500_km_present,n_estimable_250_km,n_estimable_500_km,n_matched_estimable,n_status_changes,n_ranking_reversals,n_lost_estimability,n_gained_estimability,n_material_changes,proportion_ranking_reversals,proportion_material_changes,median_delta,delta_q25,delta_q75,region,age
region_and_age,zero_allocation_human,1,1,1,1,1,1,0,0,0,0,0,0,0,-0.011942833512908674,-0.011942833512908674,-0.011942833512908674,Oceania,3500
region_and_age,zero_allocation_human,1,1,1,1,1,1,0,0,0,0,0,0,0,-0.07187350549976088,-0.07187350549976088,-0.07187350549976088,Oceania,4000
region_and_age,zero_allocation_human,1,1,1,1,1,1,0,0,0,0,0,0,0,-0.015950819961829364,-0.015950819961829364,-0.015950819961829364,Oceania,4500
region_and_age,zero_allocation_human,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0417158183124623,0.0417158183124623,0.0417158183124623,Oceania,5000
region_and_age,zero_allocation_human,1,1,1,1,1,1,0,0,0,0,0,0,0,-0.09020217729393468,-0.09020217729393468,-0.09020217729393468,Oceania,5500
region_and_age,zero_allocation_human,1,1,1,1,1,1,0,0,0,0,0,0,0,0.218645948945616,0.218645948945616,0.218645948945616,Oceania,6000
region_and_age,zero_allocation_human,1,1,1,1,1,1,0,0,0,0,0,0,0,0.1528424976700839,0.1528424976700839,0.1528424976700839,Oceania,6500
region_and_age,zero_allocation_human,1,1,1,1,1,1,1,1,0,0,1,1,1,0.375,0.375,0.375,Oceania,7000
region_and_age,zero_allocation_human,1,1,1,1,1,1,0,0,0,0,0,0,0,0.19292035398230087,0.19292035398230087,0.19292035398230087,Oceania,7500
region_and_age,zero_allocation_human,1,1,1,1,1,1,0,0,0,0,0,0,0,-0.004008822505127119,-0.004008822505127119,-0.004008822505127119,Oceania,8000
region_and_age,zero_allocation_human,1,1,1,1,1,1,1,0,0,0,0,0,0,0.18323586744639375,0.18323586744639375,0.18323586744639375,Oceania,8500
