analysis,region,age,fraction,adjusted_r_squared
temporal_spd,Latin America,4000,shared,-0.03162747059873028
temporal_spd,Latin America,4000,total_explained,0.22273871077593588
temporal_spd,Latin America,4000,unexplained,0.7772612892240641
temporal_spd,Latin America,4500,pure_human,0.02117226795077798
temporal_spd,Latin America,4500,pure_climate,0.18704610896322627
temporal_spd,Latin America,4500,pure_space,0
temporal_spd,Latin America,4500,shared,-0.01088276656057241
temporal_spd,Latin America,4500,total_explained,0.19733561035343183
temporal_spd,Latin America,4500,unexplained,0.8026643896465682
temporal_spd,Latin America,5000,pure_human,0.021278728904059463
temporal_spd,Latin America,5000,pure_climate,0.11251704422916231
temporal_spd,Latin America,5000,pure_space,0.030699741108777046
temporal_spd,Latin America,5000,shared,0.07019153865740746
temporal_spd,Latin America,5000,total_explained,0.23468705289940628
temporal_spd,Latin America,5000,unexplained,0.7653129471005937
temporal_spd,Latin America,5500,pure_human,0.011958029104286783
temporal_spd,Latin America,5500,pure_climate,0.15834138493002314
temporal_spd,Latin America,5500,pure_space,0
temporal_spd,Latin America,5500,shared,-0.005082257918207489
temporal_spd,Latin America,5500,total_explained,0.16521715611610244
temporal_spd,Latin America,5500,unexplained,0.8347828438838976
temporal_spd,Latin America,6000,pure_human,0.015132624006980566
temporal_spd,Latin America,6000,pure_climate,0.1659062775160065
temporal_spd,Latin America,6000,pure_space,0
temporal_spd,Latin America,6000,shared,-0.011218106640723424
temporal_spd,Latin America,6000,total_explained,0.16982079488226365
temporal_spd,Latin America,6000,unexplained,0.8301792051177364
temporal_spd,Latin America,6500,pure_human,-0.004489876908555401
temporal_spd,Latin America,6500,pure_climate,0.16292425551857104
temporal_spd,Latin America,6500,pure_space,0
temporal_spd,Latin America,6500,shared,2.201087284522396e-4
temporal_spd,Latin America,6500,total_explained,0.15865448733846788
temporal_spd,Latin America,6500,unexplained,0.8413455126615321
temporal_spd,Latin America,7000,pure_human,0.002452787395990641
temporal_spd,Latin America,7000,pure_climate,0.11811025291463917
temporal_spd,Latin America,7000,pure_space,0
temporal_spd,Latin America,7000,shared,0.00783416669031023
temporal_spd,Latin America,7000,total_explained,0.12839720700094004
temporal_spd,Latin America,7000,unexplained,0.87160279299906
temporal_spd,Latin America,7500,pure_human,0.001938346660397161
temporal_spd,Latin America,7500,pure_climate,0.10134028796790584
temporal_spd,Latin America,7500,pure_space,0.024298594235356408
temporal_spd,Latin America,7500,shared,0.041604015132822414
temporal_spd,Latin America,7500,total_explained,0.16918124399648182
temporal_spd,Latin America,7500,unexplained,0.8308187560035182
temporal_spd,Latin America,8000,pure_human,0.05906996817961807
temporal_spd,Latin America,8000,pure_climate,0.12945287471719635
temporal_spd,Latin America,8000,pure_space,0
temporal_spd,Latin America,8000,shared,-0.015659701702905426
temporal_spd,Latin America,8000,total_explained,0.172863141193909
temporal_spd,Latin America,8000,unexplained,0.827136858806091
temporal_spd,Latin America,8500,pure_human,0.015052413002135334
temporal_spd,Latin America,8500,pure_climate,0.06827936279109603
temporal_spd,Latin America,8500,pure_space,0.03619964545198695
temporal_spd,Latin America,8500,shared,0.05378352545787035
temporal_spd,Latin America,8500,total_explained,0.17331494670308867
temporal_spd,Latin America,8500,unexplained,0.8266850532969113
temporal_spd,Latin America,3500,pure_human,0.024647738475072845
temporal_spd,Latin America,3500,pure_climate,0.2026991459789922
temporal_spd,Latin America,3500,pure_space,0
temporal_spd,Latin America,3500,shared,-0.023210753410916052
temporal_spd,Latin America,3500,total_explained,0.20413613104314898
temporal_spd,Latin America,3500,unexplained,0.795863868956851
temporal_spd,Oceania,2000,pure_human,0.008820202112440945
temporal_spd,Oceania,2000,pure_climate,-0.005990722835036433
temporal_spd,Oceania,2000,pure_space,0
temporal_spd,Oceania,2000,shared,0.028665354589129333
temporal_spd,Oceania,2000,total_explained,0.031494833866533845
temporal_spd,Oceania,2000,unexplained,0.9685051661334662
temporal_spd,Oceania,2500,pure_human,0.0030125112241004004
temporal_spd,Oceania,2500,pure_climate,0.054656244879729754
temporal_spd,Oceania,2500,pure_space,0
temporal_spd,Oceania,2500,shared,0.012850075173166609
temporal_spd,Oceania,2500,total_explained,0.07051883127699676
temporal_spd,Oceania,2500,unexplained,0.9294811687230032
temporal_spd,Oceania,3000,pure_human,0.02250923784994141
temporal_spd,Oceania,3000,pure_climate,0.11045925925593492
temporal_spd,Oceania,3000,pure_space,0
temporal_spd,Oceania,3000,shared,0.009882562062132116
temporal_spd,Oceania,3000,total_explained,0.14285105916800844
temporal_spd,Oceania,3000,unexplained,0.8571489408319916
temporal_spd,Oceania,3500,pure_human,0.025837725100781972
temporal_spd,Oceania,3500,pure_climate,0.15734023127045604
temporal_spd,Oceania,3500,pure_space,0.024366957942278944
temporal_spd,Oceania,3500,shared,-0.04049715360495476
temporal_spd,Oceania,3500,total_explained,0.1670477607085622
temporal_spd,Oceania,3500,unexplained,0.8329522392914378
temporal_spd,Oceania,4000,pure_human,-2.2240357317915294e-4
temporal_spd,Oceania,4000,pure_climate,0.06755715114683225
temporal_spd,Oceania,4000,pure_space,0
temporal_spd,Oceania,4000,shared,0.014819904999349154
temporal_spd,Oceania,4000,total_explained,0.08215465257300225
temporal_spd,Oceania,4000,unexplained,0.9178453474269977
temporal_spd,Oceania,4500,pure_human,4.3129298816468875e-4
temporal_spd,Oceania,4500,pure_climate,0.12831858820765596
temporal_spd,Oceania,4500,pure_space,0.014398319450245056
temporal_spd,Oceania,4500,shared,-0.005377361206951314
temporal_spd,Oceania,4500,total_explained,0.1377708394391144
